date,gt_score
2023-07-08,100
2023-07-09,94
2023-07-10,43
2023-07-11,29
2023-07-12,18
2023-07-13,22
2023-07-14,12
2023-07-15,28
2023-07-16,40
2023-07-17,23
2023-07-18,20
2023-07-19,19
2023-07-20,14
2023-07-21,13
2023-07-22,29
2023-07-23,32
2023-07-24,13
2023-07-25,15
2023-07-26,13
2023-07-27,0
2023-07-28,0
2023-07-29,31
2023-07-30,22
2023-07-31,13
2023-08-01,18
2023-08-02,0
2023-08-03,0
2023-08-04,14
2023-08-05,41
2023-08-06,24
2023-08-07,22
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,12
2023-08-12,18
2023-08-13,21
2023-08-14,19
2023-08-15,13
2023-08-16,12
2023-08-17,0
2023-08-18,13
2023-08-19,35
2023-08-20,29
2023-08-21,20
2023-08-22,14
2023-08-23,15
2023-08-24,0
2023-08-25,0
2023-08-26,25
2023-08-27,46
2023-08-28,24
2023-08-29,14
2023-08-30,16
2023-08-31,14
2023-09-01,14
2023-09-02,35
2023-09-03,65
2023-09-04,37
2023-09-05,26
2023-09-06,24
2023-09-07,0
2023-09-08,17
2023-09-09,41
2023-09-10,36
2023-09-11,21
2023-09-12,0
2023-09-13,17
2023-09-14,0
2023-09-15,0
2023-09-16,29
2023-09-17,26
2023-09-18,13
2023-09-19,0
2023-09-20,11
2023-09-21,17
2023-09-22,0
2023-09-23,26
2023-09-24,20
2023-09-25,13
2023-09-26,14
2023-09-27,0
2023-09-28,11
2023-09-29,14
2023-09-30,47
2023-10-01,90
2023-10-02,38
2023-10-03,24
2023-10-04,24
2023-10-05,22
2023-10-06,19
