date,pv,edit_count,editor_count
2023-07-08,4807,1,1
2023-07-09,5331,2,2
2023-07-10,3107,0,0
2023-07-11,2516,0,0
2023-07-12,2354,0,0
2023-07-13,2044,0,0
2023-07-14,2203,0,0
2023-07-15,3736,1,1
2023-07-16,3524,1,1
2023-07-17,2837,0,0
2023-07-18,2046,0,0
2023-07-19,1915,0,0
2023-07-20,1635,0,0
2023-07-21,1626,0,0
2023-07-22,3489,1,1
2023-07-23,3567,1,1
2023-07-24,2189,0,0
2023-07-25,1941,0,0
2023-07-26,1973,0,0
2023-07-27,1812,0,0
2023-07-28,1885,1,1
2023-07-29,3432,1,1
2023-07-30,3428,1,1
2023-07-31,2300,1,1
2023-08-01,2016,1,1
2023-08-02,1998,0,0
2023-08-03,1757,0,0
2023-08-04,1970,1,1
2023-08-05,3542,1,1
2023-08-06,3235,1,1
2023-08-07,2533,1,1
2023-08-08,2063,1,1
2023-08-09,1971,1,1
2023-08-10,1863,1,1
2023-08-11,2197,2,2
2023-08-12,3290,1,1
2023-08-13,3345,0,0
2023-08-14,2839,0,0
2023-08-15,2596,0,0
2023-08-16,2416,1,1
2023-08-17,2176,0,0
2023-08-18,2051,1,1
2023-08-19,3579,1,1
2023-08-20,3263,0,0
2023-08-21,2330,0,0
2023-08-22,2168,2,2
2023-08-23,1908,1,1
2023-08-24,2007,0,0
2023-08-25,1855,0,0
2023-08-26,3482,2,2
2023-08-27,3637,2,2
2023-08-28,2574,1,1
2023-08-29,2200,0,0
2023-08-30,2035,1,1
2023-08-31,1714,0,0
2023-09-01,1789,0,0
2023-09-02,2774,0,0
2023-09-03,3119,1,1
2023-09-04,2005,0,0
2023-09-05,1861,0,0
2023-09-06,1807,0,0
2023-09-07,1894,1,1
2023-09-08,1878,0,0
2023-09-09,3073,1,1
2023-09-10,3001,0,0
2023-09-11,2065,0,0
2023-09-12,1767,0,0
2023-09-13,1764,0,0
2023-09-14,1794,1,1
2023-09-15,1710,1,1
2023-09-16,3004,2,2
2023-09-17,2868,0,0
2023-09-18,2239,0,0
2023-09-19,1821,0,0
2023-09-20,1643,0,0
2023-09-21,1651,0,0
2023-09-22,1626,1,1
2023-09-23,2991,1,1
2023-09-24,3272,1,1
2023-09-25,2116,0,0
2023-09-26,1949,3,3
2023-09-27,2065,1,1
2023-09-28,2014,0,0
2023-09-29,1949,0,0
2023-09-30,5918,4,4
2023-10-01,6737,0,0
2023-10-02,3642,1,1
2023-10-03,2770,2,2
2023-10-04,2530,0,0
2023-10-05,2365,0,0
2023-10-06,2339,0,0
