date,gt_score
2022-10-08,24
2022-10-09,34
2022-10-10,25
2022-10-11,19
2022-10-12,17
2022-10-13,15
2022-10-14,15
2022-10-15,23
2022-10-16,29
2022-10-17,21
2022-10-18,17
2022-10-19,16
2022-10-20,14
2022-10-21,14
2022-10-22,22
2022-10-23,25
2022-10-24,18
2022-10-25,18
2022-10-26,16
2022-10-27,15
2022-10-28,13
2022-10-29,18
2022-10-30,22
2022-10-31,14
2022-11-01,15
2022-11-02,16
2022-11-03,15
2022-11-04,14
2022-11-05,18
2022-11-06,25
2022-11-07,18
2022-11-08,17
2022-11-09,18
2022-11-10,15
2022-11-11,14
2022-11-12,22
2022-11-13,30
2022-11-14,22
2022-11-15,21
2022-11-16,21
2022-11-17,18
2022-11-18,19
2022-11-19,26
2022-11-20,32
2022-11-21,24
2022-11-22,25
2022-11-23,31
2022-11-24,28
2022-11-25,25
2022-11-26,33
2022-11-27,44
2022-11-28,34
2022-11-29,32
2022-11-30,30
2022-12-01,28
2022-12-02,31
2022-12-03,36
2022-12-04,39
2022-12-05,36
2022-12-06,33
2022-12-07,32
2022-12-08,28
2022-12-09,28
2022-12-10,38
2022-12-11,38
2022-12-12,32
2022-12-13,30
2022-12-14,31
2022-12-15,29
2022-12-16,31
2022-12-17,42
2022-12-18,46
2022-12-19,40
2022-12-20,33
2022-12-21,38
2022-12-22,34
2022-12-23,34
2022-12-24,39
2022-12-25,48
2022-12-26,42
2022-12-27,40
2022-12-28,41
2022-12-29,40
2022-12-30,90
2022-12-31,61
2023-01-01,59
2023-01-02,56
2023-01-03,44
2023-01-04,48
2023-01-05,43
2023-01-06,45
2023-01-07,54
2023-01-08,52
2023-01-09,48
2023-01-10,47
2023-01-11,49
2023-01-12,40
2023-01-13,43
2023-01-14,51
2023-01-15,53
2023-01-16,39
2023-01-17,41
2023-01-18,38
2023-01-19,39
2023-01-20,42
2023-01-21,51
2023-01-22,50
2023-01-23,41
2023-01-24,42
2023-01-25,42
2023-01-26,41
2023-01-27,43
2023-01-28,51
2023-01-29,61
2023-01-30,49
2023-01-31,48
2023-02-01,42
2023-02-02,41
2023-02-03,41
2023-02-04,51
2023-02-05,57
2023-02-06,42
2023-02-07,42
2023-02-08,40
2023-02-09,38
2023-02-10,42
2023-02-11,54
2023-02-12,52
2023-02-13,41
2023-02-14,44
2023-02-15,41
2023-02-16,43
2023-02-17,42
2023-02-18,52
2023-02-19,53
2023-02-20,42
2023-02-21,42
2023-02-22,43
2023-02-23,43
2023-02-24,46
2023-02-25,48
2023-02-26,52
2023-02-27,41
2023-02-28,40
2023-03-01,43
2023-03-02,39
2023-03-03,41
2023-03-04,48
2023-03-05,46
2023-03-06,41
2023-03-07,39
2023-03-08,38
2023-03-09,41
2023-03-10,37
2023-03-11,43
2023-03-12,43
2023-03-13,39
2023-03-14,38
2023-03-15,43
2023-03-16,42
2023-03-17,43
2023-03-18,53
2023-03-19,54
2023-03-20,43
2023-03-21,47
2023-03-22,41
2023-03-23,38
2023-03-24,48
2023-03-25,68
2023-03-26,100
2023-03-27,64
2023-03-28,54
2023-03-29,51
2023-03-30,49
2023-03-31,48
2023-04-01,50
2023-04-02,48
2023-04-03,39
2023-04-04,41
2023-04-05,42
2023-04-06,37
2023-04-07,38
2023-04-08,38
2023-04-09,37
2023-04-10,31
2023-04-11,32
2023-04-12,30
2023-04-13,26
2023-04-14,29
2023-04-15,35
2023-04-16,32
2023-04-17,25
2023-04-18,25
2023-04-19,26
2023-04-20,25
2023-04-21,27
2023-04-22,30
2023-04-23,29
2023-04-24,23
2023-04-25,24
2023-04-26,25
2023-04-27,22
2023-04-28,28
2023-04-29,33
2023-04-30,31
2023-05-01,28
2023-05-02,27
2023-05-03,30
2023-05-04,31
2023-05-05,30
2023-05-06,34
2023-05-07,28
2023-05-08,22
2023-05-09,23
2023-05-10,22
2023-05-11,22
2023-05-12,24
2023-05-13,27
2023-05-14,24
2023-05-15,20
2023-05-16,22
2023-05-17,24
2023-05-18,22
2023-05-19,23
2023-05-20,27
2023-05-21,23
2023-05-22,21
2023-05-23,23
2023-05-24,21
2023-05-25,19
2023-05-26,21
2023-05-27,24
2023-05-28,23
2023-05-29,18
2023-05-30,19
2023-05-31,20
2023-06-01,18
2023-06-02,21
2023-06-03,23
2023-06-04,23
2023-06-05,17
2023-06-06,17
2023-06-07,17
2023-06-08,18
2023-06-09,18
2023-06-10,22
2023-06-11,21
2023-06-12,17
2023-06-13,17
2023-06-14,18
2023-06-15,17
2023-06-16,19
2023-06-17,20
2023-06-18,19
2023-06-19,17
2023-06-20,17
2023-06-21,17
2023-06-22,15
2023-06-23,17
