date,pv,edit_count,editor_count
2022-10-08,12637,3,3
2022-10-09,22982,4,4
2022-10-10,15156,5,5
2022-10-11,9926,0,0
2022-10-12,7783,1,1
2022-10-13,6426,0,0
2022-10-14,6383,1,1
2022-10-15,11536,3,3
2022-10-16,16110,3,3
2022-10-17,10525,1,1
2022-10-18,8115,0,0
2022-10-19,6611,0,0
2022-10-20,5264,0,0
2022-10-21,4871,0,0
2022-10-22,8518,1,1
2022-10-23,12549,0,0
2022-10-24,8820,1,1
2022-10-25,6305,0,0
2022-10-26,6148,0,0
2022-10-27,5152,0,0
2022-10-28,4647,1,1
2022-10-29,7379,2,2
2022-10-30,10357,1,1
2022-10-31,6440,1,1
2022-11-01,5589,0,0
2022-11-02,5224,1,1
2022-11-03,5664,1,1
2022-11-04,4935,0,0
2022-11-05,7011,1,1
2022-11-06,10287,0,0
2022-11-07,6834,2,2
2022-11-08,5683,1,1
2022-11-09,5021,1,1
2022-11-10,4559,0,0
2022-11-11,4352,0,0
2022-11-12,8950,2,2
2022-11-13,14282,1,1
2022-11-14,8976,1,1
2022-11-15,6238,0,0
2022-11-16,5884,0,0
2022-11-17,5000,0,0
2022-11-18,4800,0,0
2022-11-19,8179,1,1
2022-11-20,12459,2,2
2022-11-21,8381,0,0
2022-11-22,7404,0,0
2022-11-23,11691,0,0
2022-11-24,10653,0,0
2022-11-25,7404,0,0
2022-11-26,12523,4,4
2022-11-27,19037,2,2
2022-11-28,11420,1,1
2022-11-29,9229,0,0
2022-11-30,7432,0,0
2022-12-01,8147,1,1
2022-12-02,11401,0,0
2022-12-03,12423,2,2
2022-12-04,14055,1,1
2022-12-05,13687,2,2
2022-12-06,10418,1,1
2022-12-07,8655,1,1
2022-12-08,7452,0,0
2022-12-09,6913,0,0
2022-12-10,9314,1,1
2022-12-11,11383,0,0
2022-12-12,8376,0,0
2022-12-13,7650,0,0
2022-12-14,7524,0,0
2022-12-15,5867,0,0
2022-12-16,6296,1,1
2022-12-17,10520,1,1
2022-12-18,14556,0,0
2022-12-19,9874,1,1
2022-12-20,8159,0,0
2022-12-21,7279,0,0
2022-12-22,6477,0,0
2022-12-23,5822,0,0
2022-12-24,10888,3,3
2022-12-25,16667,3,3
2022-12-26,10332,2,2
2022-12-27,8169,0,0
2022-12-28,7563,0,0
2022-12-29,7783,0,0
2022-12-30,8068,0,0
2022-12-31,7034,0,0
2023-01-01,6733,0,0
2023-01-02,7289,0,0
2023-01-03,7384,2,2
2023-01-04,8891,0,0
2023-01-05,7392,0,0
2023-01-06,6907,1,1
2023-01-07,10798,4,4
2023-01-08,13649,1,1
2023-01-09,12270,1,1
2023-01-10,9644,0,0
2023-01-11,9019,0,0
2023-01-12,7539,0,0
2023-01-13,7610,0,0
2023-01-14,11802,2,2
2023-01-15,15779,0,0
2023-01-16,9925,3,3
2023-01-17,9068,1,1
2023-01-18,7782,0,0
2023-01-19,7270,0,0
2023-01-20,7776,1,1
2023-01-21,11597,1,1
2023-01-22,14507,1,1
2023-01-23,10727,0,0
2023-01-24,8877,0,0
2023-01-25,8467,2,2
2023-01-26,7424,0,0
2023-01-27,7436,0,0
2023-01-28,11490,1,1
2023-01-29,17586,1,1
2023-01-30,13360,1,1
2023-01-31,10216,0,0
2023-02-01,8356,0,0
2023-02-02,7571,0,0
2023-02-03,7244,0,0
2023-02-04,10746,3,3
2023-02-05,13762,0,0
2023-02-06,9879,0,0
2023-02-07,8481,3,3
2023-02-08,7953,1,1
2023-02-09,7037,0,0
2023-02-10,7179,1,1
2023-02-11,10844,1,1
2023-02-12,14309,0,0
2023-02-13,9658,2,2
2023-02-14,7942,1,1
2023-02-15,7642,0,0
2023-02-16,6849,1,1
2023-02-17,6659,1,1
2023-02-18,10172,1,1
2023-02-19,12923,0,0
2023-02-20,9059,2,2
2023-02-21,7586,1,1
2023-02-22,6736,1,1
2023-02-23,8247,1,1
2023-02-24,7464,0,0
2023-02-25,9884,3,3
2023-02-26,12241,0,0
2023-02-27,8022,1,1
2023-02-28,7059,0,0
2023-03-01,6069,0,0
2023-03-02,5645,0,0
2023-03-03,5742,0,0
2023-03-04,7683,1,1
2023-03-05,9214,0,0
2023-03-06,6580,1,1
2023-03-07,6148,1,1
2023-03-08,5622,1,1
2023-03-09,4958,1,1
2023-03-10,4399,1,1
2023-03-11,6814,2,2
2023-03-12,8912,0,0
2023-03-13,6269,0,0
2023-03-14,5549,0,0
2023-03-15,5746,1,1
2023-03-16,5105,0,0
2023-03-17,5380,0,0
2023-03-18,9541,3,3
2023-03-19,14097,0,0
2023-03-20,8750,3,3
2023-03-21,7326,0,0
2023-03-22,5344,1,1
2023-03-23,5622,1,1
2023-03-24,5367,0,0
2023-03-25,12698,1,1
2023-03-26,21676,2,2
2023-03-27,11512,2,2
2023-03-28,9869,1,1
2023-03-29,8476,0,0
2023-03-30,7426,0,0
2023-03-31,6714,1,1
2023-04-01,7685,0,0
2023-04-02,8156,0,0
2023-04-03,6037,0,0
2023-04-04,5672,0,0
2023-04-05,5210,0,0
2023-04-06,5060,0,0
2023-04-07,5235,2,2
2023-04-08,6256,0,0
2023-04-09,6035,1,1
2023-04-10,4404,0,0
2023-04-11,4286,0,0
2023-04-12,4118,1,1
2023-04-13,3634,0,0
2023-04-14,3535,0,0
2023-04-15,4432,0,0
2023-04-16,4340,0,0
2023-04-17,3359,0,0
2023-04-18,3380,2,2
2023-04-19,3228,0,0
2023-04-20,3260,1,1
2023-04-21,3220,0,0
2023-04-22,3494,0,0
2023-04-23,3907,0,0
2023-04-24,3141,0,0
2023-04-25,3042,0,0
2023-04-26,2935,0,0
2023-04-27,2774,0,0
2023-04-28,3383,0,0
2023-04-29,4247,1,1
2023-04-30,4341,0,0
2023-05-01,3316,0,0
2023-05-02,3295,1,1
2023-05-03,3514,0,0
2023-05-04,3826,0,0
2023-05-05,3950,0,0
2023-05-06,4120,2,2
2023-05-07,4514,0,0
2023-05-08,3165,0,0
2023-05-09,2799,0,0
2023-05-10,2783,1,1
2023-05-11,2646,0,0
2023-05-12,2847,0,0
2023-05-13,3352,0,0
2023-05-14,3420,0,0
2023-05-15,2522,0,0
2023-05-16,2300,1,1
2023-05-17,2949,2,2
2023-05-18,2513,0,0
2023-05-19,2669,0,0
2023-05-20,3025,0,0
2023-05-21,3168,0,0
2023-05-22,2645,0,0
2023-05-23,2429,0,0
2023-05-24,2531,1,1
2023-05-25,2333,0,0
2023-05-26,2383,0,0
2023-05-27,2588,0,0
2023-05-28,2910,0,0
2023-05-29,2462,1,1
2023-05-30,2258,0,0
2023-05-31,2350,1,1
2023-06-01,2107,0,0
2023-06-02,2353,0,0
2023-06-03,2563,1,1
2023-06-04,2777,0,0
2023-06-05,2165,0,0
2023-06-06,2078,0,0
2023-06-07,2101,0,0
2023-06-08,2248,0,0
2023-06-09,2341,0,0
2023-06-10,2801,2,2
2023-06-11,2834,0,0
2023-06-12,2276,0,0
2023-06-13,2233,0,0
2023-06-14,2239,1,1
2023-06-15,2172,0,0
2023-06-16,2014,0,0
2023-06-17,2409,0,0
2023-06-18,2554,0,0
2023-06-19,2110,1,1
2023-06-20,2235,2,2
2023-06-21,2165,0,0
2023-06-22,2148,1,1
2023-06-23,2031,1,1
