date,gt_score
2021-10-01,100
2021-10-02,73
2021-10-03,60
2021-10-04,40
2021-10-05,24
2021-10-06,33
2021-10-07,24
2021-10-08,44
2021-10-09,41
2021-10-10,33
2021-10-11,32
2021-10-12,21
2021-10-13,21
2021-10-14,11
2021-10-15,34
2021-10-16,29
2021-10-17,22
2021-10-18,8
2021-10-19,18
2021-10-20,17
2021-10-21,9
2021-10-22,20
2021-10-23,23
2021-10-24,14
2021-10-25,15
2021-10-26,14
2021-10-27,0
2021-10-28,7
2021-10-29,13
2021-10-30,11
2021-10-31,12
2021-11-01,10
2021-11-02,11
2021-11-03,13
2021-11-04,8
2021-11-05,12
2021-11-06,11
2021-11-07,8
2021-11-08,10
2021-11-09,10
2021-11-10,10
2021-11-11,0
2021-11-12,0
2021-11-13,18
2021-11-14,9
2021-11-15,12
2021-11-16,7
2021-11-17,0
2021-11-18,0
2021-11-19,10
2021-11-20,15
2021-11-21,12
2021-11-22,9
2021-11-23,0
2021-11-24,0
2021-11-25,0
2021-11-26,10
2021-11-27,10
2021-11-28,8
2021-11-29,13
2021-11-30,11
2021-12-01,0
2021-12-02,8
2021-12-03,9
2021-12-04,12
2021-12-05,13
2021-12-06,0
2021-12-07,0
2021-12-08,0
2021-12-09,0
2021-12-10,14
2021-12-11,19
2021-12-12,11
2021-12-13,8
2021-12-14,10
2021-12-15,10
2021-12-16,9
2021-12-17,12
2021-12-18,27
2021-12-19,12
2021-12-20,10
2021-12-21,9
2021-12-22,0
2021-12-23,8
2021-12-24,8
2021-12-25,10
2021-12-26,9
2021-12-27,11
2021-12-28,8
2021-12-29,0
2021-12-30,12
2021-12-31,9
2022-01-01,12
2022-01-02,9
2022-01-03,12
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,7
2022-01-09,12
2022-01-10,9
2022-01-11,8
2022-01-12,0
2022-01-13,8
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,7
2022-01-18,8
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,7
2022-01-24,0
2022-01-25,6
2022-01-26,0
2022-01-27,0
2022-01-28,7
2022-01-29,8
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,7
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,6
2022-02-13,6
2022-02-14,0
2022-02-15,5
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-19,0
2022-02-20,6
2022-02-21,0
2022-02-22,0
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,7
2022-02-28,0
