date,pv,edit_count,editor_count
2021-10-01,10158,1,1
2021-10-02,16297,2,2
2021-10-03,11470,1,1
2021-10-04,7083,0,0
2021-10-05,5326,0,0
2021-10-06,4953,0,0
2021-10-07,3953,0,0
2021-10-08,6807,1,1
2021-10-09,10721,0,0
2021-10-10,8728,0,0
2021-10-11,8675,0,0
2021-10-12,6136,0,0
2021-10-13,5139,1,1
2021-10-14,4351,1,1
2021-10-15,6649,2,2
2021-10-16,9795,1,1
2021-10-17,7505,0,0
2021-10-18,5399,2,2
2021-10-19,4185,0,0
2021-10-20,3978,0,0
2021-10-21,3662,0,0
2021-10-22,5096,1,1
2021-10-23,6411,0,0
2021-10-24,5829,0,0
2021-10-25,4022,2,2
2021-10-26,2828,0,0
2021-10-27,2678,0,0
2021-10-28,2501,1,1
2021-10-29,3613,3,3
2021-10-30,4664,1,1
2021-10-31,4025,0,0
2021-11-01,2969,0,0
2021-11-02,2698,0,0
2021-11-03,2666,0,0
2021-11-04,1953,0,0
2021-11-05,3489,1,1
2021-11-06,4923,0,0
2021-11-07,4120,0,0
2021-11-08,2943,0,0
2021-11-09,2472,0,0
2021-11-10,2210,0,0
2021-11-11,1985,0,0
2021-11-12,3566,1,1
2021-11-13,5790,0,0
2021-11-14,4396,0,0
2021-11-15,2942,0,0
2021-11-16,2511,0,0
2021-11-17,2431,0,0
2021-11-18,2158,0,0
2021-11-19,4981,5,5
2021-11-20,6256,2,2
2021-11-21,4972,1,1
2021-11-22,3435,1,1
2021-11-23,3393,0,0
2021-11-24,2330,0,0
2021-11-25,2468,0,0
2021-11-26,5127,2,2
2021-11-27,6771,2,2
2021-11-28,4776,0,0
2021-11-29,3130,0,0
2021-11-30,2679,0,0
2021-12-01,2465,0,0
2021-12-02,2426,1,1
2021-12-03,4788,1,1
2021-12-04,6029,1,1
2021-12-05,4768,0,0
2021-12-06,3440,0,0
2021-12-07,2962,0,0
2021-12-08,2542,0,0
2021-12-09,2511,1,1
2021-12-10,4085,2,2
2021-12-11,6363,1,1
2021-12-12,5097,1,1
2021-12-13,3290,0,0
2021-12-14,2811,1,1
2021-12-15,2552,0,0
2021-12-16,2278,0,0
2021-12-17,4664,1,1
2021-12-18,7443,2,2
2021-12-19,5085,0,0
2021-12-20,3434,1,1
2021-12-21,2853,1,1
2021-12-22,2542,0,0
2021-12-23,2479,0,0
2021-12-24,2362,0,0
2021-12-25,2845,0,0
2021-12-26,2775,0,0
2021-12-27,2073,0,0
2021-12-28,2088,0,0
2021-12-29,2194,1,1
2021-12-30,2276,1,1
