date,gt_score
2023-04-02,35
2023-04-03,26
2023-04-04,23
2023-04-05,25
2023-04-06,20
2023-04-07,19
2023-04-08,34
2023-04-09,32
2023-04-10,23
2023-04-11,36
2023-04-12,21
2023-04-13,18
2023-04-14,15
2023-04-15,22
2023-04-16,26
2023-04-17,18
2023-04-18,18
2023-04-19,17
2023-04-20,14
2023-04-21,15
2023-04-22,25
2023-04-23,27
2023-04-24,24
2023-04-25,38
2023-04-26,24
2023-04-27,16
2023-04-28,17
2023-04-29,33
2023-04-30,43
2023-05-01,28
2023-05-02,39
2023-05-03,32
2023-05-04,30
2023-05-05,27
2023-05-06,44
2023-05-07,54
2023-05-08,40
2023-05-09,53
2023-05-10,31
2023-05-11,22
2023-05-12,19
2023-05-13,35
2023-05-14,43
2023-05-15,37
2023-05-16,37
2023-05-17,31
2023-05-18,26
2023-05-19,26
2023-05-20,42
2023-05-21,51
2023-05-22,42
2023-05-23,52
2023-05-24,30
2023-05-25,33
2023-05-26,24
2023-05-27,55
2023-05-28,73
2023-05-29,49
2023-05-30,48
2023-05-31,45
2023-06-01,38
2023-06-02,39
2023-06-03,49
2023-06-04,63
2023-06-05,48
2023-06-06,77
2023-06-07,30
2023-06-08,34
2023-06-09,35
2023-06-10,48
2023-06-11,58
2023-06-12,46
2023-06-13,43
2023-06-14,36
2023-06-15,35
2023-06-16,37
2023-06-17,63
2023-06-18,100
2023-06-19,64
2023-06-20,78
2023-06-21,43
2023-06-22,38
2023-06-23,35
2023-06-24,41
2023-06-25,43
2023-06-26,37
2023-06-27,33
2023-06-28,33
2023-06-29,32
2023-06-30,27
2023-07-01,31
2023-07-02,32
2023-07-03,24
2023-07-04,55
2023-07-05,34
2023-07-06,23
2023-07-07,16
2023-07-08,25
2023-07-09,23
2023-07-10,21
2023-07-11,20
2023-07-12,17
2023-07-13,18
2023-07-14,17
2023-07-15,23
2023-07-16,22
2023-07-17,32
2023-07-18,50
2023-07-19,27
2023-07-20,25
2023-07-21,23
2023-07-22,24
2023-07-23,22
2023-07-24,26
2023-07-25,20
2023-07-26,21
2023-07-27,22
2023-07-28,23
2023-07-29,21
2023-07-30,25
2023-07-31,22
2023-08-01,52
2023-08-02,29
2023-08-03,24
2023-08-04,18
2023-08-05,26
2023-08-06,19
2023-08-07,20
2023-08-08,24
2023-08-09,23
2023-08-10,20
2023-08-11,18
2023-08-12,24
2023-08-13,15
2023-08-14,19
2023-08-15,79
2023-08-16,38
2023-08-17,22
2023-08-18,16
2023-08-19,24
2023-08-20,25
2023-08-21,19
2023-08-22,16
2023-08-23,21
2023-08-24,24
2023-08-25,21
2023-08-26,17
2023-08-27,18
2023-08-28,21
2023-08-29,25
2023-08-30,27
