date,pv,edit_count,editor_count
2023-04-02,13974,1,1
2023-04-03,7601,2,2
2023-04-04,5262,1,1
2023-04-05,4711,0,0
2023-04-06,4164,0,0
2023-04-07,3566,1,1
2023-04-08,7229,2,2
2023-04-09,8521,0,0
2023-04-10,4551,0,0
2023-04-11,3959,0,0
2023-04-12,3630,0,0
2023-04-13,2886,0,0
2023-04-14,2398,0,0
2023-04-15,5482,3,3
2023-04-16,6696,0,0
2023-04-17,3656,0,0
2023-04-18,2999,0,0
2023-04-19,2627,2,2
2023-04-20,2331,1,1
2023-04-21,2213,0,0
2023-04-22,5517,2,2
2023-04-23,7483,0,0
2023-04-24,4007,0,0
2023-04-25,3595,1,1
2023-04-26,3109,0,0
2023-04-27,2439,0,0
2023-04-28,2209,0,0
2023-04-29,6133,1,1
2023-04-30,7503,0,0
2023-05-01,4294,0,0
2023-05-02,3550,0,0
2023-05-03,3608,0,0
2023-05-04,3518,0,0
2023-05-05,3455,0,0
2023-05-06,6442,2,2
2023-05-07,9314,5,5
2023-05-08,4849,0,0
2023-05-09,4031,1,1
2023-05-10,3582,1,1
2023-05-11,2927,0,0
2023-05-12,2919,2,2
2023-05-13,6579,5,5
2023-05-14,9426,1,1
2023-05-15,6043,0,0
2023-05-16,4559,0,0
2023-05-17,4103,0,0
2023-05-18,3526,0,0
2023-05-19,3183,0,0
2023-05-20,6582,1,1
2023-05-21,8940,0,0
2023-05-22,5483,1,1
2023-05-23,4541,0,0
2023-05-24,3582,0,0
2023-05-25,3180,0,0
2023-05-26,2850,0,0
2023-05-27,7084,1,1
2023-05-28,11406,1,1
2023-05-29,7197,0,0
2023-05-30,5585,0,0
2023-05-31,5079,0,0
2023-06-01,4352,0,0
2023-06-02,4166,1,1
2023-06-03,7436,2,2
2023-06-04,9323,0,0
2023-06-05,5782,0,0
2023-06-06,5271,0,0
2023-06-07,4177,0,0
2023-06-08,3562,0,0
2023-06-09,3546,0,0
2023-06-10,7167,2,2
2023-06-11,10149,0,0
2023-06-12,6048,0,0
2023-06-13,4990,1,1
2023-06-14,4099,0,0
2023-06-15,3160,0,0
2023-06-16,3070,0,0
2023-06-17,9204,4,4
2023-06-18,14301,5,5
2023-06-19,7518,3,3
2023-06-20,5928,3,3
2023-06-21,5151,1,1
2023-06-22,4019,0,0
2023-06-23,4146,0,0
2023-06-24,4979,0,0
2023-06-25,5225,2,2
2023-06-26,3995,3,3
2023-06-27,3711,0,0
2023-06-28,3181,2,2
2023-06-29,2969,1,1
2023-06-30,3032,0,0
2023-07-01,3665,0,0
2023-07-02,3375,0,0
2023-07-03,2688,0,0
2023-07-04,2967,0,0
2023-07-05,2620,0,0
2023-07-06,2228,0,0
2023-07-07,2131,0,0
2023-07-08,2538,2,2
2023-07-09,2663,1,1
2023-07-10,1996,0,0
2023-07-11,1756,0,0
2023-07-12,1709,0,0
2023-07-13,1696,0,0
2023-07-14,1637,0,0
2023-07-15,1762,1,1
2023-07-16,1789,0,0
2023-07-17,2027,0,0
2023-07-18,1853,0,0
2023-07-19,1430,0,0
2023-07-20,1409,0,0
2023-07-21,1275,0,0
2023-07-22,1531,1,1
2023-07-23,1633,0,0
2023-07-24,1274,0,0
2023-07-25,1287,0,0
2023-07-26,1167,0,0
2023-07-27,1329,2,2
2023-07-28,1211,0,0
2023-07-29,1256,0,0
2023-07-30,1370,0,0
2023-07-31,1166,0,0
2023-08-01,1343,0,0
2023-08-02,1205,0,0
2023-08-03,1369,0,0
2023-08-04,1216,0,0
2023-08-05,1338,1,1
2023-08-06,1357,0,0
2023-08-07,1242,0,0
2023-08-08,1109,0,0
2023-08-09,1128,0,0
2023-08-10,1072,0,0
2023-08-11,1117,0,0
2023-08-12,1167,0,0
2023-08-13,1258,0,0
2023-08-14,1365,0,0
2023-08-15,2389,0,0
2023-08-16,1881,1,1
2023-08-17,1347,0,0
2023-08-18,1203,0,0
2023-08-19,1300,0,0
2023-08-20,1436,0,0
2023-08-21,1231,0,0
2023-08-22,1065,1,1
2023-08-23,878,0,0
2023-08-24,1218,0,0
2023-08-25,957,1,1
2023-08-26,946,0,0
2023-08-27,1132,0,0
2023-08-28,1071,0,0
2023-08-29,1281,0,0
2023-08-30,1342,0,0
2023-08-31,953,0,0
2023-09-01,823,0,0
2023-09-02,954,0,0
2023-09-03,1034,0,0
2023-09-04,870,0,0
2023-09-05,1354,0,0
2023-09-06,1025,0,0
2023-09-07,874,2,2
2023-09-08,770,0,0
2023-09-09,982,0,0
2023-09-10,937,0,0
2023-09-11,783,0,0
2023-09-12,680,0,0
2023-09-13,735,0,0
2023-09-14,714,0,0
2023-09-15,669,0,0
2023-09-16,1345,0,0
2023-09-17,987,0,0
2023-09-18,910,0,0
2023-09-19,1388,0,0
2023-09-20,963,0,0
2023-09-21,764,0,0
2023-09-22,647,0,0
2023-09-23,782,0,0
