date,gt_score
2022-10-11,93
2022-10-12,100
2022-10-13,66
2022-10-14,48
2022-10-15,56
2022-10-16,45
2022-10-17,38
2022-10-18,58
2022-10-19,64
2022-10-20,45
2022-10-21,39
2022-10-22,43
2022-10-23,35
2022-10-24,31
2022-10-25,46
2022-10-26,51
2022-10-27,63
2022-10-28,51
2022-10-29,49
2022-10-30,48
2022-10-31,65
2022-11-01,93
2022-11-02,86
2022-11-03,84
2022-11-04,69
2022-11-05,63
2022-11-06,61
2022-11-07,46
2022-11-08,55
2022-11-09,68
2022-11-10,56
2022-11-11,52
2022-11-12,58
2022-11-13,56
2022-11-14,38
2022-11-15,52
2022-11-16,60
2022-11-17,76
2022-11-18,67
2022-11-19,68
2022-11-20,50
2022-11-21,37
2022-11-22,56
2022-11-23,68
2022-11-24,44
2022-11-25,37
2022-11-26,41
2022-11-27,37
2022-11-28,32
2022-11-29,45
2022-11-30,64
2022-12-01,47
2022-12-02,39
2022-12-03,43
2022-12-04,37
2022-12-05,31
2022-12-06,52
2022-12-07,65
2022-12-08,45
2022-12-09,38
2022-12-10,38
2022-12-11,37
2022-12-12,30
2022-12-13,38
2022-12-14,40
2022-12-15,36
2022-12-16,35
2022-12-17,33
2022-12-18,29
2022-12-19,27
2022-12-20,43
2022-12-21,50
2022-12-22,35
2022-12-23,31
2022-12-24,33
2022-12-25,30
2022-12-26,30
2022-12-27,43
2022-12-28,60
2022-12-29,48
2022-12-30,39
2022-12-31,32
2023-01-01,35
2023-01-02,34
2023-01-03,40
2023-01-04,44
2023-01-05,30
2023-01-06,29
2023-01-07,28
2023-01-08,28
2023-01-09,28
2023-01-10,33
2023-01-11,29
2023-01-12,25
2023-01-13,26
2023-01-14,25
2023-01-15,23
2023-01-16,20
2023-01-17,29
2023-01-18,27
2023-01-19,21
2023-01-20,20
2023-01-21,21
2023-01-22,20
2023-01-23,18
2023-01-24,18
2023-01-25,20
2023-01-26,17
2023-01-27,18
2023-01-28,20
2023-01-29,19
2023-01-30,19
2023-01-31,27
2023-02-01,28
2023-02-02,21
2023-02-03,18
2023-02-04,20
2023-02-05,20
2023-02-06,17
2023-02-07,19
2023-02-08,19
2023-02-09,17
2023-02-10,17
2023-02-11,18
2023-02-12,16
2023-02-13,16
2023-02-14,24
2023-02-15,28
2023-02-16,18
2023-02-17,16
2023-02-18,16
2023-02-19,16
2023-02-20,14
2023-02-21,22
2023-02-22,25
2023-02-23,18
2023-02-24,16
2023-02-25,17
2023-02-26,15
2023-02-27,13
2023-02-28,16
2023-03-01,15
2023-03-02,15
2023-03-03,13
2023-03-04,14
2023-03-05,14
2023-03-06,13
2023-03-07,21
2023-03-08,19
2023-03-09,13
2023-03-10,12
2023-03-11,13
2023-03-12,12
2023-03-13,12
2023-03-14,19
2023-03-15,18
2023-03-16,14
2023-03-17,13
2023-03-18,13
2023-03-19,13
2023-03-20,12
2023-03-21,15
2023-03-22,12
2023-03-23,13
2023-03-24,11
2023-03-25,12
2023-03-26,12
2023-03-27,11
