date,gt_score
2018-01-13,82
2018-01-14,100
2018-01-15,53
2018-01-16,37
2018-01-17,25
2018-01-18,24
2018-01-19,29
2018-01-20,68
2018-01-21,94
2018-01-22,49
2018-01-23,45
2018-01-24,37
2018-01-25,26
2018-01-26,27
2018-01-27,52
2018-01-28,74
2018-01-29,44
2018-01-30,43
2018-01-31,33
2018-02-01,31
2018-02-02,29
2018-02-03,51
2018-02-04,72
2018-02-05,49
2018-02-06,29
2018-02-07,35
2018-02-08,33
2018-02-09,34
2018-02-10,66
2018-02-11,74
2018-02-12,41
2018-02-13,35
2018-02-14,27
2018-02-15,28
2018-02-16,31
2018-02-17,59
2018-02-18,70
2018-02-19,28
2018-02-20,28
2018-02-21,15
2018-02-22,14
2018-02-23,8
2018-02-24,20
2018-02-25,21
2018-02-26,13
2018-02-27,11
2018-02-28,8
2018-03-01,9
2018-03-02,7
2018-03-03,16
2018-03-04,17
2018-03-05,9
2018-03-06,10
2018-03-07,6
2018-03-08,8
2018-03-09,6
2018-03-10,11
2018-03-11,13
2018-03-12,8
2018-03-13,5
2018-03-14,5
2018-03-15,0
2018-03-16,5
2018-03-17,7
2018-03-18,18
2018-03-19,8
2018-03-20,7
2018-03-21,6
2018-03-22,4
2018-03-23,6
2018-03-24,15
2018-03-25,16
2018-03-26,7
2018-03-27,10
2018-03-28,8
2018-03-29,5
2018-03-30,6
2018-03-31,19
2018-04-01,19
2018-04-02,6
2018-04-03,9
2018-04-04,7
2018-04-05,4
2018-04-06,8
2018-04-07,14
2018-04-08,19
2018-04-09,12
2018-04-10,13
2018-04-11,8
2018-04-12,11
2018-04-13,6
2018-04-14,16
2018-04-15,16
2018-04-16,8
2018-04-17,7
2018-04-18,9
2018-04-19,9
2018-04-20,8
2018-04-21,18
2018-04-22,23
2018-04-23,8
2018-04-24,10
2018-04-25,6
2018-04-26,5
2018-04-27,8
2018-04-28,14
2018-04-29,10
2018-04-30,11
2018-05-01,7
2018-05-02,15
2018-05-03,8
2018-05-04,8
2018-05-05,16
2018-05-06,16
2018-05-07,8
2018-05-08,8
2018-05-09,6
2018-05-10,8
2018-05-11,5
2018-05-12,14
2018-05-13,17
2018-05-14,10
2018-05-15,7
2018-05-16,4
2018-05-17,6
2018-05-18,7
2018-05-19,12
2018-05-20,16
2018-05-21,10
2018-05-22,9
2018-05-23,6
2018-05-24,8
2018-05-25,11
2018-05-26,35
2018-05-27,39
2018-05-28,20
2018-05-29,19
2018-05-30,17
2018-05-31,12
2018-06-01,18
2018-06-02,31
2018-06-03,34
2018-06-04,16
2018-06-05,12
2018-06-06,13
2018-06-07,12
2018-06-08,11
2018-06-09,14
2018-06-10,11
2018-06-11,6
2018-06-12,7
