date,pv,edit_count,editor_count
2018-01-13,21713,6,6
2018-01-14,28410,6,6
2018-01-15,12487,2,2
2018-01-16,11211,0,0
2018-01-17,8357,1,1
2018-01-18,6832,0,0
2018-01-19,5613,0,0
2018-01-20,19111,4,4
2018-01-21,25064,5,5
2018-01-22,12532,4,4
2018-01-23,11613,0,0
2018-01-24,8418,3,3
2018-01-25,6455,2,2
2018-01-26,5749,2,2
2018-01-27,16259,1,1
2018-01-28,21614,8,8
2018-01-29,11356,0,0
2018-01-30,10225,1,1
2018-01-31,8304,1,1
2018-02-01,6863,1,1
2018-02-02,7251,1,1
2018-02-03,15960,3,3
2018-02-04,20129,1,1
2018-02-05,11602,0,0
2018-02-06,10862,2,2
2018-02-07,8819,1,1
2018-02-08,8465,3,3
2018-02-09,8382,7,7
2018-02-10,17515,6,6
2018-02-11,21318,4,4
2018-02-12,13649,3,3
2018-02-13,11513,1,1
2018-02-14,8597,0,0
2018-02-15,6811,0,0
2018-02-16,5709,0,0
2018-02-17,13709,3,3
2018-02-18,19222,4,4
2018-02-19,10028,1,1
2018-02-20,9504,3,3
2018-02-21,7528,2,2
2018-02-22,6223,0,0
2018-02-23,6176,2,2
2018-02-24,12924,1,1
2018-02-25,15683,2,2
2018-02-26,8426,2,2
2018-02-27,7637,1,1
2018-02-28,5862,1,1
2018-03-01,4949,0,0
2018-03-02,4448,1,1
2018-03-03,10376,1,1
2018-03-04,12723,2,2
2018-03-05,7311,1,1
2018-03-06,6296,0,0
2018-03-07,5399,1,1
2018-03-08,5353,3,3
2018-03-09,4767,2,2
2018-03-10,8866,2,2
2018-03-11,10105,2,2
2018-03-12,5731,3,3
2018-03-13,5096,1,1
2018-03-14,4639,0,0
2018-03-15,4236,1,1
2018-03-16,4029,3,3
2018-03-17,9533,2,2
2018-03-18,9965,2,2
2018-03-19,5812,0,0
2018-03-20,5392,0,0
2018-03-21,5656,1,1
2018-03-22,4316,2,2
2018-03-23,3825,0,0
2018-03-24,11793,6,6
2018-03-25,13257,0,0
2018-03-26,8637,1,1
2018-03-27,8198,2,2
2018-03-28,6939,1,1
2018-03-29,6640,0,0
2018-03-30,6478,0,0
2018-03-31,13260,3,3
2018-04-01,14502,2,2
2018-04-02,9463,0,0
2018-04-03,8787,2,2
2018-04-04,6863,1,1
2018-04-05,5986,1,1
2018-04-06,5544,1,1
2018-04-07,15317,4,4
2018-04-08,21555,3,3
2018-04-09,11480,2,2
2018-04-10,11404,1,1
2018-04-11,9280,1,1
2018-04-12,8580,1,1
2018-04-13,6844,1,1
2018-04-14,16614,5,5
2018-04-15,19757,4,4
2018-04-16,9449,2,2
2018-04-17,8187,1,1
2018-04-18,7263,0,0
2018-04-19,6718,1,1
2018-04-20,5421,0,0
2018-04-21,12788,2,2
2018-04-22,17814,5,5
2018-04-23,9682,1,1
2018-04-24,8757,3,3
2018-04-25,7002,1,1
2018-04-26,5716,2,2
2018-04-27,5236,0,0
2018-04-28,11295,1,1
2018-04-29,9707,1,1
2018-04-30,7544,0,0
2018-05-01,6173,2,2
2018-05-02,6899,1,1
2018-05-03,6632,1,1
2018-05-04,6688,1,1
2018-05-05,11494,2,2
2018-05-06,13132,1,1
2018-05-07,7789,0,0
2018-05-08,6880,0,0
2018-05-09,5739,0,0
2018-05-10,7726,0,0
2018-05-11,4960,1,1
2018-05-12,12909,3,3
2018-05-13,16778,3,3
2018-05-14,8773,0,0
2018-05-15,7083,1,1
2018-05-16,5624,0,0
2018-05-17,6419,0,0
2018-05-18,5574,0,0
2018-05-19,11002,2,2
2018-05-20,10917,1,1
2018-05-21,6000,0,0
2018-05-22,5508,1,1
2018-05-23,4959,0,0
2018-05-24,4114,0,0
2018-05-25,3897,0,0
2018-05-26,9170,3,3
2018-05-27,9545,7,7
2018-05-28,5897,0,0
2018-05-29,5431,3,3
2018-05-30,4855,0,0
2018-05-31,4065,0,0
2018-06-01,4203,0,0
2018-06-02,7042,2,2
2018-06-03,6874,1,1
2018-06-04,4449,0,0
2018-06-05,3823,0,0
2018-06-06,3607,0,0
2018-06-07,3478,0,0
2018-06-08,3136,0,0
2018-06-09,7867,1,1
2018-06-10,10625,2,2
2018-06-11,5606,3,3
2018-06-12,5042,1,1
2018-06-13,3937,0,0
2018-06-14,3519,0,0
2018-06-15,3492,0,0
2018-06-16,8251,5,5
2018-06-17,10501,3,3
2018-06-18,5621,0,0
2018-06-19,5515,1,1
2018-06-20,4607,1,1
2018-06-21,4231,1,1
2018-06-22,4130,0,0
2018-06-23,10804,8,8
2018-06-24,9940,3,3
2018-06-25,5244,1,1
2018-06-26,5523,2,2
2018-06-27,4937,1,1
2018-06-28,4669,1,1
2018-06-29,4722,4,4
2018-06-30,12712,7,7
2018-07-01,13847,1,1
2018-07-02,6626,1,1
2018-07-03,7367,3,3
2018-07-04,5744,0,0
2018-07-05,5567,0,0
2018-07-06,5598,0,0
2018-07-07,18256,1,1
2018-07-08,20731,3,3
2018-07-09,10423,3,3
2018-07-10,8903,2,2
2018-07-11,7016,2,2
2018-07-12,5965,0,0
2018-07-13,4896,0,0
2018-07-14,5538,1,1
2018-07-15,5067,1,1
2018-07-16,4834,1,1
2018-07-17,3478,0,0
2018-07-18,3044,0,0
2018-07-19,2748,0,0
2018-07-20,2682,0,0
2018-07-21,3069,0,0
2018-07-22,3478,2,2
2018-07-23,2676,1,1
2018-07-24,2248,1,1
2018-07-25,2181,0,0
2018-07-26,2104,1,1
2018-07-27,2111,0,0
2018-07-28,3148,2,2
2018-07-29,3535,0,0
2018-07-30,2414,0,0
2018-07-31,1992,0,0
2018-08-01,1789,0,0
2018-08-02,2160,1,1
2018-08-03,1939,0,0
2018-08-04,2074,0,0
2018-08-05,2504,0,0
2018-08-06,2177,0,0
2018-08-07,1945,1,1
2018-08-08,1884,0,0
2018-08-09,1833,0,0
2018-08-10,2167,0,0
2018-08-11,2946,0,0
2018-08-12,3328,1,1
