date,gt_score
2020-07-09,100
2020-07-10,52
2020-07-11,52
2020-07-12,27
2020-07-13,41
2020-07-14,32
2020-07-15,43
2020-07-16,53
2020-07-17,32
2020-07-18,27
2020-07-19,67
2020-07-20,0
2020-07-21,0
2020-07-22,38
2020-07-23,49
2020-07-24,0
2020-07-25,25
2020-07-26,33
2020-07-27,29
2020-07-28,38
2020-07-29,48
2020-07-30,0
2020-07-31,32
2020-08-01,30
2020-08-02,0
2020-08-03,0
2020-08-04,27
2020-08-05,0
2020-08-06,33
2020-08-07,46
2020-08-08,44
2020-08-09,0
2020-08-10,29
2020-08-11,0
2020-08-12,27
2020-08-13,0
2020-08-14,29
2020-08-15,0
2020-08-16,28
2020-08-17,0
2020-08-18,36
2020-08-19,29
2020-08-20,42
2020-08-21,31
2020-08-22,26
2020-08-23,40
2020-08-24,0
2020-08-25,34
2020-08-26,32
2020-08-27,26
2020-08-28,0
2020-08-29,38
2020-08-30,26
2020-08-31,34
2020-09-01,27
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,29
2020-09-06,0
2020-09-07,0
2020-09-08,28
2020-09-09,28
2020-09-10,27
2020-09-11,0
2020-09-12,26
2020-09-13,31
2020-09-14,0
2020-09-15,0
2020-09-16,32
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,49
2020-09-23,39
2020-09-24,43
2020-09-25,53
2020-09-26,45
2020-09-27,60
2020-09-28,30
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,32
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,28
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
