date,pv,edit_count,editor_count
2023-04-06,7668,1,1
2023-04-07,8924,1,1
2023-04-08,7522,0,0
2023-04-09,5922,0,0
2023-04-10,4124,0,0
2023-04-11,3901,0,0
2023-04-12,3933,0,0
2023-04-13,5277,1,1
2023-04-14,5773,2,2
2023-04-15,5743,2,2
2023-04-16,5054,1,1
2023-04-17,3489,0,0
2023-04-18,3603,0,0
2023-04-19,3378,0,0
2023-04-20,6250,1,1
2023-04-21,7174,2,2
2023-04-22,6140,0,0
2023-04-23,5541,0,0
2023-04-24,3824,0,0
2023-04-25,3587,0,0
2023-04-26,3317,1,1
2023-04-27,4790,1,1
2023-04-28,5143,0,0
2023-04-29,6948,0,0
2023-04-30,6941,0,0
2023-05-01,4204,0,0
2023-05-02,3600,0,0
2023-05-03,3799,0,0
2023-05-04,5881,1,1
2023-05-05,6942,2,2
2023-05-06,6091,0,0
2023-05-07,5480,0,0
2023-05-08,3826,0,0
2023-05-09,3320,0,0
2023-05-10,3908,0,0
2023-05-11,5734,1,1
2023-05-12,6556,0,0
2023-05-13,6097,0,0
2023-05-14,5367,0,0
2023-05-15,3832,0,0
2023-05-16,3306,0,0
2023-05-17,3095,0,0
2023-05-18,6124,1,1
2023-05-19,7343,0,0
2023-05-20,5964,0,0
2023-05-21,4942,0,0
2023-05-22,3677,0,0
2023-05-23,3290,0,0
2023-05-24,2960,0,0
2023-05-25,4737,1,1
2023-05-26,5936,0,0
2023-05-27,5091,0,0
2023-05-28,4683,0,0
2023-05-29,3727,0,0
2023-05-30,3091,0,0
2023-05-31,2940,1,1
2023-06-01,4344,1,1
2023-06-02,5002,0,0
2023-06-03,4780,0,0
2023-06-04,4111,0,0
2023-06-05,3218,0,0
2023-06-06,3056,0,0
2023-06-07,2791,0,0
2023-06-08,4127,1,1
2023-06-09,4689,0,0
2023-06-10,4277,0,0
2023-06-11,4189,0,0
2023-06-12,2875,0,0
2023-06-13,2641,0,0
2023-06-14,2804,0,0
2023-06-15,5897,2,2
2023-06-16,6690,0,0
2023-06-17,5993,0,0
2023-06-18,5261,0,0
2023-06-19,3986,0,0
2023-06-20,3496,0,0
2023-06-21,3620,0,0
2023-06-22,5224,1,1
2023-06-23,4631,0,0
2023-06-24,4224,0,0
2023-06-25,3949,0,0
2023-06-26,3053,0,0
2023-06-27,2874,0,0
2023-06-28,2751,0,0
2023-06-29,3335,0,0
2023-06-30,3015,0,0
2023-07-01,3517,0,0
2023-07-02,3342,0,0
2023-07-03,2489,0,0
2023-07-04,2358,0,0
2023-07-05,2292,0,0
