date,gt_score
2024-01-04,100
2024-01-05,81
2024-01-06,42
2024-01-07,43
2024-01-08,28
2024-01-09,25
2024-01-10,31
2024-01-11,29
2024-01-12,34
2024-01-13,32
2024-01-14,24
2024-01-15,15
2024-01-16,10
2024-01-17,16
2024-01-18,19
2024-01-19,27
2024-01-20,20
2024-01-21,16
2024-01-22,15
2024-01-23,8
2024-01-24,12
2024-01-25,21
2024-01-26,0
2024-01-27,15
2024-01-28,15
2024-01-29,14
2024-01-30,9
2024-01-31,14
2024-02-01,15
2024-02-02,15
2024-02-03,13
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,11
2024-02-08,14
2024-02-09,17
2024-02-10,17
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,21
2024-02-16,16
2024-02-17,23
2024-02-18,21
2024-02-19,15
2024-02-20,15
2024-02-21,11
2024-02-22,23
2024-02-23,15
2024-02-24,11
2024-02-25,19
2024-02-26,12
2024-02-27,13
2024-02-28,18
2024-02-29,13
2024-03-01,16
2024-03-02,20
2024-03-03,11
2024-03-04,9
2024-03-05,13
2024-03-06,19
2024-03-07,19
2024-03-08,19
2024-03-09,19
2024-03-10,15
2024-03-11,14
2024-03-12,0
2024-03-13,0
2024-03-14,23
2024-03-15,21
2024-03-16,24
2024-03-17,18
2024-03-18,22
2024-03-19,15
2024-03-20,11
2024-03-21,37
2024-03-22,57
2024-03-23,68
2024-03-24,45
2024-03-25,35
2024-03-26,25
2024-03-27,24
2024-03-28,44
2024-03-29,60
2024-03-30,41
2024-03-31,28
2024-04-01,19
2024-04-02,19
2024-04-03,28
2024-04-04,30
2024-04-05,29
2024-04-06,26
2024-04-07,29
2024-04-08,19
2024-04-09,19
2024-04-10,12
2024-04-11,23
2024-04-12,24
2024-04-13,22
2024-04-14,18
2024-04-15,16
2024-04-16,14
2024-04-17,11
2024-04-18,12
2024-04-19,19
2024-04-20,19
2024-04-21,14
2024-04-22,10
2024-04-23,12
2024-04-24,14
2024-04-25,26
2024-04-26,20
2024-04-27,22
2024-04-28,18
2024-04-29,13
2024-04-30,10
2024-05-01,15
2024-05-02,22
2024-05-03,19
2024-05-04,14
2024-05-05,16
2024-05-06,15
2024-05-07,13
2024-05-08,12
2024-05-09,20
2024-05-10,17
2024-05-11,19
2024-05-12,22
2024-05-13,13
2024-05-14,14
2024-05-15,0
2024-05-16,15
2024-05-17,20
2024-05-18,0
2024-05-19,23
2024-05-20,9
2024-05-21,0
2024-05-22,0
2024-05-23,28
2024-05-24,19
2024-05-25,22
2024-05-26,16
2024-05-27,11
2024-05-28,16
2024-05-29,14
2024-05-30,20
2024-05-31,17
2024-06-01,23
2024-06-02,19
