date,pv,edit_count,editor_count
2024-01-04,20415,4,4
2024-01-05,26799,5,5
2024-01-06,17738,4,4
2024-01-07,13446,1,1
2024-01-08,11785,1,1
2024-01-09,9163,1,1
2024-01-10,7849,0,0
2024-01-11,12597,2,2
2024-01-12,15290,0,0
2024-01-13,13644,0,0
2024-01-14,12169,0,0
2024-01-15,8998,0,0
2024-01-16,8025,0,0
2024-01-17,6064,0,0
2024-01-18,9534,1,1
2024-01-19,11401,0,0
2024-01-20,10522,1,1
2024-01-21,9081,1,1
2024-01-22,5761,0,0
2024-01-23,5058,0,0
2024-01-24,4602,0,0
2024-01-25,7588,1,1
2024-01-26,8346,1,1
2024-01-27,7664,0,0
2024-01-28,7189,0,0
2024-01-29,4874,0,0
2024-01-30,4090,0,0
2024-01-31,4177,0,0
2024-02-01,7742,1,1
2024-02-02,9392,1,1
2024-02-03,8019,0,0
2024-02-04,7283,0,0
2024-02-05,4687,1,1
2024-02-06,4225,0,0
2024-02-07,3568,0,0
2024-02-08,6905,2,2
2024-02-09,8671,0,0
2024-02-10,7388,0,0
2024-02-11,6767,0,0
2024-02-12,6589,0,0
2024-02-13,4628,0,0
2024-02-14,4325,0,0
2024-02-15,7863,1,1
2024-02-16,9806,4,4
2024-02-17,9249,0,0
2024-02-18,8762,0,0
2024-02-19,6132,1,1
2024-02-20,5107,1,1
2024-02-21,4843,0,0
2024-02-22,7746,2,2
2024-02-23,10932,0,0
2024-02-24,7518,1,1
2024-02-25,7096,0,0
2024-02-26,5130,2,2
2024-02-27,4469,0,0
2024-02-28,3760,1,1
2024-02-29,6886,2,2
2024-03-01,8278,0,0
2024-03-02,7599,0,0
2024-03-03,6692,1,1
2024-03-04,4711,0,0
2024-03-05,4341,0,0
2024-03-06,3631,0,0
2024-03-07,7088,2,2
2024-03-08,8961,0,0
2024-03-09,7472,0,0
2024-03-10,6849,0,0
2024-03-11,5041,0,0
2024-03-12,4339,0,0
2024-03-13,4046,0,0
2024-03-14,14802,1,1
2024-03-15,17480,0,0
2024-03-16,12871,0,0
2024-03-17,10197,0,0
2024-03-18,6779,0,0
2024-03-19,5664,1,1
2024-03-20,6059,0,0
2024-03-21,11091,1,1
2024-03-22,12878,0,0
2024-03-23,10020,0,0
2024-03-24,9150,0,0
2024-03-25,6840,0,0
2024-03-26,6100,0,0
2024-03-27,6317,0,0
2024-03-28,13934,2,2
2024-03-29,16402,1,1
2024-03-30,12576,0,0
2024-03-31,10150,0,0
2024-04-01,6312,0,0
2024-04-02,6119,0,0
2024-04-03,5708,0,0
