date,gt_score
2020-01-05,76
2020-01-06,100
2020-01-07,65
2020-01-08,21
2020-01-09,37
2020-01-10,28
2020-01-11,43
2020-01-12,58
2020-01-13,69
2020-01-14,41
2020-01-15,0
2020-01-16,37
2020-01-17,26
2020-01-18,35
2020-01-19,49
2020-01-20,26
2020-01-21,22
2020-01-22,21
2020-01-23,0
2020-01-24,24
2020-01-25,25
2020-01-26,0
2020-01-27,34
2020-01-28,24
2020-01-29,34
2020-01-30,0
2020-01-31,0
2020-02-01,28
2020-02-02,99
2020-02-03,27
2020-02-04,27
2020-02-05,28
2020-02-06,28
2020-02-07,34
2020-02-08,35
2020-02-09,39
2020-02-10,23
2020-02-11,26
2020-02-12,24
2020-02-13,0
2020-02-14,23
2020-02-15,0
2020-02-16,34
2020-02-17,32
2020-02-18,34
2020-02-19,32
2020-02-20,28
2020-02-21,0
2020-02-22,29
2020-02-23,49
2020-02-24,55
2020-02-25,30
2020-02-26,48
2020-02-27,0
2020-02-28,62
2020-02-29,45
2020-03-01,29
2020-03-02,35
2020-03-03,30
2020-03-04,51
2020-03-05,24
2020-03-06,21
2020-03-07,29
2020-03-08,44
2020-03-09,48
2020-03-10,35
2020-03-11,29
2020-03-12,27
2020-03-13,24
2020-03-14,25
2020-03-15,65
2020-03-16,58
2020-03-17,25
2020-03-18,0
2020-03-19,0
2020-03-20,37
2020-03-21,47
2020-03-22,72
2020-03-23,86
2020-03-24,67
2020-03-25,40
2020-03-26,41
2020-03-27,49
2020-03-28,43
2020-03-29,73
2020-03-30,23
2020-03-31,27
2020-04-01,0
2020-04-02,24
2020-04-03,19
2020-04-04,27
2020-04-05,45
2020-04-06,27
2020-04-07,24
2020-04-08,32
2020-04-09,37
2020-04-10,26
2020-04-11,26
2020-04-12,22
2020-04-13,27
2020-04-14,0
2020-04-15,24
2020-04-16,30
2020-04-17,0
2020-04-18,19
2020-04-19,29
2020-04-20,0
2020-04-21,22
2020-04-22,0
2020-04-23,0
2020-04-24,20
2020-04-25,19
2020-04-26,38
2020-04-27,22
2020-04-28,24
2020-04-29,23
2020-04-30,18
2020-05-01,25
2020-05-02,19
2020-05-03,20
2020-05-04,79
2020-05-05,42
2020-05-06,25
2020-05-07,21
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,36
2020-05-12,26
2020-05-13,19
2020-05-14,20
2020-05-15,29
2020-05-16,39
2020-05-17,30
2020-05-18,0
2020-05-19,23
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,23
2020-05-24,26
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,24
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
