date,pv,edit_count,editor_count
2020-01-05,17797,1,1
2020-01-06,22354,2,2
2020-01-07,13257,0,0
2020-01-08,9470,0,0
2020-01-09,7618,0,0
2020-01-10,6780,3,3
2020-01-11,7621,2,2
2020-01-12,13246,1,1
2020-01-13,14774,0,0
2020-01-14,8141,0,0
2020-01-15,6608,0,0
2020-01-16,5639,0,0
2020-01-17,4395,0,0
2020-01-18,4718,0,0
2020-01-19,8464,1,1
2020-01-20,8930,0,0
2020-01-21,5925,0,0
2020-01-22,4344,0,0
2020-01-23,3812,0,0
2020-01-24,3631,0,0
2020-01-25,4214,4,4
2020-01-26,8084,2,2
2020-01-27,8469,2,2
2020-01-28,5855,3,3
2020-01-29,4758,1,1
2020-01-30,4514,2,2
2020-01-31,4016,0,0
2020-02-01,4676,1,1
2020-02-02,31857,2,2
2020-02-03,13191,0,0
2020-02-04,8443,0,0
2020-02-05,6347,0,0
2020-02-06,5286,0,0
2020-02-07,4639,1,1
2020-02-08,5387,0,0
2020-02-09,9047,1,1
2020-02-10,9387,1,1
2020-02-11,7763,0,0
2020-02-12,5007,0,0
2020-02-13,4300,0,0
2020-02-14,4050,1,1
2020-02-15,4050,0,0
2020-02-16,8739,2,2
2020-02-17,7619,2,2
2020-02-18,9616,3,3
2020-02-19,5058,0,0
2020-02-20,4124,0,0
2020-02-21,4230,2,2
2020-02-22,4564,0,0
2020-02-23,8453,2,2
2020-02-24,10207,1,1
2020-02-25,5686,1,1
2020-02-26,4683,0,0
2020-02-27,4045,1,1
2020-02-28,5207,2,2
2020-02-29,4381,1,1
2020-03-01,8345,2,2
2020-03-02,9766,1,1
2020-03-03,6967,0,0
2020-03-04,5239,0,0
2020-03-05,4691,1,1
2020-03-06,3964,0,0
2020-03-07,4465,1,1
2020-03-08,8758,1,1
2020-03-09,8657,0,0
2020-03-10,6090,1,1
2020-03-11,4568,0,0
2020-03-12,3758,0,0
2020-03-13,3325,0,0
2020-03-14,4040,0,0
2020-03-15,7132,1,1
2020-03-16,7717,3,3
2020-03-17,5076,0,0
2020-03-18,4053,1,1
2020-03-19,3891,1,1
2020-03-20,3910,0,0
2020-03-21,5120,2,2
2020-03-22,8450,2,2
2020-03-23,8108,1,1
2020-03-24,5404,0,0
2020-03-25,4476,0,0
2020-03-26,4729,1,1
2020-03-27,3951,1,1
2020-03-28,4289,1,1
2020-03-29,5376,3,3
2020-03-30,3272,2,2
2020-03-31,3138,0,0
2020-04-01,2895,0,0
2020-04-02,3034,1,1
2020-04-03,2929,2,2
2020-04-04,4059,0,0
