date,pv,edit_count,editor_count
2019-07-06,42478,4,4
2019-07-07,28318,0,0
2019-07-08,16966,0,0
2019-07-09,12269,0,0
2019-07-10,10155,0,0
2019-07-11,8946,0,0
2019-07-12,16463,2,2
2019-07-13,23042,2,2
2019-07-14,17517,2,2
2019-07-15,14410,0,0
2019-07-16,10196,0,0
2019-07-17,8545,0,0
2019-07-18,9565,1,1
2019-07-19,22707,4,4
2019-07-20,13553,1,1
2019-07-21,10107,3,3
2019-07-22,6872,1,1
2019-07-23,5290,0,0
2019-07-24,5160,0,0
2019-07-25,5221,2,2
2019-07-26,12122,2,2
2019-07-27,19538,2,2
2019-07-28,13738,0,0
2019-07-29,8662,0,0
2019-07-30,6715,0,0
2019-07-31,5550,1,1
2019-08-01,5352,1,1
2019-08-02,12644,1,1
2019-08-03,17788,2,2
2019-08-04,13879,0,0
2019-08-05,9960,0,0
2019-08-06,7923,1,1
2019-08-07,6869,0,0
2019-08-08,5438,0,0
2019-08-09,9512,1,1
2019-08-10,12478,1,1
2019-08-11,9761,0,0
2019-08-12,8402,0,0
2019-08-13,6793,0,0
2019-08-14,6692,0,0
2019-08-15,6866,0,0
2019-08-16,11824,2,2
2019-08-17,16220,0,0
2019-08-18,11612,3,3
2019-08-19,7934,0,0
2019-08-20,6789,0,0
2019-08-21,6386,2,2
2019-08-22,5664,0,0
2019-08-23,11499,1,1
2019-08-24,17968,0,0
2019-08-25,12956,0,0
2019-08-26,8759,0,0
2019-08-27,9000,0,0
2019-08-28,7823,0,0
2019-08-29,6409,0,0
2019-08-30,17526,1,1
2019-08-31,27549,1,1
2019-09-01,17823,1,1
2019-09-02,11501,0,0
2019-09-03,9899,0,0
2019-09-04,7900,0,0
2019-09-05,6501,0,0
2019-09-06,14081,2,2
2019-09-07,19665,0,0
2019-09-08,13790,1,1
2019-09-09,9071,0,0
2019-09-10,7165,0,0
2019-09-11,6529,0,0
2019-09-12,5512,1,1
2019-09-13,11214,2,2
2019-09-14,15953,1,1
2019-09-15,11279,0,0
2019-09-16,11020,1,1
2019-09-17,8665,1,1
2019-09-18,6256,0,0
2019-09-19,6085,1,1
2019-09-20,12396,1,1
2019-09-21,15434,1,1
2019-09-22,12560,1,1
2019-09-23,12045,0,0
2019-09-24,8871,2,2
2019-09-25,7290,0,0
2019-09-26,6746,1,1
2019-09-27,7449,1,1
2019-09-28,9400,2,2
2019-09-29,8996,0,0
2019-09-30,6058,0,0
2019-10-01,5694,0,0
2019-10-02,5839,0,0
2019-10-03,5327,0,0
2019-10-04,6415,0,0
