date,pv,edit_count,editor_count
2023-09-29,197076,12,12
2023-09-30,115530,7,7
2023-10-01,76922,2,2
2023-10-02,48762,3,3
2023-10-03,37844,0,0
2023-10-04,33595,0,0
2023-10-05,28905,0,0
2023-10-06,42094,4,4
2023-10-07,41248,1,1
2023-10-08,34388,0,0
2023-10-09,33204,1,1
2023-10-10,21323,0,0
2023-10-11,17203,2,2
2023-10-12,15159,2,2
2023-10-13,24697,3,3
2023-10-14,29694,2,2
2023-10-15,24736,1,1
2023-10-16,17577,1,1
2023-10-17,15026,0,0
2023-10-18,15748,2,2
2023-10-19,14219,0,0
2023-10-20,25470,4,4
2023-10-21,30375,0,0
2023-10-22,25433,0,0
2023-10-23,18151,0,0
2023-10-24,16610,2,2
2023-10-25,14183,5,5
2023-10-26,12370,1,1
2023-10-27,29260,3,3
2023-10-28,35870,2,2
2023-10-29,27032,0,0
2023-10-30,20316,0,0
2023-10-31,17536,0,0
2023-11-01,16300,0,0
2023-11-02,15566,0,0
2023-11-03,32562,1,1
2023-11-04,35610,0,0
2023-11-05,28661,0,0
2023-11-06,20418,0,0
2023-11-07,17940,0,0
2023-11-08,16257,0,0
2023-11-09,14564,0,0
2023-11-10,25968,1,1
2023-11-11,33511,0,0
2023-11-12,27182,3,3
2023-11-13,20779,0,0
2023-11-14,17530,2,2
2023-11-15,17051,1,1
2023-11-16,15952,1,1
2023-11-17,27942,3,3
2023-11-18,31221,0,0
2023-11-19,24109,1,1
2023-11-20,17850,0,0
2023-11-21,14976,0,0
2023-11-22,15365,1,1
2023-11-23,16002,1,1
2023-11-24,25172,2,2
2023-11-25,28839,2,2
2023-11-26,23300,0,0
2023-11-27,17709,1,1
2023-11-28,16660,0,0
2023-11-29,14526,2,2
2023-11-30,13748,0,0
2023-12-01,25008,5,5
2023-12-02,29289,1,1
2023-12-03,27400,0,0
2023-12-04,19483,3,3
2023-12-05,16536,0,0
2023-12-06,14304,1,1
2023-12-07,12355,0,0
2023-12-08,21534,1,1
2023-12-09,24798,0,0
2023-12-10,21044,0,0
2023-12-11,16143,1,1
2023-12-12,13809,1,1
2023-12-13,13618,1,1
2023-12-14,11536,1,1
2023-12-15,18317,1,1
2023-12-16,20665,2,2
2023-12-17,17613,2,2
2023-12-18,14945,0,0
2023-12-19,12555,0,0
2023-12-20,11562,0,0
2023-12-21,10334,1,1
2023-12-22,20608,4,4
2023-12-23,24542,0,0
2023-12-24,22761,1,1
2023-12-25,16174,0,0
2023-12-26,12943,2,2
2023-12-27,11243,0,0
2023-12-28,11288,0,0
2023-12-29,14274,1,1
2023-12-30,14471,0,0
2023-12-31,13672,2,2
2024-01-01,13202,0,0
2024-01-02,14207,0,0
2024-01-03,13700,1,1
2024-01-04,13355,0,0
2024-01-05,22555,2,2
2024-01-06,23784,1,1
2024-01-07,20075,1,1
2024-01-08,17355,0,0
2024-01-09,14963,0,0
2024-01-10,13866,0,0
2024-01-11,12324,1,1
2024-01-12,24639,1,1
2024-01-13,30830,0,0
2024-01-14,23637,0,0
2024-01-15,17864,3,3
2024-01-16,16268,0,0
2024-01-17,12850,0,0
2024-01-18,13233,3,3
2024-01-19,23948,4,4
2024-01-20,30009,0,0
2024-01-21,23517,0,0
2024-01-22,16716,1,1
2024-01-23,14564,2,2
2024-01-24,12452,0,0
2024-01-25,10876,1,1
2024-01-26,25926,1,1
2024-01-27,32199,0,0
2024-01-28,23910,0,0
2024-01-29,16358,0,0
2024-01-30,14943,0,0
2024-01-31,14699,0,0
2024-02-01,13227,1,1
2024-02-02,21713,1,1
2024-02-03,24933,0,0
2024-02-04,20578,0,0
2024-02-05,14696,1,1
2024-02-06,13428,0,0
2024-02-07,12050,0,0
2024-02-08,11840,3,3
2024-02-09,19259,2,2
2024-02-10,23030,1,1
2024-02-11,19291,4,4
2024-02-12,17507,0,0
2024-02-13,13663,1,1
2024-02-14,11049,0,0
2024-02-15,10298,0,0
2024-02-16,20290,1,1
2024-02-17,26708,2,2
2024-02-18,20053,1,1
2024-02-19,14718,2,2
2024-02-20,12994,4,4
2024-02-21,12263,0,0
2024-02-22,11084,0,0
2024-02-23,22500,2,2
2024-02-24,24045,0,0
2024-02-25,19848,0,0
2024-02-26,13777,0,0
2024-02-27,12235,0,0
2024-02-28,10772,0,0
2024-02-29,9926,0,0
2024-03-01,14929,1,1
2024-03-02,19712,0,0
2024-03-03,17599,0,0
2024-03-04,12884,0,0
2024-03-05,12264,0,0
2024-03-06,10380,0,0
2024-03-07,9346,0,0
2024-03-08,16112,1,1
2024-03-09,22212,0,0
2024-03-10,17709,0,0
2024-03-11,13452,0,0
2024-03-12,11792,1,1
2024-03-13,10375,1,1
2024-03-14,9957,0,0
2024-03-15,19146,2,2
2024-03-16,24476,1,1
2024-03-17,18487,0,0
2024-03-18,13975,0,0
2024-03-19,13004,1,1
2024-03-20,14141,0,0
2024-03-21,10448,0,0
2024-03-22,21863,2,2
2024-03-23,33167,4,4
2024-03-24,25062,3,3
2024-03-25,19506,2,2
2024-03-26,15987,2,2
2024-03-27,12477,0,0
2024-03-28,11991,0,0
2024-03-29,16641,1,1
2024-03-30,19232,1,1
2024-03-31,16216,0,0
2024-04-01,11691,0,0
2024-04-02,10143,0,0
2024-04-03,9350,0,0
2024-04-04,10784,0,0
2024-04-05,11022,0,0
2024-04-06,14339,0,0
2024-04-07,14070,0,0
2024-04-08,10797,0,0
2024-04-09,9582,0,0
2024-04-10,8827,1,1
2024-04-11,8169,0,0
2024-04-12,8020,0,0
2024-04-13,8755,0,0
2024-04-14,8897,3,3
2024-04-15,6957,0,0
2024-04-16,6790,1,1
2024-04-17,7499,4,4
2024-04-18,6996,2,2
2024-04-19,6905,1,1
2024-04-20,7608,1,1
2024-04-21,8313,0,0
2024-04-22,6313,1,1
2024-04-23,6147,0,0
2024-04-24,6855,1,1
2024-04-25,5564,0,0
2024-04-26,5328,0,0
2024-04-27,6888,1,1
2024-04-28,6875,0,0
2024-04-29,7304,0,0
2024-04-30,6114,1,1
2024-05-01,6146,0,0
2024-05-02,5796,0,0
2024-05-03,11472,0,0
2024-05-04,7617,0,0
2024-05-05,7248,0,0
2024-05-06,7519,1,1
2024-05-07,5459,0,0
2024-05-08,5362,0,0
2024-05-09,5146,1,1
2024-05-10,4495,0,0
2024-05-11,6035,0,0
2024-05-12,6789,0,0
2024-05-13,6428,1,1
2024-05-14,5581,2,2
2024-05-15,5489,1,1
2024-05-16,5104,0,0
2024-05-17,4763,0,0
2024-05-18,5396,0,0
2024-05-19,5593,1,1
2024-05-20,4434,0,0
