date,gt_score
2021-04-12,94
2021-04-13,60
2021-04-14,42
2021-04-15,28
2021-04-16,32
2021-04-17,45
2021-04-18,23
2021-04-19,57
2021-04-20,35
2021-04-21,35
2021-04-22,0
2021-04-23,22
2021-04-24,24
2021-04-25,40
2021-04-26,37
2021-04-27,38
2021-04-28,27
2021-04-29,41
2021-04-30,21
2021-05-01,47
2021-05-02,100
2021-05-03,73
2021-05-04,34
2021-05-05,42
2021-05-06,29
2021-05-07,22
2021-05-08,30
2021-05-09,33
2021-05-10,46
2021-05-11,32
2021-05-12,19
2021-05-13,27
2021-05-14,31
2021-05-15,30
2021-05-16,33
2021-05-17,36
2021-05-18,32
2021-05-19,15
2021-05-20,19
2021-05-21,26
2021-05-22,20
2021-05-23,23
2021-05-24,30
2021-05-25,25
2021-05-26,14
2021-05-27,17
2021-05-28,12
2021-05-29,13
2021-05-30,14
2021-05-31,33
2021-06-01,21
2021-06-02,20
2021-06-03,17
2021-06-04,16
2021-06-05,18
2021-06-06,16
2021-06-07,23
2021-06-08,23
2021-06-09,13
2021-06-10,13
2021-06-11,0
2021-06-12,31
2021-06-13,13
2021-06-14,21
2021-06-15,21
2021-06-16,16
2021-06-17,15
2021-06-18,16
2021-06-19,18
2021-06-20,12
2021-06-21,24
2021-06-22,36
2021-06-23,26
2021-06-24,0
2021-06-25,21
2021-06-26,17
2021-06-27,23
2021-06-28,30
2021-06-29,29
2021-06-30,32
2021-07-01,22
2021-07-02,17
2021-07-03,23
2021-07-04,33
2021-07-05,36
2021-07-06,49
2021-07-07,27
2021-07-08,19
2021-07-09,31
2021-07-10,28
2021-07-11,26
