date,pv,edit_count,editor_count
2018-10-07,73724,10,10
2018-10-08,49879,4,4
2018-10-09,31795,2,2
2018-10-10,26676,3,3
2018-10-11,26768,1,1
2018-10-12,30275,0,0
2018-10-13,45797,2,2
2018-10-14,58916,2,2
2018-10-15,30189,3,3
2018-10-16,22219,6,6
2018-10-17,16605,2,2
2018-10-18,13341,3,3
2018-10-19,11681,2,2
2018-10-20,22192,5,5
2018-10-21,33051,7,7
2018-10-22,18980,2,2
2018-10-23,14494,2,2
2018-10-24,11903,1,1
2018-10-25,10408,0,0
2018-10-26,9300,3,3
2018-10-27,16882,5,5
2018-10-28,25413,2,2
2018-10-29,16135,3,3
2018-10-30,12936,2,2
2018-10-31,11120,0,0
2018-11-01,9912,0,0
2018-11-02,9777,1,1
2018-11-03,20310,5,5
2018-11-04,33943,2,2
2018-11-05,16994,4,4
2018-11-06,13576,4,4
2018-11-07,10613,1,1
2018-11-08,11144,0,0
2018-11-09,9635,0,0
2018-11-10,20307,4,4
2018-11-11,30155,2,2
2018-11-12,16351,4,4
2018-11-13,11517,0,0
2018-11-14,9894,0,0
2018-11-15,8789,5,5
2018-11-16,8316,2,2
2018-11-17,23712,2,2
2018-11-18,38329,5,5
2018-11-19,18446,2,2
2018-11-20,12814,1,1
2018-11-21,10701,1,1
2018-11-22,9401,1,1
2018-11-23,11189,1,1
2018-11-24,19748,2,2
2018-11-25,32430,3,3
2018-11-26,17239,3,3
2018-11-27,13009,0,0
2018-11-28,9952,3,3
2018-11-29,8065,2,2
2018-11-30,6729,1,1
2018-12-01,12783,3,3
2018-12-02,18366,2,2
2018-12-03,11026,2,2
2018-12-04,9015,1,1
2018-12-05,7670,0,0
2018-12-06,6437,0,0
2018-12-07,5722,2,2
2018-12-08,14587,4,4
2018-12-09,20924,4,4
2018-12-10,10275,3,3
2018-12-11,7829,1,1
2018-12-12,6748,0,0
2018-12-13,7160,2,2
2018-12-14,6638,1,1
2018-12-15,11267,5,5
2018-12-16,12708,1,1
2018-12-17,7878,1,1
2018-12-18,6477,2,2
2018-12-19,5625,2,2
2018-12-20,5160,1,1
2018-12-21,4838,1,1
2018-12-22,12288,3,3
2018-12-23,18467,1,1
2018-12-24,11373,1,1
2018-12-25,8482,1,1
2018-12-26,7336,1,1
2018-12-27,6515,0,0
2018-12-28,5855,0,0
2018-12-29,14005,2,2
2018-12-30,19144,4,4
2018-12-31,10264,4,4
2019-01-01,8384,2,2
2019-01-02,8470,3,3
2019-01-03,8462,1,1
2019-01-04,8026,2,2
2019-01-05,7922,2,2
