date,gt_score
2019-01-10,42
2019-01-11,57
2019-01-12,55
2019-01-13,46
2019-01-14,39
2019-01-15,32
2019-01-16,31
2019-01-17,34
2019-01-18,46
2019-01-19,46
2019-01-20,38
2019-01-21,30
2019-01-22,30
2019-01-23,29
2019-01-24,31
2019-01-25,44
2019-01-26,47
2019-01-27,41
2019-01-28,29
2019-01-29,30
2019-01-30,32
2019-01-31,35
2019-02-01,39
2019-02-02,41
2019-02-03,40
2019-02-04,33
2019-02-05,31
2019-02-06,31
2019-02-07,37
2019-02-08,47
2019-02-09,39
2019-02-10,36
2019-02-11,36
2019-02-12,30
2019-02-13,30
2019-02-14,34
2019-02-15,52
2019-02-16,60
2019-02-17,53
2019-02-18,45
2019-02-19,44
2019-02-20,51
2019-02-21,47
2019-02-22,55
2019-02-23,55
2019-02-24,51
2019-02-25,43
2019-02-26,44
2019-02-27,45
2019-02-28,43
2019-03-01,53
2019-03-02,50
2019-03-03,50
2019-03-04,39
2019-03-05,43
2019-03-06,46
2019-03-07,47
2019-03-08,55
2019-03-09,48
2019-03-10,53
2019-03-11,47
2019-03-12,45
2019-03-13,54
2019-03-14,54
2019-03-15,56
2019-03-16,54
2019-03-17,51
2019-03-18,41
2019-03-19,43
2019-03-20,51
2019-03-21,62
2019-03-22,63
2019-03-23,60
2019-03-24,55
2019-03-25,50
2019-03-26,53
2019-03-27,57
2019-03-28,65
2019-03-29,100
2019-03-30,85
2019-03-31,75
2019-04-01,57
2019-04-02,61
2019-04-03,64
2019-04-04,57
2019-04-05,56
2019-04-06,58
2019-04-07,57
2019-04-08,49
2019-04-09,39
2019-04-10,50
2019-04-11,37
2019-04-12,34
2019-04-13,37
2019-04-14,42
2019-04-15,39
2019-04-16,44
2019-04-17,61
2019-04-18,42
2019-04-19,37
2019-04-20,38
2019-04-21,42
2019-04-22,36
2019-04-23,42
2019-04-24,44
2019-04-25,35
2019-04-26,30
2019-04-27,28
2019-04-28,30
2019-04-29,35
2019-04-30,33
2019-05-01,35
2019-05-02,32
2019-05-03,33
2019-05-04,40
2019-05-05,70
2019-05-06,61
2019-05-07,46
2019-05-08,55
2019-05-09,36
2019-05-10,30
2019-05-11,33
2019-05-12,37
2019-05-13,33
2019-05-14,37
2019-05-15,39
2019-05-16,29
2019-05-17,28
2019-05-18,30
2019-05-19,30
2019-05-20,30
2019-05-21,35
2019-05-22,42
2019-05-23,26
2019-05-24,31
2019-05-25,30
2019-05-26,32
2019-05-27,32
2019-05-28,35
2019-05-29,35
2019-05-30,26
2019-05-31,25
2019-06-01,28
2019-06-02,33
2019-06-03,29
2019-06-04,32
2019-06-05,39
2019-06-06,29
2019-06-07,26
2019-06-08,33
2019-06-09,32
