date,pv,edit_count,editor_count
2019-01-10,12352,4,4
2019-01-11,26276,6,6
2019-01-12,28540,2,2
2019-01-13,23312,1,1
2019-01-14,17814,3,3
2019-01-15,11978,2,2
2019-01-16,10342,3,3
2019-01-17,11517,2,2
2019-01-18,17360,1,1
2019-01-19,18711,2,2
2019-01-20,17240,4,4
2019-01-21,11060,1,1
2019-01-22,8979,1,1
2019-01-23,8366,2,2
2019-01-24,9458,3,3
2019-01-25,14448,0,0
2019-01-26,16911,2,2
2019-01-27,14955,3,3
2019-01-28,10082,1,1
2019-01-29,8624,0,0
2019-01-30,8541,0,0
2019-01-31,9920,2,2
2019-02-01,14802,3,3
2019-02-02,16662,1,1
2019-02-03,15705,0,0
2019-02-04,10462,0,0
2019-02-05,8617,0,0
2019-02-06,8057,0,0
2019-02-07,9171,1,1
2019-02-08,11037,0,0
2019-02-09,12113,2,2
2019-02-10,10916,0,0
2019-02-11,10295,0,0
2019-02-12,7188,2,2
2019-02-13,7048,0,0
2019-02-14,8600,7,7
2019-02-15,12669,3,3
2019-02-16,15846,4,4
2019-02-17,15489,4,4
2019-02-18,12484,3,3
2019-02-19,11283,4,4
2019-02-20,11209,0,0
2019-02-21,11389,4,4
2019-02-22,11977,5,5
2019-02-23,12555,1,1
2019-02-24,12961,1,1
2019-02-25,10314,1,1
2019-02-26,9042,3,3
2019-02-27,9521,0,0
2019-02-28,10697,3,3
2019-03-01,13256,1,1
2019-03-02,14840,1,1
2019-03-03,14180,4,4
2019-03-04,10350,0,0
2019-03-05,9430,2,2
2019-03-06,8785,0,0
2019-03-07,10052,4,4
2019-03-08,11005,3,3
2019-03-09,12681,0,0
2019-03-10,12869,2,2
2019-03-11,9962,0,0
2019-03-12,9883,3,3
2019-03-13,10713,1,1
2019-03-14,12290,7,7
2019-03-15,12523,4,4
2019-03-16,12250,0,0
2019-03-17,11590,0,0
2019-03-18,8982,2,2
2019-03-19,8412,0,0
2019-03-20,8815,2,2
2019-03-21,11596,3,3
2019-03-22,12356,4,4
2019-03-23,13363,1,1
2019-03-24,12256,0,0
2019-03-25,9292,0,0
2019-03-26,9951,4,4
2019-03-27,9343,1,1
2019-03-28,12090,4,4
2019-03-29,18267,1,1
2019-03-30,17427,2,2
2019-03-31,15329,0,0
2019-04-01,10146,0,0
2019-04-02,9581,0,0
2019-04-03,10105,2,2
2019-04-04,9699,0,0
2019-04-05,9010,2,2
2019-04-06,9829,0,0
2019-04-07,10559,2,2
2019-04-08,7943,2,2
2019-04-09,6914,3,3
2019-04-10,6878,3,3
2019-04-11,5821,0,0
2019-04-12,5653,0,0
2019-04-13,6542,0,0
2019-04-14,7318,0,0
2019-04-15,5873,1,1
2019-04-16,6285,1,1
2019-04-17,7692,3,3
2019-04-18,6782,0,0
2019-04-19,5954,3,3
2019-04-20,7286,0,0
2019-04-21,8129,2,2
2019-04-22,5832,0,0
2019-04-23,5149,0,0
2019-04-24,5723,0,0
2019-04-25,4998,0,0
2019-04-26,4574,0,0
2019-04-27,5219,2,2
2019-04-28,5522,0,0
2019-04-29,5371,0,0
2019-04-30,5509,0,0
2019-05-01,6558,0,0
2019-05-02,6073,0,0
2019-05-03,5603,1,1
2019-05-04,6819,0,0
2019-05-05,13270,1,1
2019-05-06,11312,0,0
2019-05-07,7365,0,0
2019-05-08,7503,0,0
2019-05-09,6389,0,0
2019-05-10,5316,1,1
2019-05-11,5710,0,0
2019-05-12,6340,1,1
2019-05-13,5140,0,0
2019-05-14,4924,2,2
2019-05-15,5177,2,2
2019-05-16,4496,1,1
2019-05-17,4755,1,1
2019-05-18,5137,1,1
2019-05-19,5577,0,0
2019-05-20,4296,0,0
2019-05-21,4375,2,2
2019-05-22,4883,0,0
2019-05-23,4349,0,0
2019-05-24,4043,0,0
2019-05-25,4793,0,0
2019-05-26,5483,0,0
2019-05-27,4559,0,0
2019-05-28,4553,0,0
2019-05-29,4775,1,1
2019-05-30,4086,0,0
2019-05-31,3565,0,0
2019-06-01,4225,0,0
2019-06-02,4894,0,0
2019-06-03,3859,0,0
2019-06-04,4460,0,0
2019-06-05,5309,0,0
2019-06-06,4423,0,0
2019-06-07,4001,0,0
2019-06-08,4805,0,0
2019-06-09,4627,0,0
2019-06-10,3707,0,0
2019-06-11,4020,0,0
2019-06-12,4137,0,0
2019-06-13,3952,0,0
2019-06-14,3982,0,0
2019-06-15,4778,0,0
2019-06-16,5373,2,2
2019-06-17,6780,1,1
2019-06-18,6342,1,1
2019-06-19,6680,0,0
2019-06-20,6103,0,0
2019-06-21,5246,0,0
2019-06-22,6575,0,0
2019-06-23,11416,0,0
2019-06-24,6386,1,1
2019-06-25,5515,0,0
2019-06-26,5781,0,0
