date,gt_score
2022-10-02,100
2022-10-03,57
2022-10-04,39
2022-10-05,28
2022-10-06,27
2022-10-07,22
2022-10-08,27
2022-10-09,59
2022-10-10,38
2022-10-11,22
2022-10-12,16
2022-10-13,15
2022-10-14,14
2022-10-15,17
2022-10-16,47
2022-10-17,29
2022-10-18,21
2022-10-19,15
2022-10-20,14
2022-10-21,14
2022-10-22,16
2022-10-23,38
2022-10-24,19
2022-10-25,13
2022-10-26,10
2022-10-27,10
2022-10-28,9
2022-10-29,12
2022-10-30,41
2022-10-31,22
2022-11-01,14
2022-11-02,13
2022-11-03,16
2022-11-04,11
2022-11-05,14
2022-11-06,53
2022-11-07,33
2022-11-08,18
2022-11-09,17
2022-11-10,20
2022-11-11,21
2022-11-12,21
2022-11-13,38
2022-11-14,19
2022-11-15,14
2022-11-16,12
2022-11-17,11
2022-11-18,10
2022-11-19,12
2022-11-20,34
2022-11-21,16
2022-11-22,11
2022-11-23,10
2022-11-24,9
2022-11-25,8
2022-11-26,10
2022-11-27,25
2022-11-28,13
2022-11-29,10
2022-11-30,9
2022-12-01,7
2022-12-02,7
2022-12-03,10
2022-12-04,29
2022-12-05,16
2022-12-06,11
2022-12-07,9
2022-12-08,10
2022-12-09,8
2022-12-10,10
2022-12-11,32
2022-12-12,16
2022-12-13,11
2022-12-14,8
2022-12-15,8
2022-12-16,9
2022-12-17,12
2022-12-18,22
2022-12-19,10
2022-12-20,11
2022-12-21,8
2022-12-22,8
2022-12-23,7
2022-12-24,9
2022-12-25,31
2022-12-26,16
2022-12-27,11
2022-12-28,8
2022-12-29,11
2022-12-30,11
2022-12-31,9
2023-01-01,9
2023-01-02,9
2023-01-03,8
2023-01-04,9
2023-01-05,10
2023-01-06,9
2023-01-07,9
2023-01-08,76
2023-01-09,59
2023-01-10,36
2023-01-11,26
2023-01-12,25
2023-01-13,22
2023-01-14,26
2023-01-15,25
2023-01-16,16
2023-01-17,13
2023-01-18,11
2023-01-19,9
2023-01-20,10
2023-01-21,11
2023-01-22,12
2023-01-23,8
2023-01-24,7
2023-01-25,7
2023-01-26,7
2023-01-27,7
2023-01-28,8
2023-01-29,8
2023-01-30,5
2023-01-31,6
2023-02-01,5
2023-02-02,5
2023-02-03,6
2023-02-04,7
2023-02-05,8
2023-02-06,5
2023-02-07,5
2023-02-08,4
2023-02-09,4
2023-02-10,8
2023-02-11,11
2023-02-12,8
2023-02-13,7
2023-02-14,5
2023-02-15,4
2023-02-16,4
2023-02-17,4
2023-02-18,6
2023-02-19,6
2023-02-20,4
2023-02-21,5
2023-02-22,5
2023-02-23,5
2023-02-24,5
2023-02-25,6
2023-02-26,6
2023-02-27,4
2023-02-28,4
2023-03-01,3
2023-03-02,4
2023-03-03,5
2023-03-04,6
2023-03-05,7
2023-03-06,5
2023-03-07,5
2023-03-08,5
2023-03-09,4
2023-03-10,10
2023-03-11,8
2023-03-12,6
2023-03-13,5
2023-03-14,4
2023-03-15,4
2023-03-16,4
2023-03-17,4
2023-03-18,6
2023-03-19,6
2023-03-20,4
2023-03-21,4
2023-03-22,5
2023-03-23,4
2023-03-24,6
2023-03-25,7
