date,pv,edit_count,editor_count
2018-07-07,12566,3,3
2018-07-08,19419,2,2
2018-07-09,14785,3,3
2018-07-10,11255,3,3
2018-07-11,10044,1,1
2018-07-12,9448,1,1
2018-07-13,7821,0,0
2018-07-14,13407,2,2
2018-07-15,19989,0,0
2018-07-16,20646,2,2
2018-07-17,15263,4,4
2018-07-18,11080,2,2
2018-07-19,8681,0,0
2018-07-20,7804,0,0
2018-07-21,14829,3,3
2018-07-22,19378,3,3
2018-07-23,14855,3,3
2018-07-24,13621,3,3
2018-07-25,13993,0,0
2018-07-26,14174,1,1
2018-07-27,11977,0,0
2018-07-28,21182,5,5
2018-07-29,21585,1,1
2018-07-30,16564,3,3
2018-07-31,12855,1,1
2018-08-01,10591,1,1
2018-08-02,10605,2,2
2018-08-03,8786,1,1
2018-08-04,13985,4,4
2018-08-05,15532,2,2
2018-08-06,12110,3,3
2018-08-07,9978,1,1
2018-08-08,9294,2,2
2018-08-09,8420,2,2
2018-08-10,7759,0,0
2018-08-11,14857,4,4
2018-08-12,17637,4,4
2018-08-13,15077,5,5
2018-08-14,12488,5,5
2018-08-15,10771,6,6
2018-08-16,9126,1,1
2018-08-17,7433,4,4
2018-08-18,12979,5,5
2018-08-19,16651,2,2
2018-08-20,16532,3,3
2018-08-21,12782,4,4
2018-08-22,11248,2,2
2018-08-23,9516,5,5
2018-08-24,7965,1,1
2018-08-25,11946,8,8
2018-08-26,13190,5,5
2018-08-27,10475,1,1
2018-08-28,8758,3,3
2018-08-29,8414,5,5
2018-08-30,7598,4,4
2018-08-31,7021,3,3
2018-09-01,11782,4,4
2018-09-02,13139,2,2
2018-09-03,9207,2,2
2018-09-04,8918,1,1
2018-09-05,7362,0,0
2018-09-06,5915,2,2
2018-09-07,6284,2,2
2018-09-08,10620,5,5
2018-09-09,12557,8,8
2018-09-10,9337,1,1
2018-09-11,7379,1,1
2018-09-12,6450,0,0
2018-09-13,5890,2,2
2018-09-14,5856,1,1
2018-09-15,10692,3,3
2018-09-16,11023,1,1
2018-09-17,9480,2,2
2018-09-18,6849,1,1
2018-09-19,5621,0,0
2018-09-20,5122,1,1
2018-09-21,5031,0,0
2018-09-22,9875,4,4
2018-09-23,11849,7,7
2018-09-24,10499,4,4
2018-09-25,7552,5,5
2018-09-26,7746,3,3
2018-09-27,5989,3,3
2018-09-28,5558,1,1
2018-09-29,11501,4,4
2018-09-30,14038,1,1
2018-10-01,10796,3,3
2018-10-02,8866,1,1
2018-10-03,6933,0,0
2018-10-04,6158,0,0
2018-10-05,5655,1,1
