date,gt_score
2021-09-16,9
2021-09-17,10
2021-09-18,8
2021-09-19,8
2021-09-20,7
2021-09-21,5
2021-09-22,6
2021-09-23,7
2021-09-24,10
2021-09-25,0
2021-09-26,7
2021-09-27,0
2021-09-28,8
2021-09-29,8
2021-09-30,7
2021-10-01,6
2021-10-02,7
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,7
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,7
2021-10-22,0
2021-10-23,7
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,6
2021-10-30,0
2021-10-31,7
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,6
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,0
2021-11-18,0
2021-11-19,0
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,5
2021-11-24,0
2021-11-25,8
2021-11-26,6
2021-11-27,0
2021-11-28,0
2021-11-29,6
2021-11-30,0
2021-12-01,5
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-08,7
2021-12-09,12
2021-12-10,12
2021-12-11,6
2021-12-12,7
2021-12-13,7
2021-12-14,8
2021-12-15,11
2021-12-16,7
2021-12-17,8
2021-12-18,6
2021-12-19,12
2021-12-20,9
2021-12-21,7
2021-12-22,7
2021-12-23,0
2021-12-24,0
2021-12-25,6
2021-12-26,0
2021-12-27,6
2021-12-28,8
2021-12-29,9
2021-12-30,10
2021-12-31,7
2022-01-01,20
2022-01-02,20
2022-01-03,24
2022-01-04,22
2022-01-05,50
2022-01-06,41
2022-01-07,52
2022-01-08,45
2022-01-09,42
2022-01-10,36
2022-01-11,40
2022-01-12,100
2022-01-13,93
2022-01-14,69
2022-01-15,69
2022-01-16,70
2022-01-17,36
2022-01-18,44
2022-01-19,50
2022-01-20,60
2022-01-21,41
2022-01-22,46
2022-01-23,45
2022-01-24,29
2022-01-25,24
2022-01-26,29
2022-01-27,45
2022-01-28,39
2022-01-29,50
2022-01-30,44
2022-01-31,22
2022-02-01,21
2022-02-02,31
2022-02-03,35
2022-02-04,40
2022-02-05,45
2022-02-06,43
2022-02-07,22
2022-02-08,23
2022-02-09,37
2022-02-10,44
2022-02-11,42
2022-02-12,32
2022-02-13,43
