date,pv,edit_count,editor_count
2021-09-16,2282,2,2
2021-09-17,1393,1,1
2021-09-18,1206,0,0
2021-09-19,1167,0,0
2021-09-20,928,0,0
2021-09-21,719,0,0
2021-09-22,1273,0,0
2021-09-23,1868,1,1
2021-09-24,1102,0,0
2021-09-25,1186,0,0
2021-09-26,1167,0,0
2021-09-27,999,0,0
2021-09-28,832,0,0
2021-09-29,1277,0,0
2021-09-30,1578,3,3
2021-10-01,1228,1,1
2021-10-02,1339,1,1
2021-10-03,965,1,1
2021-10-04,760,0,0
2021-10-05,751,1,1
2021-10-06,1197,1,1
2021-10-07,1466,1,1
2021-10-08,849,0,0
2021-10-09,838,0,0
2021-10-10,858,0,0
2021-10-11,659,0,0
2021-10-12,632,0,0
2021-10-13,1055,1,1
2021-10-14,1536,1,1
2021-10-15,1173,0,0
2021-10-16,921,0,0
2021-10-17,884,0,0
2021-10-18,593,0,0
2021-10-19,624,0,0
2021-10-20,987,1,1
2021-10-21,1301,0,0
2021-10-22,879,0,0
2021-10-23,727,0,0
2021-10-24,723,0,0
2021-10-25,561,0,0
2021-10-26,574,1,1
2021-10-27,710,0,0
2021-10-28,976,0,0
2021-10-29,867,0,0
2021-10-30,629,1,1
2021-10-31,614,0,0
2021-11-01,690,0,0
2021-11-02,620,0,0
2021-11-03,937,1,1
2021-11-04,1172,0,0
2021-11-05,982,1,1
2021-11-06,869,0,0
2021-11-07,763,0,0
2021-11-08,545,0,0
2021-11-09,535,0,0
2021-11-10,836,1,1
2021-11-11,1026,1,1
2021-11-12,656,0,0
2021-11-13,633,0,0
2021-11-14,596,0,0
2021-11-15,484,0,0
2021-11-16,492,0,0
2021-11-17,671,0,0
2021-11-18,858,1,1
2021-11-19,620,0,0
2021-11-20,572,0,0
2021-11-21,582,0,0
2021-11-22,555,0,0
2021-11-23,631,0,0
2021-11-24,821,1,1
2021-11-25,1321,0,0
2021-11-26,894,0,0
2021-11-27,925,0,0
2021-11-28,672,0,0
2021-11-29,640,0,0
2021-11-30,602,0,0
2021-12-01,759,0,0
2021-12-02,784,2,2
2021-12-03,738,0,0
2021-12-04,694,0,0
2021-12-05,751,1,1
2021-12-06,620,0,0
2021-12-07,527,0,0
2021-12-08,1141,0,0
2021-12-09,1248,0,0
2021-12-10,925,1,1
2021-12-11,930,2,2
2021-12-12,987,0,0
2021-12-13,769,1,1
2021-12-14,954,1,1
2021-12-15,1117,0,0
2021-12-16,849,0,0
2021-12-17,893,0,0
2021-12-18,1163,0,0
2021-12-19,1094,0,0
2021-12-20,921,0,0
2021-12-21,787,0,0
2021-12-22,948,1,1
2021-12-23,899,1,1
2021-12-24,726,1,1
2021-12-25,726,0,0
2021-12-26,809,0,0
2021-12-27,734,0,0
2021-12-28,710,0,0
2021-12-29,778,1,1
2021-12-30,837,0,0
2021-12-31,895,0,0
2022-01-01,1132,0,0
2022-01-02,1360,0,0
2022-01-03,1667,0,0
2022-01-04,1662,0,0
2022-01-05,3786,0,0
2022-01-06,3683,0,0
2022-01-07,3329,0,0
2022-01-08,2936,0,0
2022-01-09,3534,1,1
2022-01-10,2788,0,0
2022-01-11,2705,0,0
2022-01-12,9035,4,4
2022-01-13,13478,2,2
2022-01-14,11604,1,1
2022-01-15,11497,2,2
2022-01-16,10063,0,0
2022-01-17,7248,1,1
2022-01-18,5460,0,0
2022-01-19,8183,3,3
2022-01-20,11751,2,2
2022-01-21,8569,1,1
2022-01-22,8858,1,1
2022-01-23,9838,1,1
2022-01-24,5821,4,4
2022-01-25,4766,3,3
2022-01-26,6949,1,1
2022-01-27,9569,4,4
2022-01-28,7590,2,2
2022-01-29,9476,2,2
2022-01-30,8755,0,0
2022-01-31,4957,0,0
2022-02-01,4159,1,1
2022-02-02,5993,2,2
2022-02-03,7982,1,1
2022-02-04,6541,1,1
2022-02-05,7837,3,3
2022-02-06,6960,1,1
2022-02-07,4381,1,1
2022-02-08,3730,0,0
2022-02-09,7368,1,1
2022-02-10,7833,2,2
2022-02-11,8362,2,2
2022-02-12,6730,2,2
2022-02-13,6632,0,0
2022-02-14,4257,0,0
2022-02-15,3464,0,0
2022-02-16,5037,1,1
2022-02-17,6044,0,0
2022-02-18,5072,0,0
2022-02-19,5666,1,1
2022-02-20,5520,1,1
2022-02-21,3832,0,0
2022-02-22,3546,0,0
2022-02-23,6097,2,2
2022-02-24,5124,1,1
2022-02-25,3917,1,1
2022-02-26,4535,1,1
2022-02-27,4258,1,1
2022-02-28,2638,0,0
2022-03-01,2477,0,0
2022-03-02,3606,0,0
2022-03-03,5168,1,1
2022-03-04,4103,0,0
2022-03-05,4786,2,2
2022-03-06,4918,0,0
2022-03-07,3258,0,0
2022-03-08,2822,3,3
2022-03-09,3954,0,0
