date,gt_score
2021-04-11,100
2021-04-12,49
2021-04-13,37
2021-04-14,0
2021-04-15,0
2021-04-16,45
2021-04-17,73
2021-04-18,63
2021-04-19,34
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,59
2021-04-25,79
2021-04-26,38
2021-04-27,49
2021-04-28,39
2021-04-29,32
2021-04-30,33
2021-05-01,47
2021-05-02,47
2021-05-03,67
2021-05-04,0
2021-05-05,28
2021-05-06,0
2021-05-07,32
2021-05-08,56
2021-05-09,47
2021-05-10,0
2021-05-11,33
2021-05-12,30
2021-05-13,0
2021-05-14,51
2021-05-15,49
2021-05-16,0
2021-05-17,0
2021-05-18,0
2021-05-19,0
2021-05-20,35
2021-05-21,32
2021-05-22,49
2021-05-23,44
2021-05-24,29
2021-05-25,36
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-05-29,56
2021-05-30,0
2021-05-31,0
2021-06-01,33
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,45
2021-06-13,48
2021-06-14,0
2021-06-15,32
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-19,42
2021-06-20,59
2021-06-21,0
2021-06-22,36
2021-06-23,37
2021-06-24,0
2021-06-25,0
2021-06-26,38
2021-06-27,32
2021-06-28,43
2021-06-29,0
2021-06-30,0
2021-07-01,0
2021-07-02,44
2021-07-03,30
2021-07-04,38
2021-07-05,37
2021-07-06,0
2021-07-07,0
2021-07-08,0
2021-07-09,0
2021-07-10,0
2021-07-11,39
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,0
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,0
2021-07-21,0
2021-07-22,0
2021-07-23,0
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-04,0
2021-08-05,0
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,0
2021-08-11,0
2021-08-12,0
2021-08-13,0
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,0
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,0
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,0
2021-09-01,0
2021-09-02,0
2021-09-03,0
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,0
2021-09-08,0
