date,gt_score
2022-07-06,66
2022-07-07,86
2022-07-08,44
2022-07-09,61
2022-07-10,43
2022-07-11,20
2022-07-12,27
2022-07-13,46
2022-07-14,39
2022-07-15,42
2022-07-16,34
2022-07-17,41
2022-07-18,39
2022-07-19,24
2022-07-20,39
2022-07-21,42
2022-07-22,32
2022-07-23,29
2022-07-24,31
2022-07-25,20
2022-07-26,26
2022-07-27,32
2022-07-28,38
2022-07-29,32
2022-07-30,36
2022-07-31,40
2022-08-01,29
2022-08-02,29
2022-08-03,65
2022-08-04,68
2022-08-05,41
2022-08-06,41
2022-08-07,44
2022-08-08,36
2022-08-09,39
2022-08-10,55
2022-08-11,100
2022-08-12,54
2022-08-13,37
2022-08-14,38
2022-08-15,47
2022-08-16,31
2022-08-17,53
2022-08-18,52
2022-08-19,23
2022-08-20,23
2022-08-21,30
2022-08-22,17
2022-08-23,17
2022-08-24,27
2022-08-25,36
2022-08-26,26
2022-08-27,21
2022-08-28,25
2022-08-29,18
2022-08-30,23
2022-08-31,38
2022-09-01,33
2022-09-02,26
2022-09-03,26
2022-09-04,32
2022-09-05,20
2022-09-06,20
2022-09-07,40
2022-09-08,37
2022-09-09,25
2022-09-10,44
2022-09-11,21
2022-09-12,25
2022-09-13,24
2022-09-14,22
2022-09-15,31
2022-09-16,34
2022-09-17,40
2022-09-18,43
2022-09-19,35
2022-09-20,39
2022-09-21,45
2022-09-22,46
2022-09-23,37
2022-09-24,45
2022-09-25,44
2022-09-26,29
2022-09-27,31
2022-09-28,42
2022-09-29,60
2022-09-30,71
2022-10-01,66
2022-10-02,55
2022-10-03,30
2022-10-04,45
