date,pv,edit_count,editor_count
2022-07-06,12460,3,3
2022-07-07,24737,5,5
2022-07-08,15273,1,1
2022-07-09,14143,0,0
2022-07-10,11427,0,0
2022-07-11,8611,1,1
2022-07-12,7201,1,1
2022-07-13,13197,1,1
2022-07-14,20077,3,3
2022-07-15,16445,0,0
2022-07-16,14420,1,1
2022-07-17,12343,3,3
2022-07-18,11728,0,0
2022-07-19,8581,3,3
2022-07-20,12295,4,4
2022-07-21,15238,1,1
2022-07-22,11828,3,3
2022-07-23,11284,2,2
2022-07-24,9673,2,2
2022-07-25,6741,0,0
2022-07-26,6457,1,1
2022-07-27,10901,3,3
2022-07-28,15507,2,2
2022-07-29,11746,1,1
2022-07-30,11554,1,1
2022-07-31,9752,0,0
2022-08-01,6863,1,1
2022-08-02,7140,1,1
2022-08-03,7774,0,0
2022-08-04,8338,0,0
2022-08-05,6655,0,0
2022-08-06,6825,0,0
2022-08-07,6148,0,0
2022-08-08,4789,1,1
2022-08-09,4583,1,1
2022-08-10,5602,0,0
2022-08-11,6693,0,0
2022-08-12,5277,1,1
2022-08-13,5103,0,0
2022-08-14,4781,0,0
2022-08-15,4726,0,0
2022-08-16,4265,0,0
2022-08-17,9330,2,2
2022-08-18,11926,0,0
2022-08-19,9165,0,0
2022-08-20,8934,1,1
2022-08-21,8084,0,0
2022-08-22,5762,1,1
2022-08-23,4909,0,0
2022-08-24,8170,2,2
2022-08-25,10974,0,0
2022-08-26,8153,1,1
2022-08-27,7507,2,2
2022-08-28,6966,1,1
2022-08-29,6095,0,0
2022-08-30,5088,0,0
2022-08-31,9628,2,2
2022-09-01,13146,2,2
2022-09-02,11887,0,0
2022-09-03,9698,1,1
2022-09-04,8155,0,0
2022-09-05,5695,0,0
2022-09-06,4789,0,0
2022-09-07,5380,0,0
2022-09-08,5367,0,0
2022-09-09,5388,1,1
2022-09-10,4934,1,1
2022-09-11,4545,0,0
2022-09-12,3658,0,0
2022-09-13,3478,0,0
2022-09-14,3846,0,0
2022-09-15,4173,0,0
2022-09-16,3613,0,0
2022-09-17,3772,0,0
2022-09-18,4178,0,0
2022-09-19,4122,0,0
2022-09-20,3056,0,0
2022-09-21,3389,0,0
2022-09-22,3302,0,0
2022-09-23,3703,0,0
2022-09-24,3461,0,0
2022-09-25,3096,0,0
2022-09-26,2492,0,0
2022-09-27,2703,1,1
2022-09-28,3452,0,0
2022-09-29,3494,0,0
2022-09-30,3318,1,1
2022-10-01,3393,0,0
2022-10-02,3306,0,0
2022-10-03,2674,0,0
2022-10-04,2438,0,0
