date,gt_score
2020-10-03,26
2020-10-04,15
2020-10-05,12
2020-10-06,9
2020-10-07,8
2020-10-08,8
2020-10-09,12
2020-10-10,21
2020-10-11,19
2020-10-12,14
2020-10-13,12
2020-10-14,10
2020-10-15,10
2020-10-16,15
2020-10-17,23
2020-10-18,20
2020-10-19,14
2020-10-20,12
2020-10-21,13
2020-10-22,12
2020-10-23,15
2020-10-24,27
2020-10-25,26
2020-10-26,18
2020-10-27,16
2020-10-28,15
2020-10-29,16
2020-10-30,19
2020-10-31,26
2020-11-01,26
2020-11-02,22
2020-11-03,24
2020-11-04,16
2020-11-05,17
2020-11-06,21
2020-11-07,30
2020-11-08,27
2020-11-09,22
2020-11-10,19
2020-11-11,18
2020-11-12,18
2020-11-13,28
2020-11-14,62
2020-11-15,41
2020-11-16,31
2020-11-17,30
2020-11-18,28
2020-11-19,26
2020-11-20,36
2020-11-21,56
2020-11-22,48
2020-11-23,38
2020-11-24,33
2020-11-25,30
2020-11-26,28
2020-11-27,32
2020-11-28,51
2020-11-29,47
2020-11-30,35
2020-12-01,34
2020-12-02,31
2020-12-03,30
2020-12-04,36
2020-12-05,51
2020-12-06,47
2020-12-07,36
2020-12-08,33
2020-12-09,29
2020-12-10,35
2020-12-11,40
2020-12-12,51
2020-12-13,56
2020-12-14,37
2020-12-15,34
2020-12-16,41
2020-12-17,35
2020-12-18,56
2020-12-19,86
2020-12-20,68
2020-12-21,42
2020-12-22,40
2020-12-23,34
2020-12-24,34
2020-12-25,42
2020-12-26,58
2020-12-27,55
2020-12-28,51
2020-12-29,44
2020-12-30,43
2020-12-31,36
2021-01-01,44
2021-01-02,48
2021-01-03,53
2021-01-04,64
2021-01-05,47
2021-01-06,41
2021-01-07,38
2021-01-08,42
2021-01-09,57
2021-01-10,53
2021-01-11,46
2021-01-12,33
2021-01-13,36
2021-01-14,36
2021-01-15,54
2021-01-16,76
2021-01-17,62
2021-01-18,55
2021-01-19,54
2021-01-20,44
2021-01-21,42
2021-01-22,47
2021-01-23,66
2021-01-24,59
2021-01-25,51
2021-01-26,41
2021-01-27,43
2021-01-28,41
2021-01-29,54
2021-01-30,65
2021-01-31,62
2021-02-01,62
2021-02-02,43
2021-02-03,42
2021-02-04,39
2021-02-05,49
2021-02-06,64
2021-02-07,55
2021-02-08,40
2021-02-09,39
2021-02-10,42
2021-02-11,49
2021-02-12,48
2021-02-13,63
2021-02-14,59
2021-02-15,54
2021-02-16,41
2021-02-17,43
2021-02-18,39
2021-02-19,50
2021-02-20,69
2021-02-21,63
2021-02-22,54
2021-02-23,58
2021-02-24,44
2021-02-25,43
2021-02-26,54
2021-02-27,79
2021-02-28,69
2021-03-01,69
2021-03-02,70
2021-03-03,72
2021-03-04,78
2021-03-05,79
2021-03-06,84
2021-03-07,70
2021-03-08,56
2021-03-09,47
2021-03-10,44
2021-03-11,41
2021-03-12,57
2021-03-13,65
2021-03-14,56
2021-03-15,49
2021-03-16,40
2021-03-17,40
2021-03-18,55
2021-03-19,52
2021-03-20,58
2021-03-21,59
2021-03-22,54
2021-03-23,42
2021-03-24,40
2021-03-25,45
2021-03-26,72
2021-03-27,100
2021-03-28,70
2021-03-29,60
2021-03-30,51
2021-03-31,45
2021-04-01,42
2021-04-02,51
2021-04-03,56
2021-04-04,58
2021-04-05,45
2021-04-06,34
2021-04-07,32
2021-04-08,33
2021-04-09,30
2021-04-10,41
2021-04-11,40
2021-04-12,31
2021-04-13,30
2021-04-14,31
2021-04-15,28
2021-04-16,30
2021-04-17,36
2021-04-18,38
2021-04-19,31
2021-04-20,30
2021-04-21,26
2021-04-22,26
2021-04-23,31
2021-04-24,33
2021-04-25,38
2021-04-26,37
2021-04-27,30
2021-04-28,30
2021-04-29,41
2021-04-30,32
2021-05-01,33
2021-05-02,65
2021-05-03,51
2021-05-04,55
2021-05-05,53
2021-05-06,37
2021-05-07,36
2021-05-08,44
2021-05-09,38
2021-05-10,40
2021-05-11,32
2021-05-12,32
2021-05-13,34
2021-05-14,28
2021-05-15,33
2021-05-16,35
2021-05-17,29
2021-05-18,27
2021-05-19,24
2021-05-20,24
2021-05-21,25
2021-05-22,29
2021-05-23,29
2021-05-24,30
2021-05-25,25
2021-05-26,25
2021-05-27,25
2021-05-28,25
2021-05-29,27
2021-05-30,29
2021-05-31,34
2021-06-01,31
2021-06-02,30
2021-06-03,37
2021-06-04,46
2021-06-05,44
2021-06-06,36
2021-06-07,32
2021-06-08,25
2021-06-09,26
2021-06-10,29
2021-06-11,24
2021-06-12,28
2021-06-13,32
2021-06-14,28
2021-06-15,23
2021-06-16,21
2021-06-17,24
2021-06-18,22
2021-06-19,26
2021-06-20,25
2021-06-21,21
2021-06-22,20
2021-06-23,19
2021-06-24,18
2021-06-25,19
