date,gt_score
2023-07-06,100
2023-07-07,88
2023-07-08,73
2023-07-09,71
2023-07-10,47
2023-07-11,42
2023-07-12,45
2023-07-13,51
2023-07-14,52
2023-07-15,50
2023-07-16,49
2023-07-17,49
2023-07-18,42
2023-07-19,43
2023-07-20,55
2023-07-21,69
2023-07-22,60
2023-07-23,54
2023-07-24,48
2023-07-25,44
2023-07-26,55
2023-07-27,65
2023-07-28,59
2023-07-29,61
2023-07-30,53
2023-07-31,46
2023-08-01,47
2023-08-02,51
2023-08-03,60
2023-08-04,72
2023-08-05,61
2023-08-06,57
2023-08-07,51
2023-08-08,51
2023-08-09,63
2023-08-10,67
2023-08-11,78
2023-08-12,59
2023-08-13,51
2023-08-14,47
2023-08-15,50
2023-08-16,66
2023-08-17,60
2023-08-18,49
2023-08-19,46
2023-08-20,45
2023-08-21,44
2023-08-22,40
2023-08-23,47
2023-08-24,50
2023-08-25,51
2023-08-26,45
2023-08-27,42
2023-08-28,42
2023-08-29,37
2023-08-30,50
2023-08-31,55
2023-09-01,56
2023-09-02,52
2023-09-03,48
2023-09-04,44
2023-09-05,40
2023-09-06,50
2023-09-07,43
2023-09-08,51
2023-09-09,54
2023-09-10,49
2023-09-11,47
2023-09-12,37
2023-09-13,42
2023-09-14,41
2023-09-15,43
2023-09-16,41
2023-09-17,44
2023-09-18,46
2023-09-19,41
2023-09-20,93
2023-09-21,86
2023-09-22,80
2023-09-23,81
2023-09-24,82
2023-09-25,96
2023-09-26,80
2023-09-27,93
2023-09-28,72
2023-09-29,74
2023-09-30,71
2023-10-01,75
2023-10-02,69
2023-10-03,66
2023-10-04,89
2023-10-05,68
2023-10-06,63
2023-10-07,66
2023-10-08,65
2023-10-09,77
2023-10-10,55
2023-10-11,65
2023-10-12,67
2023-10-13,70
2023-10-14,72
2023-10-15,66
2023-10-16,54
2023-10-17,64
2023-10-18,79
2023-10-19,63
2023-10-20,60
2023-10-21,58
2023-10-22,54
2023-10-23,58
2023-10-24,45
2023-10-25,61
2023-10-26,51
2023-10-27,52
2023-10-28,54
2023-10-29,55
2023-10-30,52
2023-10-31,44
2023-11-01,57
2023-11-02,53
2023-11-03,66
2023-11-04,58
2023-11-05,49
2023-11-06,45
2023-11-07,42
2023-11-08,45
2023-11-09,50
2023-11-10,51
2023-11-11,50
2023-11-12,47
2023-11-13,45
2023-11-14,39
2023-11-15,57
2023-11-16,51
2023-11-17,58
2023-11-18,54
2023-11-19,54
2023-11-20,49
2023-11-21,85
2023-11-22,88
2023-11-23,100
2023-11-24,94
2023-11-25,64
2023-11-26,63
2023-11-27,59
2023-11-28,48
2023-11-29,69
2023-11-30,63
2023-12-01,66
2023-12-02,63
2023-12-03,52
2023-12-04,55
2023-12-05,43
2023-12-06,50
2023-12-07,57
2023-12-08,63
2023-12-09,67
2023-12-10,54
2023-12-11,48
2023-12-12,50
2023-12-13,70
2023-12-14,55
2023-12-15,63
2023-12-16,61
2023-12-17,57
2023-12-18,61
2023-12-19,52
2023-12-20,55
2023-12-21,52
2023-12-22,55
2023-12-23,56
2023-12-24,56
2023-12-25,52
2023-12-26,44
2023-12-27,54
2023-12-28,72
2023-12-29,85
2023-12-30,66
2023-12-31,54
2024-01-01,47
2024-01-02,49
2024-01-03,67
2024-01-04,72
2024-01-05,58
2024-01-06,59
2024-01-07,49
2024-01-08,49
2024-01-09,44
2024-01-10,55
2024-01-11,55
2024-01-12,48
2024-01-13,50
2024-01-14,48
2024-01-15,50
2024-01-16,95
2024-01-17,97
2024-01-18,57
2024-01-19,51
2024-01-20,59
2024-01-21,52
2024-01-22,47
2024-01-23,36
2024-01-24,44
2024-01-25,42
2024-01-26,39
2024-01-27,40
2024-01-28,40
2024-01-29,38
2024-01-30,40
2024-01-31,50
2024-02-01,41
2024-02-02,33
2024-02-03,35
2024-02-04,38
2024-02-05,37
2024-02-06,33
2024-02-07,70
2024-02-08,60
2024-02-09,40
2024-02-10,33
2024-02-11,35
2024-02-12,38
2024-02-13,30
2024-02-14,59
2024-02-15,66
2024-02-16,35
2024-02-17,33
2024-02-18,34
2024-02-19,33
2024-02-20,28
2024-02-21,34
2024-02-22,33
2024-02-23,33
2024-02-24,28
2024-02-25,30
2024-02-26,31
2024-02-27,31
2024-02-28,53
2024-02-29,49
2024-03-01,31
2024-03-02,28
2024-03-03,33
2024-03-04,33
2024-03-05,26
2024-03-06,45
2024-03-07,54
2024-03-08,32
2024-03-09,30
2024-03-10,37
2024-03-11,39
2024-03-12,29
2024-03-13,37
2024-03-14,45
2024-03-15,32
2024-03-16,30
2024-03-17,27
2024-03-18,28
2024-03-19,27
2024-03-20,41
2024-03-21,52
2024-03-22,27
2024-03-23,27
2024-03-24,32
2024-03-25,31
2024-03-26,25
2024-03-27,36
