date,pv,edit_count,editor_count
2023-07-06,36650,0,0
2023-07-07,41622,0,0
2023-07-08,34130,0,0
2023-07-09,29653,0,0
2023-07-10,18620,0,0
2023-07-11,14533,1,1
2023-07-12,13163,0,0
2023-07-13,18242,0,0
2023-07-14,24222,0,0
2023-07-15,20826,1,1
2023-07-16,22144,0,0
2023-07-17,20972,0,0
2023-07-18,14543,0,0
2023-07-19,13196,0,0
2023-07-20,22239,1,1
2023-07-21,32237,0,0
2023-07-22,27243,0,0
2023-07-23,21416,0,0
2023-07-24,15705,0,0
2023-07-25,13297,0,0
2023-07-26,11973,0,0
2023-07-27,18955,1,1
2023-07-28,23989,0,0
2023-07-29,21292,0,0
2023-07-30,17531,0,0
2023-07-31,13220,0,0
2023-08-01,11659,0,0
2023-08-02,11193,0,0
2023-08-03,20668,1,1
2023-08-04,29561,0,0
2023-08-05,26201,0,0
2023-08-06,21864,0,0
2023-08-07,16836,0,0
2023-08-08,14914,0,0
2023-08-09,13737,1,1
2023-08-10,15368,0,0
2023-08-11,16490,0,0
2023-08-12,13520,0,0
2023-08-13,12785,0,0
2023-08-14,12479,0,0
2023-08-15,13512,0,0
2023-08-16,10692,0,0
2023-08-17,12121,0,0
2023-08-18,13177,0,0
2023-08-19,12693,0,0
2023-08-20,11864,0,0
2023-08-21,10197,0,0
2023-08-22,10124,0,0
2023-08-23,9317,0,0
2023-08-24,10406,1,1
2023-08-25,10954,0,0
2023-08-26,10983,0,0
2023-08-27,10712,0,0
2023-08-28,10148,0,0
2023-08-29,8752,0,0
2023-08-30,8836,0,0
2023-08-31,13901,1,1
2023-09-01,18180,1,1
2023-09-02,18148,0,0
2023-09-03,14008,0,0
2023-09-04,11635,0,0
2023-09-05,8957,0,0
2023-09-06,8127,0,0
2023-09-07,10731,0,0
2023-09-08,13813,0,0
2023-09-09,12059,0,0
2023-09-10,10263,0,0
2023-09-11,9883,2,2
2023-09-12,7806,1,1
2023-09-13,7217,0,0
2023-09-14,9628,1,1
2023-09-15,11149,0,0
2023-09-16,10301,0,0
2023-09-17,9531,0,0
2023-09-18,9954,0,0
2023-09-19,7725,0,0
2023-09-20,11166,0,0
2023-09-21,15689,0,0
2023-09-22,22656,1,1
2023-09-23,19822,0,0
2023-09-24,19600,0,0
2023-09-25,24479,0,0
2023-09-26,17355,0,0
2023-09-27,14624,0,0
2023-09-28,17375,3,3
2023-09-29,20312,0,0
2023-09-30,18006,0,0
2023-10-01,16251,0,0
2023-10-02,12505,0,0
2023-10-03,11516,1,1
2023-10-04,12036,0,0
2023-10-05,13932,1,1
2023-10-06,16140,1,1
2023-10-07,14533,0,0
2023-10-08,13337,0,0
2023-10-09,14030,0,0
2023-10-10,10314,0,0
2023-10-11,9413,0,0
2023-10-12,13728,0,0
2023-10-13,17061,1,1
2023-10-14,15200,2,2
2023-10-15,13457,0,0
2023-10-16,10553,0,0
2023-10-17,9554,0,0
2023-10-18,9309,0,0
2023-10-19,12715,0,0
2023-10-20,14687,0,0
2023-10-21,12083,1,1
2023-10-22,10802,0,0
2023-10-23,9480,0,0
2023-10-24,8576,0,0
2023-10-25,8107,0,0
2023-10-26,12164,0,0
2023-10-27,14942,0,0
2023-10-28,13256,0,0
2023-10-29,11288,1,1
2023-10-30,10518,0,0
2023-10-31,9024,0,0
2023-11-01,7898,0,0
2023-11-02,13141,1,1
2023-11-03,19364,0,0
2023-11-04,13801,0,0
2023-11-05,11494,0,0
2023-11-06,9267,0,0
2023-11-07,7904,0,0
2023-11-08,7205,0,0
2023-11-09,11864,0,0
2023-11-10,15084,0,0
2023-11-11,11789,0,0
2023-11-12,10050,0,0
2023-11-13,8101,0,0
2023-11-14,6830,0,0
2023-11-15,6403,0,0
2023-11-16,11018,1,1
2023-11-17,14275,0,0
2023-11-18,12013,0,0
2023-11-19,10568,0,0
2023-11-20,9349,0,0
2023-11-21,8058,0,0
2023-11-22,9068,0,0
2023-11-23,13014,0,0
2023-11-24,14536,0,0
2023-11-25,11846,0,0
2023-11-26,10921,0,0
2023-11-27,9103,1,1
2023-11-28,7503,0,0
2023-11-29,7440,0,0
2023-11-30,12155,0,0
2023-12-01,17433,1,1
2023-12-02,14465,1,1
2023-12-03,12348,0,0
2023-12-04,10139,0,0
2023-12-05,8259,0,0
2023-12-06,9093,0,0
2023-12-07,12592,0,0
2023-12-08,13661,0,0
2023-12-09,12238,0,0
2023-12-10,11386,0,0
2023-12-11,9062,0,0
2023-12-12,7793,0,0
2023-12-13,7996,0,0
2023-12-14,11050,0,0
2023-12-15,13403,1,1
2023-12-16,14260,1,1
2023-12-17,10344,0,0
2023-12-18,8750,0,0
2023-12-19,7196,0,0
2023-12-20,6884,0,0
2023-12-21,9859,0,0
2023-12-22,12858,0,0
2023-12-23,12376,0,0
2023-12-24,14448,0,0
2023-12-25,11216,0,0
2023-12-26,6970,0,0
2023-12-27,7500,0,0
2023-12-28,14599,0,0
2023-12-29,21591,0,0
2023-12-30,18493,2,2
2023-12-31,15914,0,0
2024-01-01,11499,0,0
2024-01-02,13965,1,1
2024-01-03,13724,3,3
2024-01-04,14868,3,3
2024-01-05,11835,2,2
2024-01-06,11549,2,2
2024-01-07,11107,1,1
2024-01-08,10491,1,1
2024-01-09,8961,0,0
2024-01-10,9345,0,0
2024-01-11,8633,0,0
2024-01-12,7625,0,0
2024-01-13,8714,0,0
2024-01-14,8395,0,0
2024-01-15,7910,0,0
2024-01-16,8072,0,0
2024-01-17,8197,0,0
2024-01-18,8041,0,0
2024-01-19,8055,0,0
2024-01-20,9011,0,0
2024-01-21,8950,0,0
2024-01-22,7760,0,0
2024-01-23,6820,0,0
2024-01-24,6645,0,0
2024-01-25,6325,0,0
2024-01-26,5754,0,0
2024-01-27,6313,0,0
2024-01-28,6703,0,0
2024-01-29,5757,0,0
2024-01-30,5269,0,0
2024-01-31,5431,0,0
2024-02-01,4890,0,0
2024-02-02,4962,0,0
2024-02-03,5288,0,0
2024-02-04,5760,0,0
2024-02-05,4899,0,0
2024-02-06,4295,0,0
2024-02-07,4498,0,0
2024-02-08,4659,0,0
2024-02-09,4475,0,0
2024-02-10,4571,0,0
2024-02-11,5195,0,0
2024-02-12,5476,0,0
2024-02-13,4325,0,0
2024-02-14,4327,0,0
2024-02-15,3908,0,0
2024-02-16,3925,0,0
2024-02-17,4391,0,0
2024-02-18,4599,0,0
2024-02-19,4443,0,0
2024-02-20,3822,0,0
2024-02-21,3731,0,0
2024-02-22,3514,0,0
2024-02-23,3941,0,0
2024-02-24,3826,0,0
2024-02-25,4024,0,0
2024-02-26,3377,0,0
2024-02-27,3349,0,0
2024-02-28,3209,0,0
2024-02-29,2988,0,0
2024-03-01,3080,0,0
2024-03-02,3543,0,0
2024-03-03,3774,0,0
2024-03-04,3232,0,0
2024-03-05,3112,1,1
2024-03-06,3208,0,0
2024-03-07,3500,0,0
2024-03-08,3362,0,0
2024-03-09,4829,0,0
2024-03-10,5055,0,0
2024-03-11,4542,0,0
2024-03-12,3918,1,1
2024-03-13,3452,0,0
2024-03-14,3228,1,1
2024-03-15,3148,0,0
2024-03-16,3437,0,0
2024-03-17,3979,0,0
2024-03-18,3145,0,0
2024-03-19,3062,0,0
2024-03-20,3834,0,0
2024-03-21,2953,0,0
2024-03-22,2855,0,0
2024-03-23,3707,0,0
2024-03-24,3626,0,0
2024-03-25,3392,0,0
2024-03-26,3250,0,0
2024-03-27,2698,0,0
