date,pv,edit_count,editor_count
2022-10-05,18408,2,2
2022-10-06,21404,3,3
2022-10-07,10467,1,1
2022-10-08,7802,0,0
2022-10-09,6078,1,1
2022-10-10,5267,2,2
2022-10-11,3370,0,0
2022-10-12,13575,1,1
2022-10-13,16815,2,2
2022-10-14,9648,2,2
2022-10-15,8486,0,0
2022-10-16,6815,1,1
2022-10-17,4714,2,2
2022-10-18,3990,0,0
2022-10-19,13979,1,1
2022-10-20,17112,1,1
2022-10-21,9717,4,4
2022-10-22,8858,0,0
2022-10-23,7197,0,0
2022-10-24,4769,1,1
2022-10-25,4132,1,1
2022-10-26,10683,3,3
2022-10-27,14224,0,0
2022-10-28,8898,1,1
2022-10-29,7714,1,1
2022-10-30,6751,0,0
2022-10-31,4735,0,0
2022-11-01,4156,0,0
2022-11-02,10825,4,4
2022-11-03,15038,6,6
2022-11-04,8223,3,3
2022-11-05,7023,4,4
2022-11-06,6176,2,2
2022-11-07,4653,1,1
2022-11-08,4185,1,1
2022-11-09,8799,3,3
2022-11-10,10920,3,3
2022-11-11,6756,1,1
2022-11-12,6435,1,1
2022-11-13,6054,4,4
2022-11-14,4507,1,1
2022-11-15,3820,0,0
2022-11-16,8181,2,2
2022-11-17,10224,3,3
2022-11-18,6361,3,3
2022-11-19,5742,2,2
2022-11-20,5425,3,3
2022-11-21,3794,1,1
2022-11-22,3631,3,3
2022-11-23,8000,5,5
2022-11-24,8309,2,2
2022-11-25,5629,2,2
2022-11-26,5270,2,2
2022-11-27,5102,0,0
2022-11-28,4187,2,2
2022-11-29,4776,4,4
2022-11-30,12767,5,5
2022-12-01,13676,4,4
2022-12-02,7663,4,4
2022-12-03,7610,1,1
2022-12-04,7479,3,3
2022-12-05,5444,3,3
2022-12-06,5157,4,4
2022-12-07,8929,4,4
2022-12-08,11061,0,0
2022-12-09,7875,1,1
2022-12-10,7609,1,1
2022-12-11,8131,0,0
2022-12-12,5867,2,2
2022-12-13,5322,0,0
2022-12-14,8934,3,3
2022-12-15,10828,3,3
2022-12-16,7710,4,4
2022-12-17,7237,2,2
2022-12-18,6844,3,3
2022-12-19,5232,3,3
2022-12-20,5210,3,3
2022-12-21,10288,5,5
2022-12-22,12975,5,5
2022-12-23,8579,1,1
2022-12-24,7824,2,2
2022-12-25,7378,4,4
2022-12-26,6203,3,3
2022-12-27,5874,2,2
2022-12-28,12827,5,5
2022-12-29,16659,6,6
2022-12-30,12084,1,1
2022-12-31,9125,1,1
2023-01-01,9520,1,1
2023-01-02,9238,1,1
2023-01-03,10278,2,2
