date,gt_score
2022-04-09,93
2022-04-10,63
2022-04-11,51
2022-04-12,37
2022-04-13,34
2022-04-14,32
2022-04-15,42
2022-04-16,62
2022-04-17,47
2022-04-18,43
2022-04-19,35
2022-04-20,37
2022-04-21,36
2022-04-22,36
2022-04-23,46
2022-04-24,41
2022-04-25,36
2022-04-26,31
2022-04-27,31
2022-04-28,36
2022-04-29,43
2022-04-30,50
2022-05-01,38
2022-05-02,38
2022-05-03,44
2022-05-04,38
2022-05-05,37
2022-05-06,41
2022-05-07,54
2022-05-08,46
2022-05-09,41
2022-05-10,34
2022-05-11,30
2022-05-12,34
2022-05-13,39
2022-05-14,50
2022-05-15,46
2022-05-16,39
2022-05-17,32
2022-05-18,29
2022-05-19,29
2022-05-20,37
2022-05-21,43
2022-05-22,39
2022-05-23,32
2022-05-24,28
2022-05-25,32
2022-05-26,31
2022-05-27,35
2022-05-28,43
2022-05-29,39
2022-05-30,36
2022-05-31,31
2022-06-01,27
2022-06-02,28
2022-06-03,32
2022-06-04,44
2022-06-05,37
2022-06-06,34
2022-06-07,29
2022-06-08,23
2022-06-09,25
2022-06-10,36
2022-06-11,42
2022-06-12,37
2022-06-13,32
2022-06-14,32
2022-06-15,27
2022-06-16,30
2022-06-17,43
2022-06-18,51
2022-06-19,41
2022-06-20,46
2022-06-21,36
2022-06-22,33
2022-06-23,33
2022-06-24,70
2022-06-25,100
2022-06-26,70
2022-06-27,78
2022-06-28,59
2022-06-29,51
2022-06-30,49
2022-07-01,38
2022-07-02,43
2022-07-03,48
2022-07-04,36
2022-07-05,27
2022-07-06,30
2022-07-07,30
2022-07-08,24
2022-07-09,32
2022-07-10,27
2022-07-11,24
2022-07-12,26
2022-07-13,26
2022-07-14,20
2022-07-15,22
2022-07-16,25
2022-07-17,23
2022-07-18,22
2022-07-19,20
2022-07-20,18
2022-07-21,20
2022-07-22,20
2022-07-23,21
2022-07-24,20
2022-07-25,18
2022-07-26,19
2022-07-27,20
2022-07-28,20
2022-07-29,20
2022-07-30,17
2022-07-31,18
2022-08-01,17
2022-08-02,16
2022-08-03,18
2022-08-04,21
2022-08-05,18
2022-08-06,16
2022-08-07,17
2022-08-08,16
2022-08-09,15
2022-08-10,15
2022-08-11,22
2022-08-12,17
2022-08-13,18
2022-08-14,16
2022-08-15,16
2022-08-16,16
2022-08-17,16
2022-08-18,18
2022-08-19,19
2022-08-20,15
2022-08-21,17
2022-08-22,15
2022-08-23,12
2022-08-24,16
2022-08-25,21
2022-08-26,20
2022-08-27,21
2022-08-28,19
2022-08-29,16
2022-08-30,15
2022-08-31,16
2022-09-01,20
2022-09-02,16
2022-09-03,18
2022-09-04,16
2022-09-05,12
2022-09-06,12
