date,pv,edit_count,editor_count
2022-04-09,9190,4,4
2022-04-10,6733,0,0
2022-04-11,6179,2,2
2022-04-12,5323,1,1
2022-04-13,4534,0,0
2022-04-14,4228,0,0
2022-04-15,6955,2,2
2022-04-16,8997,0,0
2022-04-17,7408,0,0
2022-04-18,7134,1,1
2022-04-19,6183,0,0
2022-04-20,5346,1,1
2022-04-21,4792,0,0
2022-04-22,6216,1,1
2022-04-23,8871,0,0
2022-04-24,7597,0,0
2022-04-25,6120,1,1
2022-04-26,5366,0,0
2022-04-27,5085,0,0
2022-04-28,4724,1,1
2022-04-29,7463,2,2
2022-04-30,7820,0,0
2022-05-01,6570,1,1
2022-05-02,6559,0,0
2022-05-03,6259,0,0
2022-05-04,5798,0,0
2022-05-05,6351,0,0
2022-05-06,7250,1,1
2022-05-07,9865,0,0
2022-05-08,7767,0,0
2022-05-09,7326,1,1
2022-05-10,6002,0,0
2022-05-11,4886,0,0
2022-05-12,4707,0,0
2022-05-13,7627,2,2
2022-05-14,10357,0,0
2022-05-15,7909,2,2
2022-05-16,7130,1,1
2022-05-17,5650,0,0
2022-05-18,4875,1,1
2022-05-19,4545,0,0
2022-05-20,6587,1,1
2022-05-21,7901,1,1
2022-05-22,6526,1,1
2022-05-23,6286,0,0
2022-05-24,5237,0,0
2022-05-25,5364,0,0
2022-05-26,4551,1,1
2022-05-27,7009,1,1
2022-05-28,7791,0,0
2022-05-29,6516,0,0
2022-05-30,6472,0,0
2022-05-31,5297,0,0
2022-06-01,4602,0,0
2022-06-02,4191,0,0
2022-06-03,6171,2,2
2022-06-04,8322,0,0
2022-06-05,7036,0,0
2022-06-06,7163,1,1
2022-06-07,5781,1,1
2022-06-08,4947,0,0
2022-06-09,4842,0,0
2022-06-10,7113,1,1
2022-06-11,8940,0,0
2022-06-12,7068,0,0
2022-06-13,6800,0,0
2022-06-14,5672,0,0
2022-06-15,4369,0,0
2022-06-16,4386,0,0
2022-06-17,7729,3,3
2022-06-18,9730,1,1
2022-06-19,7184,0,0
2022-06-20,8073,0,0
2022-06-21,6444,0,0
2022-06-22,5241,1,1
2022-06-23,4730,0,0
2022-06-24,10817,2,2
2022-06-25,17587,5,5
2022-06-26,11372,1,1
2022-06-27,13054,0,0
2022-06-28,10257,2,2
2022-06-29,8321,0,0
2022-06-30,6873,1,1
2022-07-01,6131,1,1
2022-07-02,6700,0,0
2022-07-03,8067,2,2
2022-07-04,6238,0,0
2022-07-05,4990,0,0
2022-07-06,4340,0,0
2022-07-07,3950,0,0
2022-07-08,3332,1,1
2022-07-09,4276,0,0
2022-07-10,4301,0,0
2022-07-11,3550,1,1
2022-07-12,3357,1,1
2022-07-13,3577,0,0
2022-07-14,3306,0,0
2022-07-15,3029,0,0
2022-07-16,3516,0,0
2022-07-17,3743,0,0
2022-07-18,3809,0,0
2022-07-19,2816,0,0
2022-07-20,2907,0,0
2022-07-21,2798,0,0
2022-07-22,2735,0,0
2022-07-23,3149,0,0
2022-07-24,3269,0,0
2022-07-25,2714,0,0
2022-07-26,2692,1,1
2022-07-27,2750,1,1
2022-07-28,2676,1,1
2022-07-29,2383,0,0
2022-07-30,2551,0,0
2022-07-31,2714,0,0
2022-08-01,2264,0,0
2022-08-02,2142,0,0
2022-08-03,2363,0,0
2022-08-04,2344,0,0
2022-08-05,2178,0,0
2022-08-06,2164,0,0
2022-08-07,2429,0,0
2022-08-08,2130,0,0
2022-08-09,2114,0,0
2022-08-10,2375,1,1
2022-08-11,3107,0,0
2022-08-12,2496,0,0
2022-08-13,2576,0,0
2022-08-14,2478,0,0
2022-08-15,2352,0,0
2022-08-16,2322,0,0
2022-08-17,2884,0,0
2022-08-18,2836,0,0
2022-08-19,2408,0,0
2022-08-20,2286,0,0
2022-08-21,2251,0,0
2022-08-22,2151,0,0
2022-08-23,1695,0,0
2022-08-24,2628,0,0
2022-08-25,2708,1,1
2022-08-26,2181,0,0
2022-08-27,2355,0,0
2022-08-28,2342,0,0
2022-08-29,1959,0,0
2022-08-30,1937,1,1
2022-08-31,2194,1,1
2022-09-01,2112,2,2
2022-09-02,1858,0,0
2022-09-03,1974,0,0
2022-09-04,2037,0,0
2022-09-05,1685,0,0
2022-09-06,1619,1,1
2022-09-07,1884,0,0
2022-09-08,1838,0,0
2022-09-09,2086,1,1
2022-09-10,1957,0,0
2022-09-11,1915,0,0
2022-09-12,1424,0,0
2022-09-13,1473,0,0
2022-09-14,1695,0,0
2022-09-15,1702,0,0
2022-09-16,1616,0,0
2022-09-17,1840,0,0
2022-09-18,2027,0,0
2022-09-19,2050,0,0
2022-09-20,1634,0,0
2022-09-21,1743,0,0
2022-09-22,1831,0,0
2022-09-23,2053,0,0
