date,gt_score
2019-01-12,42
2019-01-13,48
2019-01-14,41
2019-01-15,28
2019-01-16,21
2019-01-17,22
2019-01-18,27
2019-01-19,36
2019-01-20,43
2019-01-21,31
2019-01-22,30
2019-01-23,25
2019-01-24,24
2019-01-25,22
2019-01-26,39
2019-01-27,61
2019-01-28,40
2019-01-29,33
2019-01-30,31
2019-01-31,36
2019-02-01,30
2019-02-02,58
2019-02-03,68
2019-02-04,39
2019-02-05,35
2019-02-06,32
2019-02-07,33
2019-02-08,28
2019-02-09,47
2019-02-10,57
2019-02-11,49
2019-02-12,31
2019-02-13,31
2019-02-14,34
2019-02-15,28
2019-02-16,46
2019-02-17,69
2019-02-18,45
2019-02-19,36
2019-02-20,52
2019-02-21,100
2019-02-22,48
2019-02-23,68
2019-02-24,81
2019-02-25,48
2019-02-26,40
2019-02-27,37
2019-02-28,37
2019-03-01,32
2019-03-02,57
2019-03-03,69
2019-03-04,45
2019-03-05,40
2019-03-06,42
2019-03-07,38
2019-03-08,33
2019-03-09,51
2019-03-10,63
2019-03-11,43
2019-03-12,34
2019-03-13,34
2019-03-14,32
2019-03-15,31
2019-03-16,48
2019-03-17,65
2019-03-18,46
2019-03-19,49
2019-03-20,43
2019-03-21,43
2019-03-22,34
2019-03-23,48
2019-03-24,65
2019-03-25,43
2019-03-26,35
2019-03-27,34
2019-03-28,35
2019-03-29,33
2019-03-30,50
2019-03-31,68
2019-04-01,43
2019-04-02,63
2019-04-03,51
2019-04-04,42
2019-04-05,36
2019-04-06,37
2019-04-07,35
2019-04-08,28
2019-04-09,20
2019-04-10,20
2019-04-11,20
2019-04-12,20
2019-04-13,24
2019-04-14,25
2019-04-15,17
2019-04-16,14
2019-04-17,15
2019-04-18,14
2019-04-19,14
2019-04-20,19
2019-04-21,20
2019-04-22,14
2019-04-23,15
2019-04-24,15
2019-04-25,19
2019-04-26,21
2019-04-27,23
2019-04-28,18
2019-04-29,18
2019-04-30,16
2019-05-01,17
2019-05-02,21
2019-05-03,27
2019-05-04,22
2019-05-05,21
2019-05-06,21
2019-05-07,15
2019-05-08,17
2019-05-09,19
2019-05-10,14
2019-05-11,17
2019-05-12,16
2019-05-13,17
2019-05-14,13
2019-05-15,12
2019-05-16,14
2019-05-17,14
2019-05-18,15
2019-05-19,16
2019-05-20,16
2019-05-21,25
2019-05-22,19
2019-05-23,16
2019-05-24,14
2019-05-25,16
2019-05-26,16
2019-05-27,15
2019-05-28,14
2019-05-29,14
2019-05-30,14
2019-05-31,12
2019-06-01,15
2019-06-02,12
2019-06-03,10
2019-06-04,9
2019-06-05,10
2019-06-06,11
2019-06-07,7
2019-06-08,11
2019-06-09,11
2019-06-10,10
2019-06-11,7
2019-06-12,12
2019-06-13,13
2019-06-14,10
2019-06-15,32
2019-06-16,24
2019-06-17,15
2019-06-18,12
2019-06-19,13
2019-06-20,18
2019-06-21,15
2019-06-22,17
2019-06-23,16
2019-06-24,11
2019-06-25,11
2019-06-26,14
2019-06-27,22
2019-06-28,27
