date,pv,edit_count,editor_count
2019-01-12,17007,5,5
2019-01-13,23433,1,1
2019-01-14,20849,2,2
2019-01-15,12789,1,1
2019-01-16,9086,0,0
2019-01-17,7546,2,2
2019-01-18,7641,2,2
2019-01-19,14212,3,3
2019-01-20,19291,3,3
2019-01-21,13738,2,2
2019-01-22,12731,0,0
2019-01-23,9515,0,0
2019-01-24,7750,0,0
2019-01-25,6587,0,0
2019-01-26,13800,1,1
2019-01-27,19184,1,1
2019-01-28,14778,0,0
2019-01-29,12125,0,0
2019-01-30,10242,2,2
2019-01-31,9972,0,0
2019-02-01,9549,0,0
2019-02-02,16866,3,3
2019-02-03,21955,0,0
2019-02-04,15840,1,1
2019-02-05,13348,1,1
2019-02-06,11621,2,2
2019-02-07,9689,2,2
2019-02-08,8017,1,1
2019-02-09,13587,1,1
2019-02-10,15935,1,1
2019-02-11,17427,1,1
2019-02-12,11541,0,0
2019-02-13,9284,0,0
2019-02-14,8564,1,1
2019-02-15,7830,0,0
2019-02-16,16744,3,3
2019-02-17,21694,0,0
2019-02-18,15632,2,2
2019-02-19,12306,0,0
2019-02-20,17577,1,1
2019-02-21,23601,2,2
2019-02-22,13536,2,2
2019-02-23,17126,2,2
2019-02-24,19893,1,1
2019-02-25,15324,4,4
2019-02-26,13994,1,1
2019-02-27,10321,0,0
2019-02-28,9016,0,0
2019-03-01,8479,1,1
2019-03-02,19355,5,5
2019-03-03,25321,0,0
2019-03-04,19751,0,0
2019-03-05,14178,2,2
2019-03-06,11445,0,0
2019-03-07,10407,2,2
2019-03-08,9244,1,1
2019-03-09,14802,4,4
2019-03-10,18014,1,1
2019-03-11,13461,0,0
2019-03-12,11610,1,1
2019-03-13,9841,0,0
2019-03-14,8061,0,0
2019-03-15,8476,4,4
2019-03-16,12742,2,2
2019-03-17,14653,1,1
2019-03-18,11993,0,0
2019-03-19,11051,4,4
2019-03-20,9638,1,1
2019-03-21,10285,0,0
2019-03-22,7994,2,2
2019-03-23,14279,2,2
2019-03-24,16296,1,1
2019-03-25,12657,3,3
2019-03-26,10511,1,1
2019-03-27,9046,0,0
2019-03-28,8349,1,1
2019-03-29,7668,0,0
2019-03-30,12716,3,3
2019-03-31,13927,3,3
2019-04-01,9923,2,2
2019-04-02,11505,0,0
2019-04-03,9369,1,1
2019-04-04,8103,3,3
2019-04-05,7676,3,3
2019-04-06,9582,0,0
2019-04-07,8940,0,0
2019-04-08,6571,0,0
2019-04-09,5732,0,0
2019-04-10,5214,1,1
2019-04-11,4980,1,1
2019-04-12,4565,0,0
2019-04-13,5410,0,0
2019-04-14,6475,0,0
2019-04-15,4156,0,0
2019-04-16,3909,0,0
2019-04-17,3888,0,0
2019-04-18,3474,0,0
2019-04-19,3139,0,0
2019-04-20,4486,0,0
2019-04-21,5710,1,1
2019-04-22,3613,1,1
2019-04-23,3496,0,0
2019-04-24,3358,1,1
2019-04-25,3481,3,3
2019-04-26,3579,0,0
2019-04-27,4287,0,0
2019-04-28,4026,1,1
2019-04-29,4388,1,1
2019-04-30,4706,0,0
2019-05-01,4555,1,1
2019-05-02,4809,2,2
2019-05-03,4783,2,2
2019-05-04,4902,0,0
2019-05-05,5219,2,2
2019-05-06,5493,0,0
2019-05-07,3829,1,1
2019-05-08,3559,1,1
2019-05-09,4165,1,1
2019-05-10,3626,1,1
2019-05-11,4075,2,2
2019-05-12,4343,0,0
2019-05-13,4107,2,2
2019-05-14,3111,0,0
2019-05-15,2758,0,0
2019-05-16,3023,0,0
2019-05-17,2889,0,0
2019-05-18,3282,0,0
2019-05-19,4531,0,0
2019-05-20,3948,1,1
2019-05-21,5547,2,2
2019-05-22,3715,1,1
2019-05-23,3170,0,0
2019-05-24,2990,0,0
2019-05-25,4257,1,1
2019-05-26,3878,0,0
2019-05-27,2836,1,1
2019-05-28,2732,1,1
2019-05-29,2579,0,0
2019-05-30,2529,0,0
2019-05-31,2585,3,3
2019-06-01,3150,0,0
2019-06-02,3272,0,0
2019-06-03,2563,1,1
2019-06-04,2369,1,1
2019-06-05,2313,3,3
2019-06-06,2262,0,0
2019-06-07,2348,0,0
2019-06-08,2711,0,0
2019-06-09,2874,0,0
2019-06-10,2337,0,0
2019-06-11,2273,1,1
2019-06-12,2224,1,1
2019-06-13,2165,2,2
2019-06-14,2217,0,0
2019-06-15,6174,2,2
2019-06-16,5232,0,0
2019-06-17,3284,0,0
2019-06-18,3005,0,0
2019-06-19,2516,0,0
2019-06-20,2933,1,1
2019-06-21,3584,1,1
2019-06-22,4749,0,0
2019-06-23,3875,1,1
2019-06-24,2938,1,1
2019-06-25,2733,1,1
2019-06-26,2775,0,0
2019-06-27,3709,0,0
2019-06-28,4667,1,1
