date,gt_score
2023-04-09,77
2023-04-10,51
2023-04-11,22
2023-04-12,13
2023-04-13,11
2023-04-14,10
2023-04-15,18
2023-04-16,33
2023-04-17,19
2023-04-18,12
2023-04-19,9
2023-04-20,7
2023-04-21,8
2023-04-22,17
2023-04-23,45
2023-04-24,34
2023-04-25,18
2023-04-26,14
2023-04-27,10
2023-04-28,10
2023-04-29,20
2023-04-30,38
2023-05-01,23
2023-05-02,13
2023-05-03,12
2023-05-04,10
2023-05-05,10
2023-05-06,13
2023-05-07,36
2023-05-08,27
2023-05-09,14
2023-05-10,9
2023-05-11,8
2023-05-12,8
2023-05-13,12
2023-05-14,34
2023-05-15,22
2023-05-16,12
2023-05-17,10
2023-05-18,8
2023-05-19,6
2023-05-20,10
2023-05-21,34
2023-05-22,27
2023-05-23,13
2023-05-24,9
2023-05-25,7
2023-05-26,5
2023-05-27,9
2023-05-28,26
2023-05-29,18
2023-05-30,8
2023-05-31,9
2023-06-01,7
2023-06-02,11
2023-06-03,11
2023-06-04,33
2023-06-05,25
2023-06-06,14
2023-06-07,9
2023-06-08,10
2023-06-09,9
2023-06-10,13
2023-06-11,47
2023-06-12,38
2023-06-13,19
2023-06-14,13
2023-06-15,11
2023-06-16,11
2023-06-17,18
2023-06-18,100
2023-06-19,58
2023-06-20,23
2023-06-21,16
2023-06-22,12
2023-06-23,12
2023-06-24,13
2023-06-25,16
2023-06-26,9
2023-06-27,5
2023-06-28,6
2023-06-29,6
2023-06-30,6
2023-07-01,8
2023-07-02,7
2023-07-03,5
2023-07-04,3
2023-07-05,4
2023-07-06,3
2023-07-07,3
2023-07-08,4
2023-07-09,5
2023-07-10,4
2023-07-11,3
2023-07-12,3
2023-07-13,3
2023-07-14,3
2023-07-15,4
2023-07-16,5
2023-07-17,3
2023-07-18,2
2023-07-19,2
2023-07-20,2
2023-07-21,3
2023-07-22,2
2023-07-23,2
2023-07-24,2
2023-07-25,1
2023-07-26,2
2023-07-27,2
2023-07-28,1
2023-07-29,2
2023-07-30,2
2023-07-31,2
2023-08-01,1
2023-08-02,2
2023-08-03,1
2023-08-04,2
2023-08-05,2
2023-08-06,2
2023-08-07,1
2023-08-08,2
2023-08-09,0
2023-08-10,2
2023-08-11,2
2023-08-12,0
2023-08-13,2
2023-08-14,2
2023-08-15,2
2023-08-16,2
2023-08-17,1
2023-08-18,1
2023-08-19,1
2023-08-20,1
2023-08-21,1
2023-08-22,1
2023-08-23,1
2023-08-24,1
2023-08-25,2
2023-08-26,0
2023-08-27,1
2023-08-28,1
2023-08-29,1
2023-08-30,0
2023-08-31,1
2023-09-01,0
2023-09-02,1
2023-09-03,2
2023-09-04,0
2023-09-05,1
2023-09-06,0
2023-09-07,2
2023-09-08,0
2023-09-09,1
2023-09-10,1
2023-09-11,1
2023-09-12,0
2023-09-13,1
2023-09-14,0
2023-09-15,0
2023-09-16,1
