date,gt_score
2019-04-06,11
2019-04-07,12
2019-04-08,9
2019-04-09,7
2019-04-10,7
2019-04-11,6
2019-04-12,6
2019-04-13,12
2019-04-14,13
2019-04-15,8
2019-04-16,7
2019-04-17,6
2019-04-18,6
2019-04-19,6
2019-04-20,10
2019-04-21,12
2019-04-22,8
2019-04-23,8
2019-04-24,7
2019-04-25,6
2019-04-26,6
2019-04-27,10
2019-04-28,11
2019-04-29,9
2019-04-30,10
2019-05-01,9
2019-05-02,8
2019-05-03,9
2019-05-04,12
2019-05-05,16
2019-05-06,13
2019-05-07,10
2019-05-08,9
2019-05-09,8
2019-05-10,8
2019-05-11,13
2019-05-12,15
2019-05-13,11
2019-05-14,9
2019-05-15,8
2019-05-16,7
2019-05-17,7
2019-05-18,13
2019-05-19,13
2019-05-20,10
2019-05-21,8
2019-05-22,7
2019-05-23,7
2019-05-24,7
2019-05-25,12
2019-05-26,14
2019-05-27,9
2019-05-28,8
2019-05-29,8
2019-05-30,7
2019-05-31,7
2019-06-01,12
2019-06-02,13
2019-06-03,9
2019-06-04,7
2019-06-05,6
2019-06-06,7
2019-06-07,7
2019-06-08,12
2019-06-09,13
2019-06-10,11
2019-06-11,9
2019-06-12,8
2019-06-13,8
2019-06-14,8
2019-06-15,14
2019-06-16,15
2019-06-17,11
2019-06-18,10
2019-06-19,9
2019-06-20,9
2019-06-21,10
2019-06-22,17
2019-06-23,20
2019-06-24,16
2019-06-25,13
2019-06-26,12
2019-06-27,13
2019-06-28,13
2019-06-29,20
2019-06-30,20
2019-07-01,15
2019-07-02,15
2019-07-03,13
2019-07-04,16
2019-07-05,15
2019-07-06,21
2019-07-07,25
2019-07-08,19
2019-07-09,16
2019-07-10,15
2019-07-11,15
2019-07-12,15
2019-07-13,24
2019-07-14,25
2019-07-15,22
2019-07-16,17
2019-07-17,16
2019-07-18,16
2019-07-19,16
2019-07-20,21
2019-07-21,22
2019-07-22,18
2019-07-23,15
2019-07-24,15
2019-07-25,15
2019-07-26,15
2019-07-27,21
2019-07-28,23
2019-07-29,20
2019-07-30,20
2019-07-31,17
2019-08-01,17
2019-08-02,17
2019-08-03,24
2019-08-04,27
2019-08-05,23
2019-08-06,22
2019-08-07,21
2019-08-08,21
2019-08-09,20
2019-08-10,30
2019-08-11,35
2019-08-12,37
2019-08-13,31
2019-08-14,29
2019-08-15,29
2019-08-16,26
2019-08-17,33
2019-08-18,32
2019-08-19,29
2019-08-20,26
2019-08-21,26
2019-08-22,24
2019-08-23,23
2019-08-24,33
2019-08-25,37
2019-08-26,29
2019-08-27,28
2019-08-28,30
2019-08-29,28
2019-08-30,35
2019-08-31,52
2019-09-01,48
2019-09-02,35
2019-09-03,31
2019-09-04,30
2019-09-05,31
2019-09-06,29
2019-09-07,42
2019-09-08,42
2019-09-09,36
2019-09-10,31
2019-09-11,34
2019-09-12,32
2019-09-13,30
2019-09-14,46
2019-09-15,50
2019-09-16,45
2019-09-17,34
2019-09-18,34
2019-09-19,35
2019-09-20,35
2019-09-21,54
2019-09-22,59
2019-09-23,53
2019-09-24,41
2019-09-25,40
2019-09-26,38
2019-09-27,40
2019-09-28,86
2019-09-29,99
2019-09-30,62
2019-10-01,55
2019-10-02,58
2019-10-03,60
2019-10-04,63
2019-10-05,73
2019-10-06,79
2019-10-07,59
2019-10-08,51
2019-10-09,50
2019-10-10,48
2019-10-11,51
2019-10-12,70
2019-10-13,75
2019-10-14,70
2019-10-15,49
2019-10-16,49
2019-10-17,47
2019-10-18,47
2019-10-19,69
2019-10-20,78
2019-10-21,78
2019-10-22,82
2019-10-23,55
2019-10-24,54
2019-10-25,58
2019-10-26,80
2019-10-27,81
2019-10-28,71
2019-10-29,57
2019-10-30,51
2019-10-31,49
2019-11-01,52
2019-11-02,77
2019-11-03,75
2019-11-04,79
2019-11-05,49
2019-11-06,48
2019-11-07,50
2019-11-08,48
2019-11-09,70
2019-11-10,69
2019-11-11,60
2019-11-12,47
2019-11-13,50
2019-11-14,49
2019-11-15,49
2019-11-16,68
2019-11-17,68
2019-11-18,51
2019-11-19,41
2019-11-20,42
2019-11-21,44
2019-11-22,46
2019-11-23,67
2019-11-24,65
2019-11-25,55
2019-11-26,48
2019-11-27,55
2019-11-28,48
2019-11-29,54
2019-11-30,71
2019-12-01,67
2019-12-02,58
2019-12-03,62
2019-12-04,76
2019-12-05,62
2019-12-06,60
2019-12-07,87
2019-12-08,87
2019-12-09,69
2019-12-10,54
2019-12-11,59
2019-12-12,61
2019-12-13,77
2019-12-14,90
2019-12-15,85
2019-12-16,70
2019-12-17,72
2019-12-18,71
2019-12-19,65
2019-12-20,72
2019-12-21,100
2019-12-22,91
2019-12-23,79
2019-12-24,75
2019-12-25,74
2019-12-26,78
2019-12-27,81
