date,pv,edit_count,editor_count
2019-04-06,28753,3,3
2019-04-07,36368,2,2
2019-04-08,21785,4,4
2019-04-09,21410,1,1
2019-04-10,18029,0,0
2019-04-11,14995,1,1
2019-04-12,13359,1,1
2019-04-13,24897,3,3
2019-04-14,26320,1,1
2019-04-15,15188,0,0
2019-04-16,14252,3,3
2019-04-17,11592,0,0
2019-04-18,10501,4,4
2019-04-19,10266,1,1
2019-04-20,22337,3,3
2019-04-21,25385,3,3
2019-04-22,15515,1,1
2019-04-23,15791,2,2
2019-04-24,11944,0,0
2019-04-25,9898,0,0
2019-04-26,8493,0,0
2019-04-27,15967,2,2
2019-04-28,18009,2,2
2019-04-29,15268,3,3
2019-04-30,15891,1,1
2019-05-01,14382,5,5
2019-05-02,13030,1,1
2019-05-03,11827,6,6
2019-05-04,22659,2,2
2019-05-05,29698,7,7
2019-05-06,22326,5,5
2019-05-07,18208,0,0
2019-05-08,15093,0,0
2019-05-09,12935,2,2
2019-05-10,11254,1,1
2019-05-11,20755,2,2
2019-05-12,22752,1,1
2019-05-13,15922,2,2
2019-05-14,14871,1,1
2019-05-15,12926,1,1
2019-05-16,11102,0,0
2019-05-17,24219,1,1
2019-05-18,22281,6,6
2019-05-19,22984,1,1
2019-05-20,16563,4,4
2019-05-21,15162,1,1
2019-05-22,11880,1,1
2019-05-23,10782,0,0
2019-05-24,9631,1,1
2019-05-25,23289,2,2
2019-05-26,24768,1,1
2019-05-27,16657,1,1
2019-05-28,16077,1,1
2019-05-29,13150,2,2
2019-05-30,41884,2,2
2019-05-31,10402,5,5
2019-06-01,19232,2,2
2019-06-02,21236,1,1
2019-06-03,14276,0,0
2019-06-04,13568,2,2
2019-06-05,11231,1,1
2019-06-06,10588,0,0
2019-06-07,9899,2,2
2019-06-08,17225,2,2
2019-06-09,20161,2,2
2019-06-10,14314,2,2
2019-06-11,13330,3,3
2019-06-12,11782,3,3
2019-06-13,10431,3,3
2019-06-14,9910,2,2
2019-06-15,20560,5,5
2019-06-16,22065,2,2
2019-06-17,16119,0,0
2019-06-18,15366,2,2
2019-06-19,12834,0,0
2019-06-20,11889,1,1
2019-06-21,11165,2,2
2019-06-22,20755,4,4
2019-06-23,25717,3,3
2019-06-24,18861,5,5
2019-06-25,17690,0,0
2019-06-26,16553,2,2
2019-06-27,15267,1,1
2019-06-28,13845,0,0
2019-06-29,21580,3,3
2019-06-30,20721,0,0
2019-07-01,15474,0,0
2019-07-02,15592,1,1
2019-07-03,14144,2,2
2019-07-04,15049,4,4
2019-07-05,13744,2,2
2019-07-06,21432,9,9
2019-07-07,25519,2,2
2019-07-08,19074,4,4
2019-07-09,17147,4,4
2019-07-10,15896,3,3
2019-07-11,14460,3,3
2019-07-12,12849,1,1
2019-07-13,25937,7,7
