date,gt_score
2021-12-05,100
2021-12-06,58
2021-12-07,23
2021-12-08,15
2021-12-09,11
2021-12-10,12
2021-12-11,16
2021-12-12,33
2021-12-13,22
2021-12-14,12
2021-12-15,10
2021-12-16,7
2021-12-17,7
2021-12-18,12
2021-12-19,24
2021-12-20,22
2021-12-21,13
2021-12-22,8
2021-12-23,7
2021-12-24,7
2021-12-25,9
2021-12-26,28
2021-12-27,18
2021-12-28,11
2021-12-29,9
2021-12-30,9
2021-12-31,10
2022-01-01,9
2022-01-02,24
2022-01-03,19
2022-01-04,10
2022-01-05,6
2022-01-06,6
2022-01-07,5
2022-01-08,9
2022-01-09,25
2022-01-10,22
2022-01-11,11
2022-01-12,7
2022-01-13,5
2022-01-14,5
2022-01-15,8
2022-01-16,27
2022-01-17,19
2022-01-18,10
2022-01-19,7
2022-01-20,6
2022-01-21,5
2022-01-22,9
2022-01-23,28
2022-01-24,22
2022-01-25,9
2022-01-26,6
2022-01-27,6
2022-01-28,5
2022-01-29,10
2022-01-30,38
2022-01-31,29
2022-02-01,14
2022-02-02,9
2022-02-03,8
2022-02-04,7
2022-02-05,11
2022-02-06,55
2022-02-07,54
2022-02-08,21
2022-02-09,13
2022-02-10,10
2022-02-11,16
2022-02-12,17
2022-02-13,54
2022-02-14,29
2022-02-15,12
2022-02-16,9
2022-02-17,7
2022-02-18,7
2022-02-19,10
2022-02-20,11
2022-02-21,7
2022-02-22,6
2022-02-23,6
2022-02-24,4
2022-02-25,4
2022-02-26,5
2022-02-27,5
2022-02-28,3
2022-03-01,2
2022-03-02,2
2022-03-03,3
2022-03-04,2
2022-03-05,3
2022-03-06,2
2022-03-07,3
2022-03-08,2
2022-03-09,2
2022-03-10,2
2022-03-11,2
2022-03-12,2
2022-03-13,2
2022-03-14,2
2022-03-15,2
2022-03-16,2
2022-03-17,2
2022-03-18,2
2022-03-19,4
2022-03-20,3
2022-03-21,2
2022-03-22,2
2022-03-23,2
2022-03-24,1
2022-03-25,2
2022-03-26,2
2022-03-27,2
2022-03-28,2
2022-03-29,2
2022-03-30,1
2022-03-31,2
2022-04-01,2
2022-04-02,2
2022-04-03,1
2022-04-04,1
2022-04-05,1
2022-04-06,1
2022-04-07,1
2022-04-08,1
2022-04-09,1
2022-04-10,2
2022-04-11,1
2022-04-12,1
2022-04-13,1
2022-04-14,1
2022-04-15,2
2022-04-16,2
2022-04-17,2
2022-04-18,1
2022-04-19,1
2022-04-20,1
2022-04-21,1
2022-04-22,1
2022-04-23,2
2022-04-24,1
2022-04-25,1
2022-04-26,1
2022-04-27,1
2022-04-28,1
2022-04-29,1
2022-04-30,1
2022-05-01,1
2022-05-02,1
2022-05-03,1
2022-05-04,2
2022-05-05,1
2022-05-06,1
2022-05-07,1
2022-05-08,1
2022-05-09,1
2022-05-10,1
2022-05-11,1
2022-05-12,1
2022-05-13,0
2022-05-14,1
