date,pv,edit_count,editor_count
2021-10-07,13194,5,5
2021-10-08,9584,0,0
2021-10-09,7183,2,2
2021-10-10,5603,0,0
2021-10-11,8735,3,3
2021-10-12,5791,2,2
2021-10-13,7982,5,5
2021-10-14,9755,6,6
2021-10-15,7081,0,0
2021-10-16,6007,0,0
2021-10-17,5557,1,1
2021-10-18,7512,2,2
2021-10-19,6033,0,0
2021-10-20,6898,3,3
2021-10-21,7448,1,1
2021-10-22,7036,2,2
2021-10-23,6249,4,4
2021-10-24,5375,3,3
2021-10-25,4727,1,1
2021-10-26,4046,1,1
2021-10-27,6418,4,4
2021-10-28,6724,1,1
2021-10-29,5954,0,0
2021-10-30,5686,1,1
2021-10-31,4716,3,3
2021-11-01,6285,0,0
2021-11-02,5084,2,2
2021-11-03,7540,1,1
2021-11-04,7248,1,1
2021-11-05,6332,2,2
2021-11-06,5866,0,0
2021-11-07,5118,0,0
2021-11-08,4659,0,0
2021-11-09,4146,0,0
2021-11-10,6038,1,1
2021-11-11,6137,4,4
2021-11-12,5233,0,0
2021-11-13,4962,2,2
2021-11-14,4407,1,1
2021-11-15,3458,3,3
2021-11-16,3187,0,0
2021-11-17,4423,3,3
2021-11-18,5538,3,3
2021-11-19,4251,0,0
2021-11-20,4113,0,0
2021-11-21,4034,0,0
2021-11-22,3661,0,0
2021-11-23,3649,0,0
2021-11-24,4154,2,2
2021-11-25,5105,2,2
2021-11-26,3768,2,2
2021-11-27,3950,4,4
2021-11-28,3376,0,0
2021-11-29,2504,1,1
2021-11-30,2264,1,1
2021-12-01,3394,2,2
2021-12-02,3945,1,1
2021-12-03,2798,2,2
2021-12-04,2789,1,1
2021-12-05,2648,2,2
2021-12-06,2300,1,1
2021-12-07,2132,0,0
2021-12-08,3945,2,2
2021-12-09,4889,0,0
2021-12-10,3323,0,0
2021-12-11,3011,0,0
2021-12-12,2770,0,0
2021-12-13,2196,0,0
2021-12-14,2170,0,0
2021-12-15,3546,2,2
2021-12-16,4875,2,2
2021-12-17,3216,2,2
2021-12-18,2947,0,0
2021-12-19,2786,0,0
2021-12-20,2061,0,0
2021-12-21,2049,0,0
2021-12-22,4142,4,4
2021-12-23,5509,2,2
2021-12-24,3601,4,4
2021-12-25,3461,0,0
2021-12-26,3253,1,1
2021-12-27,2378,0,0
2021-12-28,2668,5,5
2021-12-29,2776,0,0
2021-12-30,2846,5,5
2021-12-31,2669,0,0
2022-01-01,2422,0,0
2022-01-02,2817,0,0
2022-01-03,2727,0,0
2022-01-04,2653,1,1
2022-01-05,2320,0,0
