date,gt_score
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,23
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,39
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,38
2016-02-04,47
2016-02-05,27
2016-02-06,40
2016-02-07,20
2016-02-08,20
2016-02-09,18
2016-02-10,29
2016-02-11,48
2016-02-12,56
2016-02-13,41
2016-02-14,0
2016-02-15,41
2016-02-16,29
2016-02-17,54
2016-02-18,51
2016-02-19,36
2016-02-20,19
2016-02-21,19
2016-02-22,0
2016-02-23,21
2016-02-24,29
2016-02-25,62
2016-02-26,32
2016-02-27,30
2016-02-28,35
2016-02-29,0
2016-03-01,26
2016-03-02,36
2016-03-03,61
2016-03-04,61
2016-03-05,48
2016-03-06,37
2016-03-07,24
2016-03-08,26
2016-03-09,38
2016-03-10,86
2016-03-11,43
2016-03-12,61
2016-03-13,49
2016-03-14,35
2016-03-15,0
2016-03-16,39
2016-03-17,100
2016-03-18,71
2016-03-19,64
2016-03-20,31
2016-03-21,51
2016-03-22,0
2016-03-23,27
2016-03-24,39
2016-03-25,29
2016-03-26,19
2016-03-27,30
2016-03-28,0
2016-03-29,27
2016-03-30,22
2016-03-31,37
2016-04-01,33
2016-04-02,0
2016-04-03,22
2016-04-04,28
2016-04-05,18
2016-04-06,24
2016-04-07,0
2016-04-08,0
2016-04-09,31
2016-04-10,25
2016-04-11,0
2016-04-12,0
2016-04-13,19
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,29
2016-04-18,24
2016-04-19,0
2016-04-20,24
2016-04-21,18
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,20
2016-05-06,0
2016-05-07,0
2016-05-08,24
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,0
2016-05-14,22
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,27
2016-06-02,22
2016-06-03,0
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
