date,gt_score
2023-10-22,100
2023-10-23,47
2023-10-24,32
2023-10-25,26
2023-10-26,23
2023-10-27,25
2023-10-28,37
2023-10-29,34
2023-10-30,21
2023-10-31,17
2023-11-01,13
2023-11-02,13
2023-11-03,24
2023-11-04,32
2023-11-05,26
2023-11-06,24
2023-11-07,20
2023-11-08,19
2023-11-09,21
2023-11-10,21
2023-11-11,30
2023-11-12,27
2023-11-13,19
2023-11-14,20
2023-11-15,15
2023-11-16,17
2023-11-17,15
2023-11-18,27
2023-11-19,22
2023-11-20,20
2023-11-21,15
2023-11-22,15
2023-11-23,18
2023-11-24,15
2023-11-25,32
2023-11-26,25
2023-11-27,19
2023-11-28,14
2023-11-29,12
2023-11-30,13
2023-12-01,13
2023-12-02,28
2023-12-03,23
2023-12-04,17
2023-12-05,12
2023-12-06,13
2023-12-07,12
2023-12-08,12
2023-12-09,27
2023-12-10,26
2023-12-11,17
2023-12-12,16
2023-12-13,14
2023-12-14,12
2023-12-15,14
2023-12-16,24
2023-12-17,32
2023-12-18,16
2023-12-19,14
2023-12-20,14
2023-12-21,11
2023-12-22,18
2023-12-23,32
2023-12-24,46
2023-12-25,29
2023-12-26,28
2023-12-27,22
2023-12-28,19
2023-12-29,28
2023-12-30,39
2023-12-31,29
2024-01-01,23
2024-01-02,26
2024-01-03,25
2024-01-04,27
2024-01-05,32
2024-01-06,43
2024-01-07,30
2024-01-08,21
2024-01-09,14
2024-01-10,11
2024-01-11,12
2024-01-12,16
2024-01-13,23
2024-01-14,18
2024-01-15,12
2024-01-16,12
2024-01-17,10
2024-01-18,9
2024-01-19,10
2024-01-20,21
2024-01-21,15
2024-01-22,12
2024-01-23,9
2024-01-24,8
2024-01-25,9
2024-01-26,10
2024-01-27,15
2024-01-28,12
2024-01-29,8
2024-01-30,8
2024-01-31,6
2024-02-01,6
2024-02-02,8
2024-02-03,14
2024-02-04,14
2024-02-05,8
2024-02-06,8
2024-02-07,10
2024-02-08,7
2024-02-09,7
2024-02-10,13
2024-02-11,15
2024-02-12,11
2024-02-13,7
2024-02-14,7
2024-02-15,10
2024-02-16,6
2024-02-17,17
2024-02-18,31
2024-02-19,19
2024-02-20,14
2024-02-21,14
2024-02-22,15
2024-02-23,14
2024-02-24,23
2024-02-25,21
2024-02-26,11
2024-02-27,10
2024-02-28,7
2024-02-29,10
2024-03-01,9
2024-03-02,21
2024-03-03,15
2024-03-04,9
2024-03-05,8
2024-03-06,9
2024-03-07,6
2024-03-08,7
2024-03-09,15
2024-03-10,15
2024-03-11,7
2024-03-12,7
2024-03-13,7
2024-03-14,7
2024-03-15,8
2024-03-16,18
2024-03-17,27
2024-03-18,14
2024-03-19,12
2024-03-20,13
