date,pv,edit_count,editor_count
2023-10-22,64042,3,3
2023-10-23,39363,3,3
2023-10-24,32053,1,1
2023-10-25,25663,4,4
2023-10-26,21839,1,1
2023-10-27,21127,2,2
2023-10-28,31389,3,3
2023-10-29,40907,0,0
2023-10-30,24955,2,2
2023-10-31,20660,0,0
2023-11-01,17456,2,2
2023-11-02,15600,0,0
2023-11-03,19929,0,0
2023-11-04,26673,2,2
2023-11-05,39946,0,0
2023-11-06,27063,2,2
2023-11-07,21330,0,0
2023-11-08,18468,0,0
2023-11-09,17246,1,1
2023-11-10,17268,2,2
2023-11-11,24572,1,1
2023-11-12,38863,1,1
2023-11-13,25321,1,1
2023-11-14,19716,1,1
2023-11-15,18573,0,0
2023-11-16,16670,2,2
2023-11-17,15549,1,1
2023-11-18,23345,4,4
2023-11-19,38262,0,0
2023-11-20,26897,0,0
2023-11-21,21194,0,0
2023-11-22,20097,0,0
2023-11-23,20249,1,1
2023-11-24,16235,0,0
2023-11-25,23118,2,2
2023-11-26,29903,1,1
2023-11-27,20334,1,1
2023-11-28,17069,0,0
2023-11-29,14982,0,0
2023-11-30,14330,2,2
2023-12-01,13797,1,1
2023-12-02,22836,3,3
2023-12-03,28467,0,0
2023-12-04,18677,2,2
2023-12-05,16209,2,2
2023-12-06,15117,0,0
2023-12-07,14277,0,0
2023-12-08,13809,1,1
2023-12-09,23271,3,3
2023-12-10,36550,2,2
2023-12-11,23098,1,1
2023-12-12,19635,0,0
2023-12-13,17556,0,0
2023-12-14,15737,0,0
2023-12-15,15468,0,0
2023-12-16,27936,2,2
2023-12-17,43701,0,0
2023-12-18,27697,1,1
2023-12-19,20078,0,0
2023-12-20,17128,0,0
2023-12-21,15867,0,0
2023-12-22,15396,0,0
2023-12-23,24980,1,1
2023-12-24,38066,1,1
2023-12-25,26647,2,2
2023-12-26,20272,0,0
2023-12-27,18132,1,1
2023-12-28,19283,0,0
2023-12-29,20872,0,0
2023-12-30,22801,0,0
2023-12-31,20035,0,0
2024-01-01,17503,0,0
2024-01-02,18696,0,0
2024-01-03,21397,0,0
2024-01-04,19032,0,0
2024-01-05,18932,2,2
2024-01-06,29926,1,1
2024-01-07,38989,1,1
2024-01-08,30305,1,1
2024-01-09,23259,1,1
2024-01-10,21994,0,0
2024-01-11,18405,1,1
2024-01-12,18174,0,0
2024-01-13,25998,2,2
2024-01-14,34533,1,1
2024-01-15,23010,3,3
2024-01-16,19469,2,2
2024-01-17,17803,1,1
2024-01-18,16813,0,0
2024-01-19,16345,1,1
2024-01-20,25286,2,2
