date,gt_score
2022-07-02,29
2022-07-03,32
2022-07-04,21
2022-07-05,23
2022-07-06,22
2022-07-07,17
2022-07-08,17
2022-07-09,29
2022-07-10,35
2022-07-11,28
2022-07-12,32
2022-07-13,27
2022-07-14,23
2022-07-15,23
2022-07-16,36
2022-07-17,42
2022-07-18,41
2022-07-19,42
2022-07-20,38
2022-07-21,33
2022-07-22,35
2022-07-23,52
2022-07-24,68
2022-07-25,53
2022-07-26,51
2022-07-27,45
2022-07-28,44
2022-07-29,41
2022-07-30,55
2022-07-31,56
2022-08-01,41
2022-08-02,47
2022-08-03,42
2022-08-04,32
2022-08-05,33
2022-08-06,47
2022-08-07,50
2022-08-08,43
2022-08-09,44
2022-08-10,38
2022-08-11,41
2022-08-12,35
2022-08-13,48
2022-08-14,46
2022-08-15,38
2022-08-16,40
2022-08-17,38
2022-08-18,38
2022-08-19,33
2022-08-20,43
2022-08-21,56
2022-08-22,44
2022-08-23,47
2022-08-24,46
2022-08-25,43
2022-08-26,35
2022-08-27,57
2022-08-28,51
2022-08-29,39
2022-08-30,42
2022-08-31,35
2022-09-01,30
2022-09-02,31
2022-09-03,49
2022-09-04,51
2022-09-05,39
2022-09-06,38
2022-09-07,34
2022-09-08,32
2022-09-09,39
2022-09-10,53
2022-09-11,52
2022-09-12,46
2022-09-13,43
2022-09-14,39
2022-09-15,33
2022-09-16,32
2022-09-17,63
2022-09-18,58
2022-09-19,50
2022-09-20,53
2022-09-21,46
2022-09-22,46
2022-09-23,56
2022-09-24,100
2022-09-25,97
2022-09-26,62
2022-09-27,70
2022-09-28,57
2022-09-29,49
2022-09-30,44
2022-10-01,52
2022-10-02,45
2022-10-03,39
2022-10-04,33
2022-10-05,31
2022-10-06,29
2022-10-07,30
2022-10-08,34
2022-10-09,31
2022-10-10,33
2022-10-11,26
2022-10-12,27
2022-10-13,26
2022-10-14,24
2022-10-15,28
2022-10-16,29
2022-10-17,24
2022-10-18,20
2022-10-19,20
2022-10-20,20
2022-10-21,20
2022-10-22,23
2022-10-23,22
2022-10-24,18
2022-10-25,20
2022-10-26,20
2022-10-27,18
2022-10-28,18
2022-10-29,23
2022-10-30,22
2022-10-31,17
2022-11-01,18
2022-11-02,26
2022-11-03,21
2022-11-04,17
2022-11-05,18
2022-11-06,18
2022-11-07,13
2022-11-08,15
2022-11-09,14
2022-11-10,14
2022-11-11,14
2022-11-12,15
2022-11-13,15
2022-11-14,12
2022-11-15,13
2022-11-16,12
2022-11-17,12
2022-11-18,15
2022-11-19,17
2022-11-20,14
2022-11-21,13
2022-11-22,11
2022-11-23,12
2022-11-24,13
2022-11-25,13
2022-11-26,18
2022-11-27,15
2022-11-28,12
2022-11-29,10
2022-11-30,12
2022-12-01,10
2022-12-02,12
2022-12-03,13
2022-12-04,18
2022-12-05,10
2022-12-06,11
2022-12-07,11
2022-12-08,12
2022-12-09,14
2022-12-10,13
2022-12-11,16
2022-12-12,11
2022-12-13,13
2022-12-14,14
2022-12-15,13
2022-12-16,15
2022-12-17,15
2022-12-18,14
2022-12-19,13
2022-12-20,12
2022-12-21,14
2022-12-22,13
2022-12-23,15
