date,pv,edit_count,editor_count
2022-07-02,17592,6,6
2022-07-03,21220,2,2
2022-07-04,12187,0,0
2022-07-05,14498,2,2
2022-07-06,12192,3,3
2022-07-07,10435,1,1
2022-07-08,8465,1,1
2022-07-09,16335,5,5
2022-07-10,22772,0,0
2022-07-11,15265,2,2
2022-07-12,18102,1,1
2022-07-13,14804,1,1
2022-07-14,12619,0,0
2022-07-15,11858,0,0
2022-07-16,20371,3,3
2022-07-17,24914,4,4
2022-07-18,21903,1,1
2022-07-19,23788,0,0
2022-07-20,19612,3,3
2022-07-21,17099,1,1
2022-07-22,15616,3,3
2022-07-23,25025,5,5
2022-07-24,32005,6,6
2022-07-25,25330,1,1
2022-07-26,26241,3,3
2022-07-27,22427,0,0
2022-07-28,20459,0,0
2022-07-29,17289,1,1
2022-07-30,26819,4,4
2022-07-31,27681,4,4
2022-08-01,18129,1,1
2022-08-02,21180,1,1
2022-08-03,17600,2,2
2022-08-04,15414,0,0
2022-08-05,13563,0,0
2022-08-06,20350,2,2
2022-08-07,23812,1,1
2022-08-08,18481,6,6
2022-08-09,19868,3,3
2022-08-10,17146,6,6
2022-08-11,18151,6,6
2022-08-12,15935,3,3
2022-08-13,21767,20,20
2022-08-14,22333,8,8
2022-08-15,18655,0,0
2022-08-16,20518,0,0
2022-08-17,19705,3,3
2022-08-18,17106,2,2
2022-08-19,14346,0,0
2022-08-20,22287,1,1
2022-08-21,27649,4,4
2022-08-22,20029,2,2
2022-08-23,22593,4,4
2022-08-24,21107,5,5
2022-08-25,17996,0,0
2022-08-26,15920,1,1
2022-08-27,25707,3,3
2022-08-28,25348,2,2
2022-08-29,16918,3,3
2022-08-30,18481,3,3
2022-08-31,16443,2,2
2022-09-01,14946,1,1
2022-09-02,14318,0,0
2022-09-03,22616,1,1
2022-09-04,25994,2,2
2022-09-05,18090,1,1
2022-09-06,19061,0,0
2022-09-07,15942,3,3
2022-09-08,15554,2,2
2022-09-09,17454,1,1
2022-09-10,22414,3,3
2022-09-11,24384,4,4
2022-09-12,22364,3,3
2022-09-13,20913,5,5
2022-09-14,17816,2,2
2022-09-15,16092,4,4
2022-09-16,14885,0,0
2022-09-17,26118,4,4
2022-09-18,29753,3,3
2022-09-19,25556,1,1
2022-09-20,25618,8,8
2022-09-21,20449,2,2
2022-09-22,20136,3,3
2022-09-23,24809,5,5
2022-09-24,41678,7,7
2022-09-25,43394,5,5
2022-09-26,27695,3,3
2022-09-27,29533,7,7
2022-09-28,25944,6,6
2022-09-29,22778,5,5
2022-09-30,20222,5,5
2022-10-01,24217,2,2
2022-10-02,23862,3,3
2022-10-03,17219,2,2
2022-10-04,15590,2,2
2022-10-05,14463,2,2
2022-10-06,12974,0,0
2022-10-07,12585,2,2
2022-10-08,13965,3,3
2022-10-09,15703,1,1
2022-10-10,16504,1,1
2022-10-11,11565,0,0
2022-10-12,11387,0,0
2022-10-13,11025,0,0
2022-10-14,10016,0,0
2022-10-15,12403,0,0
2022-10-16,12368,1,1
2022-10-17,9439,0,0
2022-10-18,8860,0,0
2022-10-19,8253,2,2
2022-10-20,7584,0,0
2022-10-21,7909,1,1
2022-10-22,9945,0,0
2022-10-23,10667,1,1
2022-10-24,7829,0,0
2022-10-25,7327,2,2
2022-10-26,7373,2,2
2022-10-27,6459,0,0
2022-10-28,7002,2,2
2022-10-29,7930,0,0
2022-10-30,7960,0,0
2022-10-31,6296,0,0
2022-11-01,6118,2,2
2022-11-02,5709,0,0
2022-11-03,6570,0,0
2022-11-04,5875,1,1
2022-11-05,7019,2,2
2022-11-06,6682,0,0
2022-11-07,5359,1,1
2022-11-08,4876,0,0
2022-11-09,4637,0,0
2022-11-10,4462,0,0
2022-11-11,4543,0,0
2022-11-12,5393,0,0
2022-11-13,6034,2,2
2022-11-14,4550,2,2
2022-11-15,4266,2,2
2022-11-16,4066,3,3
2022-11-17,3801,1,1
2022-11-18,4990,3,3
2022-11-19,5286,0,0
2022-11-20,5100,0,0
2022-11-21,3986,2,2
2022-11-22,4184,2,2
2022-11-23,4816,0,0
2022-11-24,3715,0,0
2022-11-25,4030,3,3
2022-11-26,4601,0,0
2022-11-27,4403,0,0
2022-11-28,3857,0,0
2022-11-29,3921,2,2
2022-11-30,3399,0,0
2022-12-01,3265,1,1
2022-12-02,3395,1,1
2022-12-03,4159,1,1
2022-12-04,5254,2,2
2022-12-05,3854,2,2
2022-12-06,3980,1,1
2022-12-07,3750,0,0
2022-12-08,3266,0,0
2022-12-09,4085,1,1
2022-12-10,4710,1,1
2022-12-11,4942,2,2
2022-12-12,3853,1,1
2022-12-13,3560,0,0
2022-12-14,3805,1,1
2022-12-15,3825,0,0
2022-12-16,4938,1,1
2022-12-17,5301,1,1
2022-12-18,4563,1,1
2022-12-19,3554,0,0
2022-12-20,4832,4,4
2022-12-21,4385,2,2
2022-12-22,4205,2,2
2022-12-23,3959,0,0
