date,gt_score
2017-07-07,65
2017-07-08,55
2017-07-09,50
2017-07-10,24
2017-07-11,37
2017-07-12,20
2017-07-13,0
2017-07-14,26
2017-07-15,42
2017-07-16,41
2017-07-17,37
2017-07-18,21
2017-07-19,21
2017-07-20,28
2017-07-21,32
2017-07-22,24
2017-07-23,18
2017-07-24,21
2017-07-25,14
2017-07-26,0
2017-07-27,0
2017-07-28,20
2017-07-29,21
2017-07-30,30
2017-07-31,20
2017-08-01,0
2017-08-02,21
2017-08-03,20
2017-08-04,16
2017-08-05,18
2017-08-06,18
2017-08-07,16
2017-08-08,13
2017-08-09,25
2017-08-10,15
2017-08-11,20
2017-08-12,29
2017-08-13,28
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,0
2017-08-18,29
2017-08-19,44
2017-08-20,23
2017-08-21,21
2017-08-22,17
2017-08-23,18
2017-08-24,16
2017-08-25,0
2017-08-26,32
2017-08-27,25
2017-08-28,25
2017-08-29,18
2017-08-30,17
2017-08-31,16
2017-09-01,25
2017-09-02,32
2017-09-03,25
2017-09-04,15
2017-09-05,16
2017-09-06,0
2017-09-07,0
2017-09-08,37
2017-09-09,51
2017-09-10,50
2017-09-11,21
2017-09-12,22
2017-09-13,25
2017-09-14,18
2017-09-15,28
2017-09-16,41
2017-09-17,30
2017-09-18,43
2017-09-19,19
2017-09-20,0
2017-09-21,19
2017-09-22,57
2017-09-23,67
2017-09-24,46
2017-09-25,36
2017-09-26,17
2017-09-27,43
2017-09-28,20
2017-09-29,75
2017-09-30,100
2017-10-01,64
2017-10-02,72
2017-10-03,62
2017-10-04,55
2017-10-05,29
2017-10-06,29
2017-10-07,51
2017-10-08,58
2017-10-09,40
2017-10-10,29
2017-10-11,33
2017-10-12,34
2017-10-13,20
2017-10-14,33
2017-10-15,35
2017-10-16,24
2017-10-17,16
2017-10-18,20
2017-10-19,0
2017-10-20,17
2017-10-21,19
2017-10-22,19
2017-10-23,20
2017-10-24,0
2017-10-25,16
2017-10-26,18
2017-10-27,0
2017-10-28,27
2017-10-29,32
2017-10-30,28
2017-10-31,19
2017-11-01,0
2017-11-02,0
2017-11-03,16
2017-11-04,24
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,16
2017-11-10,0
2017-11-11,0
2017-11-12,26
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,22
2017-11-27,17
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,16
2017-12-02,27
2017-12-03,16
2017-12-04,19
