date,pv,edit_count,editor_count
2017-07-07,15852,8,8
2017-07-08,25360,1,1
2017-07-09,15509,2,2
2017-07-10,11555,0,0
2017-07-11,7811,2,2
2017-07-12,5349,0,0
2017-07-13,4476,0,0
2017-07-14,10907,1,1
2017-07-15,16100,0,0
2017-07-16,12107,1,1
2017-07-17,11183,0,0
2017-07-18,7041,2,2
2017-07-19,5293,1,1
2017-07-20,4620,1,1
2017-07-21,9875,3,3
2017-07-22,13527,2,2
2017-07-23,10107,0,0
2017-07-24,7093,0,0
2017-07-25,5299,0,0
2017-07-26,4667,2,2
2017-07-27,4400,0,0
2017-07-28,7916,2,2
2017-07-29,11322,6,6
2017-07-30,9245,2,2
2017-07-31,6686,0,0
2017-08-01,5211,0,0
2017-08-02,4174,1,1
2017-08-03,3999,2,2
2017-08-04,7406,3,3
2017-08-05,9418,0,0
2017-08-06,7177,2,2
2017-08-07,5487,1,1
2017-08-08,4193,0,0
2017-08-09,4068,1,1
2017-08-10,3684,1,1
2017-08-11,8152,3,3
2017-08-12,10723,6,6
2017-08-13,6914,2,2
2017-08-14,6492,1,1
2017-08-15,5795,0,0
2017-08-16,4603,0,0
2017-08-17,4258,1,1
2017-08-18,7409,2,2
2017-08-19,9949,1,1
2017-08-20,7658,0,0
2017-08-21,5848,1,1
2017-08-22,4954,0,0
2017-08-23,4798,0,0
2017-08-24,4133,0,0
2017-08-25,7727,2,2
2017-08-26,11424,1,1
2017-08-27,8711,0,0
2017-08-28,6687,0,0
2017-08-29,5107,1,1
2017-08-30,4548,0,0
2017-08-31,3843,0,0
2017-09-01,6526,1,1
2017-09-02,8891,1,1
2017-09-03,6831,0,0
2017-09-04,5161,0,0
2017-09-05,4158,0,0
2017-09-06,3328,0,0
2017-09-07,3184,0,0
2017-09-08,11878,1,1
2017-09-09,19385,1,1
2017-09-10,14740,0,0
2017-09-11,11434,0,0
2017-09-12,8710,1,1
2017-09-13,6695,0,0
2017-09-14,5629,0,0
2017-09-15,11462,1,1
2017-09-16,16731,1,1
2017-09-17,12020,1,1
2017-09-18,10970,0,0
2017-09-19,7384,0,0
2017-09-20,5717,0,0
2017-09-21,5035,0,0
2017-09-22,9815,2,2
2017-09-23,13949,2,2
2017-09-24,12564,3,3
2017-09-25,8671,1,1
2017-09-26,8263,0,0
2017-09-27,7019,0,0
2017-09-28,6134,1,1
2017-09-29,18497,2,2
2017-09-30,30494,2,2
2017-10-01,27004,4,4
2017-10-02,23276,2,2
2017-10-03,17378,1,1
2017-10-04,14253,1,1
2017-10-05,12552,0,0
