date,pv,edit_count,editor_count
2023-04-07,7899,1,1
2023-04-08,6372,1,1
2023-04-09,5125,0,0
2023-04-10,3688,1,1
2023-04-11,3669,0,0
2023-04-12,3647,0,0
2023-04-13,5355,1,1
2023-04-14,6005,0,0
2023-04-15,6247,1,1
2023-04-16,5260,0,0
2023-04-17,3521,0,0
2023-04-18,2919,0,0
2023-04-19,2862,0,0
2023-04-20,4360,1,1
2023-04-21,5057,0,0
2023-04-22,5046,0,0
2023-04-23,4011,0,0
2023-04-24,2839,0,0
2023-04-25,2432,0,0
2023-04-26,2248,0,0
2023-04-27,3299,1,1
2023-04-28,3615,0,0
2023-04-29,3699,0,0
2023-04-30,3005,0,0
2023-05-01,2287,0,0
2023-05-02,2067,0,0
2023-05-03,2131,0,0
2023-05-04,3659,1,1
2023-05-05,5111,1,1
2023-05-06,3985,0,0
2023-05-07,3580,0,0
2023-05-08,2080,0,0
2023-05-09,1854,0,0
2023-05-10,1690,0,0
2023-05-11,2518,1,1
2023-05-12,2690,0,0
2023-05-13,2891,0,0
2023-05-14,2437,2,2
2023-05-15,1634,0,0
2023-05-16,1584,0,0
2023-05-17,1525,0,0
2023-05-18,2632,1,1
2023-05-19,3312,0,0
2023-05-20,2928,0,0
2023-05-21,2387,0,0
2023-05-22,1854,1,1
2023-05-23,1493,0,0
2023-05-24,1512,0,0
2023-05-25,2044,1,1
2023-05-26,2286,0,0
2023-05-27,2339,0,0
2023-05-28,2067,0,0
2023-05-29,1539,0,0
2023-05-30,1459,0,0
2023-05-31,1291,0,0
2023-06-01,2474,1,1
2023-06-02,3424,0,0
2023-06-03,2841,0,0
2023-06-04,2279,0,0
2023-06-05,1625,0,0
2023-06-06,1502,0,0
2023-06-07,1341,0,0
2023-06-08,2561,1,1
2023-06-09,3342,0,0
2023-06-10,3014,2,2
2023-06-11,2478,1,1
2023-06-12,1935,1,1
2023-06-13,1535,0,0
2023-06-14,1375,0,0
2023-06-15,2568,2,2
2023-06-16,3001,1,1
2023-06-17,2421,0,0
2023-06-18,1901,0,0
2023-06-19,1410,0,0
2023-06-20,1439,0,0
2023-06-21,1594,1,1
2023-06-22,3208,1,1
2023-06-23,4306,1,1
2023-06-24,3639,0,0
2023-06-25,3080,0,0
2023-06-26,2389,0,0
2023-06-27,2101,0,0
2023-06-28,2024,0,0
2023-06-29,2547,0,0
2023-06-30,3046,1,1
2023-07-01,3007,0,0
2023-07-02,2668,0,0
2023-07-03,1755,1,1
2023-07-04,1655,0,0
2023-07-05,1566,0,0
2023-07-06,1410,0,0
