date,pv,edit_count,editor_count
2021-07-08,22528,4,4
2021-07-09,16603,1,1
2021-07-10,16441,2,2
2021-07-11,16742,1,1
2021-07-12,12030,1,1
2021-07-13,10447,2,2
2021-07-14,12272,3,3
2021-07-15,14516,1,1
2021-07-16,12589,0,0
2021-07-17,13494,1,1
2021-07-18,14516,0,0
2021-07-19,9386,0,0
2021-07-20,8206,0,0
2021-07-21,9389,1,1
2021-07-22,12083,0,0
2021-07-23,9409,0,0
2021-07-24,9916,0,0
2021-07-25,9721,0,0
2021-07-26,7121,0,0
2021-07-27,6322,0,0
2021-07-28,8148,2,2
2021-07-29,9726,0,0
2021-07-30,8469,1,1
2021-07-31,9100,0,0
2021-08-01,8670,1,1
2021-08-02,6544,0,0
2021-08-03,5865,0,0
2021-08-04,7461,3,3
2021-08-05,9552,0,0
2021-08-06,7965,0,0
2021-08-07,8493,0,0
2021-08-08,9133,1,1
2021-08-09,8048,0,0
2021-08-10,6691,0,0
2021-08-11,8663,4,4
2021-08-12,10222,0,0
2021-08-13,8726,0,0
2021-08-14,8257,0,0
2021-08-15,8117,0,0
2021-08-16,6901,0,0
2021-08-17,5604,0,0
2021-08-18,6490,1,1
2021-08-19,7778,0,0
2021-08-20,6653,0,0
2021-08-21,7473,0,0
2021-08-22,7664,0,0
2021-08-23,5942,0,0
2021-08-24,5278,0,0
2021-08-25,6639,1,1
2021-08-26,7340,0,0
2021-08-27,6366,0,0
2021-08-28,6714,0,0
2021-08-29,7204,2,2
2021-08-30,5647,0,0
2021-08-31,4981,0,0
2021-09-01,5634,2,2
2021-09-02,7520,1,1
2021-09-03,6247,0,0
2021-09-04,6683,1,1
2021-09-05,6624,0,0
2021-09-06,5245,0,0
2021-09-07,4766,1,1
2021-09-08,6022,3,3
2021-09-09,8096,1,1
2021-09-10,6365,0,0
2021-09-11,6965,1,1
2021-09-12,6829,3,3
2021-09-13,5480,0,0
2021-09-14,4972,2,2
2021-09-15,5898,3,3
2021-09-16,7203,1,1
2021-09-17,6654,0,0
2021-09-18,7036,1,1
2021-09-19,6627,1,1
2021-09-20,5980,0,0
2021-09-21,4723,0,0
2021-09-22,7793,3,3
2021-09-23,10616,0,0
2021-09-24,7705,0,0
2021-09-25,7647,1,1
2021-09-26,7868,0,0
2021-09-27,5672,0,0
2021-09-28,5262,0,0
2021-09-29,6595,0,0
2021-09-30,7491,0,0
2021-10-01,6406,0,0
2021-10-02,6083,2,2
2021-10-03,5377,0,0
2021-10-04,3970,0,0
2021-10-05,3699,1,1
2021-10-06,3872,0,0
2021-10-07,3316,0,0
2021-10-08,3066,0,0
2021-10-09,3609,0,0
2021-10-10,3785,0,0
2021-10-11,2973,0,0
2021-10-12,2679,0,0
2021-10-13,2827,0,0
2021-10-14,2520,0,0
2021-10-15,2675,0,0
2021-10-16,2812,1,1
2021-10-17,3112,1,1
2021-10-18,2530,1,1
2021-10-19,2252,1,1
2021-10-20,2222,0,0
2021-10-21,2225,0,0
2021-10-22,2515,1,1
2021-10-23,2652,0,0
2021-10-24,2864,1,1
2021-10-25,2318,0,0
2021-10-26,2111,0,0
2021-10-27,2222,0,0
2021-10-28,2013,0,0
2021-10-29,2920,1,1
2021-10-30,2553,0,0
2021-10-31,2507,1,1
2021-11-01,1958,0,0
2021-11-02,1890,0,0
2021-11-03,2573,0,0
2021-11-04,1831,0,0
2021-11-05,2043,0,0
2021-11-06,2293,0,0
2021-11-07,2371,0,0
2021-11-08,1956,0,0
2021-11-09,2046,0,0
2021-11-10,2169,0,0
2021-11-11,1907,0,0
2021-11-12,1784,0,0
2021-11-13,1968,0,0
2021-11-14,2149,1,1
2021-11-15,1756,0,0
2021-11-16,1647,2,2
2021-11-17,2040,0,0
2021-11-18,1795,0,0
2021-11-19,1470,1,1
2021-11-20,1838,1,1
2021-11-21,2032,0,0
2021-11-22,1743,0,0
2021-11-23,1888,0,0
2021-11-24,1499,0,0
2021-11-25,1478,0,0
2021-11-26,1392,0,0
2021-11-27,1601,1,1
2021-11-28,1640,0,0
2021-11-29,1598,0,0
2021-11-30,1351,0,0
2021-12-01,1354,0,0
2021-12-02,1343,0,0
2021-12-03,1348,0,0
2021-12-04,1527,0,0
2021-12-05,1785,0,0
2021-12-06,1440,0,0
2021-12-07,1478,0,0
2021-12-08,1307,0,0
2021-12-09,1110,0,0
2021-12-10,1085,0,0
2021-12-11,1298,0,0
2021-12-12,1511,0,0
2021-12-13,1177,0,0
2021-12-14,1161,1,1
2021-12-15,1106,0,0
2021-12-16,1169,0,0
2021-12-17,1275,0,0
2021-12-18,1419,0,0
2021-12-19,1673,0,0
2021-12-20,1394,0,0
2021-12-21,1371,0,0
2021-12-22,1317,0,0
2021-12-23,1298,0,0
2021-12-24,1337,0,0
2021-12-25,1525,0,0
2021-12-26,1823,0,0
2021-12-27,1328,0,0
2021-12-28,1620,0,0
