date,gt_score
2021-10-03,100
2021-10-04,90
2021-10-05,38
2021-10-06,30
2021-10-07,34
2021-10-08,25
2021-10-09,38
2021-10-10,41
2021-10-11,57
2021-10-12,42
2021-10-13,32
2021-10-14,30
2021-10-15,22
2021-10-16,26
2021-10-17,35
2021-10-18,42
2021-10-19,16
2021-10-20,18
2021-10-21,14
2021-10-22,14
2021-10-23,26
2021-10-24,46
2021-10-25,39
2021-10-26,29
2021-10-27,20
2021-10-28,0
2021-10-29,22
2021-10-30,18
2021-10-31,19
2021-11-01,23
2021-11-02,0
2021-11-03,21
2021-11-04,0
2021-11-05,30
2021-11-06,22
2021-11-07,38
2021-11-08,34
2021-11-09,21
2021-11-10,22
2021-11-11,19
2021-11-12,13
2021-11-13,22
2021-11-14,23
2021-11-15,32
2021-11-16,17
2021-11-17,18
2021-11-18,15
2021-11-19,16
2021-11-20,19
2021-11-21,14
2021-11-22,44
2021-11-23,36
2021-11-24,32
2021-11-25,24
2021-11-26,29
2021-11-27,15
2021-11-28,26
2021-11-29,15
2021-11-30,17
2021-12-01,19
2021-12-02,0
2021-12-03,21
2021-12-04,16
2021-12-05,28
2021-12-06,24
2021-12-07,0
2021-12-08,27
2021-12-09,18
2021-12-10,14
2021-12-11,17
2021-12-12,21
2021-12-13,22
2021-12-14,13
2021-12-15,22
2021-12-16,12
2021-12-17,15
2021-12-18,0
2021-12-19,32
2021-12-20,62
2021-12-21,21
2021-12-22,39
2021-12-23,20
2021-12-24,18
2021-12-25,14
2021-12-26,25
2021-12-27,34
2021-12-28,20
2021-12-29,27
2021-12-30,24
2021-12-31,16
2022-01-01,17
