date,pv,edit_count,editor_count
2021-10-03,8061,4,4
2021-10-04,12414,0,0
2021-10-05,7081,0,0
2021-10-06,4444,0,0
2021-10-07,2783,0,0
2021-10-08,2476,0,0
2021-10-09,2964,0,0
2021-10-10,6527,2,2
2021-10-11,9523,0,0
2021-10-12,6554,0,0
2021-10-13,4865,1,1
2021-10-14,3856,0,0
2021-10-15,3092,0,0
2021-10-16,3467,0,0
2021-10-17,6206,3,3
2021-10-18,7481,1,1
2021-10-19,4465,2,2
2021-10-20,3243,0,0
2021-10-21,2630,0,0
2021-10-22,2753,2,2
2021-10-23,2786,0,0
2021-10-24,6798,1,1
2021-10-25,10162,0,0
2021-10-26,6495,0,0
2021-10-27,4684,0,0
2021-10-28,3446,0,0
2021-10-29,2813,0,0
2021-10-30,3508,0,0
2021-10-31,5038,3,3
2021-11-01,5682,0,0
2021-11-02,4110,0,0
2021-11-03,4351,1,1
2021-11-04,2733,0,0
2021-11-05,2664,0,0
2021-11-06,2886,0,0
2021-11-07,6207,1,1
2021-11-08,7982,1,1
2021-11-09,5831,2,2
2021-11-10,3959,0,0
2021-11-11,3089,0,0
2021-11-12,2486,0,0
2021-11-13,2875,0,0
2021-11-14,5859,1,1
2021-11-15,7672,0,0
2021-11-16,4705,0,0
2021-11-17,3271,0,0
2021-11-18,2678,0,0
2021-11-19,2390,0,0
2021-11-20,2670,0,0
2021-11-21,6003,2,2
2021-11-22,7982,3,3
2021-11-23,5851,1,1
2021-11-24,3552,2,2
2021-11-25,2674,0,0
2021-11-26,2174,0,0
2021-11-27,2722,0,0
2021-11-28,4251,1,1
2021-11-29,4925,0,0
2021-11-30,3422,0,0
2021-12-01,2449,1,1
2021-12-02,2038,1,1
2021-12-03,1828,0,0
2021-12-04,2135,0,0
2021-12-05,5318,2,2
2021-12-06,6756,1,1
2021-12-07,4375,2,2
2021-12-08,2972,0,0
2021-12-09,2365,1,1
2021-12-10,2130,1,1
2021-12-11,2585,1,1
2021-12-12,5749,2,2
2021-12-13,7120,2,2
2021-12-14,4369,0,0
2021-12-15,3102,0,0
2021-12-16,2621,0,0
2021-12-17,2115,0,0
2021-12-18,2374,0,0
2021-12-19,7011,2,2
2021-12-20,10562,1,1
2021-12-21,6799,2,2
2021-12-22,4622,0,0
2021-12-23,3404,0,0
2021-12-24,2937,0,0
2021-12-25,3526,2,2
2021-12-26,4399,0,0
2021-12-27,4254,0,0
2021-12-28,3310,0,0
2021-12-29,3041,0,0
2021-12-30,2817,0,0
2021-12-31,2444,1,1
2022-01-01,2590,0,0
