date,gt_score
2016-07-12,15
2016-07-13,14
2016-07-14,0
2016-07-15,12
2016-07-16,14
2016-07-17,12
2016-07-18,9
2016-07-19,0
2016-07-20,18
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,10
2016-07-26,0
2016-07-27,0
2016-07-28,9
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,12
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,10
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,14
2016-08-24,10
2016-08-25,9
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,10
2016-08-31,11
2016-09-01,0
2016-09-02,0
2016-09-03,0
2016-09-04,10
2016-09-05,11
2016-09-06,9
2016-09-07,13
2016-09-08,10
2016-09-09,0
2016-09-10,12
2016-09-11,10
2016-09-12,17
2016-09-13,16
2016-09-14,0
2016-09-15,10
2016-09-16,26
2016-09-17,36
2016-09-18,32
2016-09-19,59
2016-09-20,80
2016-09-21,45
2016-09-22,41
2016-09-23,34
2016-09-24,47
2016-09-25,42
2016-09-26,100
2016-09-27,87
2016-09-28,47
2016-09-29,31
2016-09-30,31
2016-10-01,27
2016-10-02,38
2016-10-03,24
2016-10-04,27
2016-10-05,13
2016-10-06,20
2016-10-07,21
2016-10-08,18
2016-10-09,16
2016-10-10,16
2016-10-11,14
2016-10-12,9
2016-10-13,11
2016-10-14,0
2016-10-15,11
2016-10-16,16
2016-10-17,0
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0
2016-12-09,0
