date,pv,edit_count,editor_count
2016-04-03,83515,11,11
2016-04-04,27524,1,1
2016-04-05,15555,4,4
2016-04-06,12623,2,2
2016-04-07,9318,3,3
2016-04-08,7232,3,3
2016-04-09,9293,5,5
2016-04-10,48200,1,1
2016-04-11,19141,2,2
2016-04-12,11621,3,3
2016-04-13,9295,0,0
2016-04-14,7635,1,1
2016-04-15,7142,1,1
2016-04-16,8669,1,1
2016-04-17,36749,4,4
2016-04-18,15414,1,1
2016-04-19,10040,2,2
2016-04-20,8249,2,2
2016-04-21,7465,2,2
2016-04-22,6783,1,1
2016-04-23,7529,1,1
2016-04-24,36372,6,6
2016-04-25,15242,2,2
2016-04-26,9330,0,0
2016-04-27,7600,1,1
2016-04-28,6116,1,1
2016-04-29,7029,1,1
2016-04-30,6159,2,2
2016-05-01,24529,3,3
2016-05-02,12995,1,1
2016-05-03,10562,2,2
2016-05-04,9572,3,3
2016-05-05,8801,1,1
2016-05-06,7167,3,3
2016-05-07,8236,2,2
2016-05-08,29510,5,5
2016-05-09,14086,1,1
2016-05-10,10536,2,2
2016-05-11,8313,3,3
2016-05-12,7927,3,3
2016-05-13,7583,0,0
2016-05-14,8064,0,0
2016-05-15,27974,3,3
2016-05-16,13599,1,1
2016-05-17,9275,3,3
2016-05-18,7419,3,3
2016-05-19,6812,1,1
2016-05-20,7261,3,3
2016-05-21,7895,1,1
2016-05-22,30993,5,5
2016-05-23,14903,3,3
2016-05-24,10338,2,2
2016-05-25,8122,3,3
2016-05-26,8573,3,3
2016-05-27,11081,0,0
2016-05-28,8572,1,1
2016-05-29,27748,2,2
2016-05-30,13342,3,3
2016-05-31,9346,1,1
2016-06-01,7639,1,1
2016-06-02,7167,2,2
2016-06-03,7319,2,2
2016-06-04,8967,5,5
2016-06-05,30360,2,2
2016-06-06,15867,7,7
2016-06-07,11482,5,5
2016-06-08,9175,3,3
2016-06-09,8690,6,6
2016-06-10,7516,3,3
2016-06-11,8306,2,2
2016-06-12,37246,3,3
2016-06-13,17114,4,4
2016-06-14,11346,1,1
2016-06-15,8758,3,3
2016-06-16,7898,4,4
2016-06-17,7442,1,1
2016-06-18,8830,2,2
2016-06-19,31974,9,9
2016-06-20,14586,1,1
2016-06-21,10503,1,1
2016-06-22,8818,1,1
2016-06-23,8405,0,0
2016-06-24,7634,1,1
2016-06-25,9605,5,5
2016-06-26,37816,8,8
2016-06-27,17304,1,1
2016-06-28,12875,3,3
2016-06-29,10343,2,2
2016-06-30,8265,1,1
2016-07-01,7791,4,4
2016-07-02,9945,3,3
