date,gt_score
2017-04-01,89
2017-04-02,61
2017-04-03,50
2017-04-04,0
2017-04-05,43
2017-04-06,46
2017-04-07,0
2017-04-08,76
2017-04-09,52
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,68
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-22,55
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,78
2017-04-30,45
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,60
2017-05-07,45
2017-05-08,0
2017-05-09,0
2017-05-10,36
2017-05-11,0
2017-05-12,0
2017-05-13,98
2017-05-14,55
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,99
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,91
2017-06-04,88
2017-06-05,0
2017-06-06,61
2017-06-07,0
2017-06-08,0
2017-06-09,41
2017-06-10,87
2017-06-11,80
2017-06-12,0
2017-06-13,41
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,100
2017-06-18,60
2017-06-19,0
2017-06-20,35
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,70
2017-06-25,50
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
