date,gt_score
2021-04-06,14
2021-04-07,8
2021-04-08,8
2021-04-09,6
2021-04-10,6
2021-04-11,8
2021-04-12,6
2021-04-13,11
2021-04-14,7
2021-04-15,6
2021-04-16,5
2021-04-17,7
2021-04-18,6
2021-04-19,5
2021-04-20,8
2021-04-21,7
2021-04-22,5
2021-04-23,5
2021-04-24,6
2021-04-25,8
2021-04-26,6
2021-04-27,8
2021-04-28,7
2021-04-29,8
2021-04-30,5
2021-05-01,4
2021-05-02,4
2021-05-03,8
2021-05-04,12
2021-05-05,9
2021-05-06,6
2021-05-07,6
2021-05-08,5
2021-05-09,5
2021-05-10,9
2021-05-11,12
2021-05-12,8
2021-05-13,7
2021-05-14,5
2021-05-15,7
2021-05-16,8
2021-05-17,7
2021-05-18,15
2021-05-19,9
2021-05-20,6
2021-05-21,7
2021-05-22,8
2021-05-23,6
2021-05-24,8
2021-05-25,14
2021-05-26,8
2021-05-27,8
2021-05-28,8
2021-05-29,9
2021-05-30,8
2021-05-31,9
2021-06-01,11
2021-06-02,9
2021-06-03,10
2021-06-04,7
2021-06-05,7
2021-06-06,7
2021-06-07,11
2021-06-08,19
2021-06-09,10
2021-06-10,10
2021-06-11,7
2021-06-12,10
2021-06-13,11
2021-06-14,14
2021-06-15,22
2021-06-16,14
2021-06-17,12
2021-06-18,13
2021-06-19,12
2021-06-20,15
2021-06-21,18
2021-06-22,22
2021-06-23,15
2021-06-24,13
2021-06-25,10
2021-06-26,12
2021-06-27,16
2021-06-28,33
2021-06-29,100
2021-06-30,52
2021-07-01,44
2021-07-02,34
2021-07-03,41
2021-07-04,45
2021-07-05,32
2021-07-06,35
2021-07-07,38
2021-07-08,35
2021-07-09,32
2021-07-10,38
2021-07-11,40
2021-07-12,32
2021-07-13,26
2021-07-14,28
2021-07-15,28
2021-07-16,28
2021-07-17,29
2021-07-18,34
2021-07-19,24
2021-07-20,23
2021-07-21,20
2021-07-22,27
2021-07-23,22
2021-07-24,25
2021-07-25,21
2021-07-26,18
2021-07-27,18
2021-07-28,16
2021-07-29,17
2021-07-30,17
2021-07-31,26
2021-08-01,23
2021-08-02,16
2021-08-03,19
2021-08-04,15
2021-08-05,17
2021-08-06,16
2021-08-07,19
2021-08-08,21
2021-08-09,24
2021-08-10,17
2021-08-11,19
2021-08-12,19
2021-08-13,20
2021-08-14,21
2021-08-15,24
2021-08-16,23
2021-08-17,22
2021-08-18,21
2021-08-19,19
2021-08-20,19
2021-08-21,23
2021-08-22,25
2021-08-23,14
2021-08-24,26
2021-08-25,18
2021-08-26,21
2021-08-27,15
2021-08-28,23
2021-08-29,27
2021-08-30,28
2021-08-31,22
2021-09-01,17
2021-09-02,18
2021-09-03,19
2021-09-04,23
2021-09-05,23
2021-09-06,19
2021-09-07,15
2021-09-08,33
2021-09-09,45
2021-09-10,40
2021-09-11,42
2021-09-12,38
2021-09-13,32
2021-09-14,28
2021-09-15,28
2021-09-16,29
2021-09-17,35
2021-09-18,38
2021-09-19,40
2021-09-20,42
2021-09-21,33
2021-09-22,31
2021-09-23,34
2021-09-24,25
2021-09-25,28
2021-09-26,31
2021-09-27,25
