date,gt_score
2015-10-04,88
2015-10-05,84
2015-10-06,74
2015-10-07,60
2015-10-08,48
2015-10-09,41
2015-10-10,51
2015-10-11,66
2015-10-12,93
2015-10-13,61
2015-10-14,44
2015-10-15,40
2015-10-16,35
2015-10-17,43
2015-10-18,59
2015-10-19,53
2015-10-20,40
2015-10-21,40
2015-10-22,33
2015-10-23,33
2015-10-24,38
2015-10-25,50
2015-10-26,49
2015-10-27,39
2015-10-28,32
2015-10-29,27
2015-10-30,29
2015-10-31,37
2015-11-01,52
2015-11-02,64
2015-11-03,61
2015-11-04,39
2015-11-05,36
2015-11-06,32
2015-11-07,45
2015-11-08,62
2015-11-09,71
2015-11-10,39
2015-11-11,36
2015-11-12,35
2015-11-13,29
2015-11-14,40
2015-11-15,72
2015-11-16,66
2015-11-17,49
2015-11-18,44
2015-11-19,33
2015-11-20,32
2015-11-21,42
2015-11-22,53
2015-11-23,73
2015-11-24,38
2015-11-25,36
2015-11-26,32
2015-11-27,36
2015-11-28,43
2015-11-29,70
2015-11-30,79
2015-12-01,51
2015-12-02,41
2015-12-03,41
2015-12-04,43
2015-12-05,52
2015-12-06,65
2015-12-07,80
2015-12-08,55
2015-12-09,42
2015-12-10,37
2015-12-11,36
2015-12-12,52
2015-12-13,61
2015-12-14,79
2015-12-15,56
2015-12-16,47
2015-12-17,52
2015-12-18,40
2015-12-19,46
2015-12-20,62
2015-12-21,100
2015-12-22,55
2015-12-23,64
2015-12-24,26
2015-12-25,30
2015-12-26,27
2015-12-27,28
2015-12-28,25
2015-12-29,32
2015-12-30,27
2015-12-31,20
2016-01-01,19
2016-01-02,24
