date,gt_score
2019-04-09,31
2019-04-10,43
2019-04-11,24
2019-04-12,19
2019-04-13,18
2019-04-14,20
2019-04-15,15
2019-04-16,20
2019-04-17,34
2019-04-18,24
2019-04-19,17
2019-04-20,17
2019-04-21,19
2019-04-22,12
2019-04-23,24
2019-04-24,42
2019-04-25,22
2019-04-26,13
2019-04-27,18
2019-04-28,17
2019-04-29,16
2019-04-30,29
2019-05-01,38
2019-05-02,23
2019-05-03,16
2019-05-04,13
2019-05-05,16
2019-05-06,17
2019-05-07,23
2019-05-08,33
2019-05-09,17
2019-05-10,11
2019-05-11,13
2019-05-12,15
2019-05-13,17
2019-05-14,27
2019-05-15,30
2019-05-16,17
2019-05-17,12
2019-05-18,13
2019-05-19,13
2019-05-20,10
2019-05-21,21
2019-05-22,34
2019-05-23,18
2019-05-24,14
2019-05-25,19
2019-05-26,15
2019-05-27,14
2019-05-28,30
2019-05-29,50
2019-05-30,20
2019-05-31,15
2019-06-01,16
2019-06-02,18
2019-06-03,13
2019-06-04,47
2019-06-05,100
2019-06-06,60
2019-06-07,39
2019-06-08,38
2019-06-09,29
2019-06-10,23
2019-06-11,43
2019-06-12,57
2019-06-13,25
2019-06-14,12
2019-06-15,14
2019-06-16,13
2019-06-17,10
2019-06-18,18
2019-06-19,31
2019-06-20,16
2019-06-21,10
2019-06-22,10
2019-06-23,10
2019-06-24,9
2019-06-25,17
2019-06-26,33
2019-06-27,18
2019-06-28,14
2019-06-29,11
2019-06-30,10
2019-07-01,10
2019-07-02,20
2019-07-03,33
2019-07-04,13
2019-07-05,10
2019-07-06,10
2019-07-07,11
2019-07-08,8
2019-07-09,10
2019-07-10,15
2019-07-11,13
2019-07-12,10
2019-07-13,11
2019-07-14,10
2019-07-15,8
2019-07-16,8
2019-07-17,7
2019-07-18,8
2019-07-19,6
2019-07-20,6
2019-07-21,6
2019-07-22,5
2019-07-23,5
2019-07-24,5
2019-07-25,5
2019-07-26,4
2019-07-27,4
2019-07-28,4
2019-07-29,4
2019-07-30,5
2019-07-31,3
2019-08-01,4
2019-08-02,2
2019-08-03,2
2019-08-04,3
2019-08-05,3
2019-08-06,3
2019-08-07,3
2019-08-08,2
2019-08-09,2
2019-08-10,2
2019-08-11,2
2019-08-12,2
2019-08-13,2
2019-08-14,3
2019-08-15,2
2019-08-16,3
2019-08-17,3
2019-08-18,3
2019-08-19,2
2019-08-20,1
2019-08-21,0
2019-08-22,1
2019-08-23,0
2019-08-24,2
2019-08-25,1
2019-08-26,0
2019-08-27,2
2019-08-28,1
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,0
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,2
2019-09-06,0
