date,gt_score
2020-07-09,89
2020-07-10,100
2020-07-11,69
2020-07-12,59
2020-07-13,41
2020-07-14,32
2020-07-15,45
2020-07-16,54
2020-07-17,50
2020-07-18,40
2020-07-19,40
2020-07-20,30
2020-07-21,23
2020-07-22,26
2020-07-23,44
2020-07-24,40
2020-07-25,43
2020-07-26,39
2020-07-27,30
2020-07-28,30
2020-07-29,27
2020-07-30,33
2020-07-31,34
2020-08-01,40
2020-08-02,35
2020-08-03,31
2020-08-04,33
2020-08-05,24
2020-08-06,37
2020-08-07,50
2020-08-08,45
2020-08-09,32
2020-08-10,30
2020-08-11,26
2020-08-12,33
2020-08-13,47
2020-08-14,32
2020-08-15,41
2020-08-16,38
2020-08-17,26
2020-08-18,29
2020-08-19,25
2020-08-20,33
2020-08-21,34
2020-08-22,37
2020-08-23,37
2020-08-24,27
2020-08-25,23
2020-08-26,27
2020-08-27,29
2020-08-28,43
2020-08-29,34
2020-08-30,27
2020-08-31,32
2020-09-01,22
2020-09-02,31
2020-09-03,30
2020-09-04,27
2020-09-05,34
2020-09-06,30
2020-09-07,32
2020-09-08,20
2020-09-09,26
2020-09-10,34
2020-09-11,26
2020-09-12,35
2020-09-13,27
2020-09-14,24
2020-09-15,23
2020-09-16,23
2020-09-17,38
2020-09-18,68
2020-09-19,47
2020-09-20,40
2020-09-21,42
2020-09-22,46
2020-09-23,38
2020-09-24,79
2020-09-25,99
2020-09-26,60
2020-09-27,52
2020-09-28,41
2020-09-29,34
2020-09-30,45
2020-10-01,28
2020-10-02,39
2020-10-03,27
2020-10-04,29
2020-10-05,23
2020-10-06,28
2020-10-07,19
2020-10-08,36
2020-10-09,31
2020-10-10,31
2020-10-11,32
2020-10-12,26
2020-10-13,26
2020-10-14,25
2020-10-15,27
2020-10-16,13
2020-10-17,25
2020-10-18,26
2020-10-19,17
2020-10-20,25
2020-10-21,17
2020-10-22,17
2020-10-23,19
2020-10-24,24
2020-10-25,19
2020-10-26,19
2020-10-27,19
2020-10-28,21
2020-10-29,22
2020-10-30,13
2020-10-31,17
2020-11-01,21
2020-11-02,14
2020-11-03,21
2020-11-04,15
2020-11-05,16
2020-11-06,20
2020-11-07,16
2020-11-08,22
2020-11-09,19
2020-11-10,15
2020-11-11,16
2020-11-12,12
2020-11-13,17
2020-11-14,26
2020-11-15,15
2020-11-16,18
2020-11-17,12
2020-11-18,20
2020-11-19,13
2020-11-20,16
2020-11-21,17
2020-11-22,19
2020-11-23,18
2020-11-24,21
2020-11-25,20
2020-11-26,15
2020-11-27,29
2020-11-28,21
2020-11-29,18
2020-11-30,22
2020-12-01,17
2020-12-02,20
2020-12-03,20
2020-12-04,11
2020-12-05,17
2020-12-06,19
2020-12-07,18
2020-12-08,21
2020-12-09,23
2020-12-10,15
2020-12-11,17
2020-12-12,16
2020-12-13,20
2020-12-14,17
2020-12-15,9
2020-12-16,8
2020-12-17,15
2020-12-18,9
2020-12-19,14
2020-12-20,16
2020-12-21,17
2020-12-22,19
2020-12-23,18
