date,gt_score
2023-04-12,42
2023-04-13,73
2023-04-14,67
2023-04-15,78
2023-04-16,70
2023-04-17,55
2023-04-18,58
2023-04-19,83
2023-04-20,81
2023-04-21,71
2023-04-22,91
2023-04-23,82
2023-04-24,60
2023-04-25,54
2023-04-26,58
2023-04-27,65
2023-04-28,55
2023-04-29,78
2023-04-30,68
2023-05-01,51
2023-05-02,53
2023-05-03,75
2023-05-04,78
2023-05-05,68
2023-05-06,68
2023-05-07,59
2023-05-08,43
2023-05-09,43
2023-05-10,53
2023-05-11,61
2023-05-12,51
2023-05-13,65
2023-05-14,55
2023-05-15,38
2023-05-16,41
2023-05-17,58
2023-05-18,61
2023-05-19,61
2023-05-20,63
2023-05-21,62
2023-05-22,48
2023-05-23,52
2023-05-24,76
2023-05-25,100
2023-05-26,79
2023-05-27,82
2023-05-28,72
2023-05-29,55
2023-05-30,47
2023-05-31,64
2023-06-01,77
2023-06-02,79
2023-06-03,76
2023-06-04,69
2023-06-05,46
2023-06-06,50
2023-06-07,76
2023-06-08,77
2023-06-09,52
2023-06-10,60
2023-06-11,54
2023-06-12,41
2023-06-13,39
2023-06-14,54
2023-06-15,60
2023-06-16,44
2023-06-17,53
2023-06-18,48
2023-06-19,34
2023-06-20,35
2023-06-21,45
2023-06-22,51
2023-06-23,44
2023-06-24,50
2023-06-25,43
2023-06-26,35
2023-06-27,34
2023-06-28,62
2023-06-29,90
2023-06-30,74
2023-07-01,75
2023-07-02,63
2023-07-03,45
2023-07-04,48
2023-07-05,70
2023-07-06,70
2023-07-07,55
2023-07-08,60
2023-07-09,50
2023-07-10,43
2023-07-11,38
2023-07-12,42
2023-07-13,48
2023-07-14,39
2023-07-15,43
2023-07-16,43
2023-07-17,42
2023-07-18,37
2023-07-19,47
2023-07-20,44
2023-07-21,42
2023-07-22,44
2023-07-23,42
2023-07-24,39
2023-07-25,36
2023-07-26,42
2023-07-27,39
2023-07-28,35
2023-07-29,35
2023-07-30,36
2023-07-31,32
2023-08-01,31
2023-08-02,36
2023-08-03,36
2023-08-04,32
2023-08-05,31
2023-08-06,30
2023-08-07,28
2023-08-08,26
2023-08-09,28
2023-08-10,30
2023-08-11,29
2023-08-12,27
2023-08-13,27
2023-08-14,27
2023-08-15,27
2023-08-16,27
2023-08-17,24
2023-08-18,22
2023-08-19,23
2023-08-20,23
2023-08-21,21
2023-08-22,25
2023-08-23,23
2023-08-24,25
2023-08-25,22
2023-08-26,23
2023-08-27,20
2023-08-28,18
2023-08-29,20
2023-08-30,19
2023-08-31,19
2023-09-01,20
2023-09-02,21
2023-09-03,21
2023-09-04,16
2023-09-05,16
2023-09-06,17
2023-09-07,19
2023-09-08,17
2023-09-09,19
