date,gt_score
2016-04-04,17
2016-04-05,10
2016-04-06,9
2016-04-07,10
2016-04-08,5
2016-04-09,10
2016-04-10,13
2016-04-11,12
2016-04-12,10
2016-04-13,10
2016-04-14,8
2016-04-15,7
2016-04-16,7
2016-04-17,12
2016-04-18,14
2016-04-19,5
2016-04-20,5
2016-04-21,8
2016-04-22,5
2016-04-23,8
2016-04-24,13
2016-04-25,10
2016-04-26,6
2016-04-27,6
2016-04-28,0
2016-04-29,5
2016-04-30,0
2016-05-01,11
2016-05-02,10
2016-05-03,12
2016-05-04,9
2016-05-05,7
2016-05-06,9
2016-05-07,7
2016-05-08,12
2016-05-09,10
2016-05-10,12
2016-05-11,6
2016-05-12,8
2016-05-13,7
2016-05-14,9
2016-05-15,21
2016-05-16,18
2016-05-17,14
2016-05-18,9
2016-05-19,7
2016-05-20,7
2016-05-21,13
2016-05-22,26
2016-05-23,28
2016-05-24,9
2016-05-25,12
2016-05-26,8
2016-05-27,7
2016-05-28,12
2016-05-29,30
2016-05-30,25
2016-05-31,14
2016-06-01,11
2016-06-02,9
2016-06-03,6
2016-06-04,22
2016-06-05,37
2016-06-06,36
2016-06-07,15
2016-06-08,9
2016-06-09,11
2016-06-10,15
2016-06-11,19
2016-06-12,34
2016-06-13,38
2016-06-14,23
2016-06-15,14
2016-06-16,16
2016-06-17,17
2016-06-18,22
2016-06-19,39
2016-06-20,39
2016-06-21,22
2016-06-22,20
2016-06-23,23
2016-06-24,12
2016-06-25,16
2016-06-26,42
2016-06-27,38
2016-06-28,22
2016-06-29,16
2016-06-30,15
2016-07-01,17
2016-07-02,22
2016-07-03,36
2016-07-04,42
2016-07-05,24
2016-07-06,23
2016-07-07,23
2016-07-08,22
2016-07-09,27
2016-07-10,56
2016-07-11,74
2016-07-12,53
2016-07-13,51
2016-07-14,33
2016-07-15,35
2016-07-16,47
2016-07-17,70
2016-07-18,67
2016-07-19,38
2016-07-20,32
2016-07-21,27
2016-07-22,23
2016-07-23,30
2016-07-24,65
2016-07-25,66
2016-07-26,36
2016-07-27,28
2016-07-28,30
2016-07-29,38
2016-07-30,40
2016-07-31,86
2016-08-01,100
2016-08-02,50
2016-08-03,38
2016-08-04,36
2016-08-05,27
2016-08-06,33
2016-08-07,74
2016-08-08,82
2016-08-09,44
2016-08-10,35
2016-08-11,32
2016-08-12,32
2016-08-13,50
2016-08-14,80
2016-08-15,80
2016-08-16,45
2016-08-17,33
2016-08-18,34
2016-08-19,30
2016-08-20,36
2016-08-21,65
2016-08-22,88
2016-08-23,44
2016-08-24,25
2016-08-25,28
2016-08-26,24
2016-08-27,40
2016-08-28,77
2016-08-29,67
2016-08-30,34
2016-08-31,30
2016-09-01,23
