date,pv,edit_count,editor_count
2016-04-04,52243,5,5
2016-04-05,26047,2,2
2016-04-06,18402,2,2
2016-04-07,14799,1,1
2016-04-08,12273,1,1
2016-04-09,16932,2,2
2016-04-10,32879,5,5
2016-04-11,28540,2,2
2016-04-12,16111,0,0
2016-04-13,13418,4,4
2016-04-14,11093,1,1
2016-04-15,9424,1,1
2016-04-16,12654,1,1
2016-04-17,30354,2,2
2016-04-18,39975,1,1
2016-04-19,19224,0,0
2016-04-20,13855,4,4
2016-04-21,11011,1,1
2016-04-22,9918,0,0
2016-04-23,14186,2,2
2016-04-24,26208,2,2
2016-04-25,28930,2,2
2016-04-26,15278,0,0
2016-04-27,11456,0,0
2016-04-28,8609,1,1
2016-04-29,9723,3,3
2016-04-30,10295,2,2
2016-05-01,24439,1,1
2016-05-02,35257,8,8
2016-05-03,20901,1,1
2016-05-04,17044,1,1
2016-05-05,15964,3,3
2016-05-06,12415,2,2
2016-05-07,14266,2,2
2016-05-08,25324,2,2
2016-05-09,29696,5,5
2016-05-10,16959,4,4
2016-05-11,13118,1,1
2016-05-12,9606,2,2
2016-05-13,8800,0,0
2016-05-14,11743,1,1
2016-05-15,24807,2,2
2016-05-16,33293,1,1
2016-05-17,19345,2,2
2016-05-18,14648,1,1
2016-05-19,11844,0,0
2016-05-20,10962,3,3
2016-05-21,14670,1,1
2016-05-22,21391,4,4
2016-05-23,24839,2,2
2016-05-24,16820,1,1
2016-05-25,13341,1,1
2016-05-26,10607,0,0
2016-05-27,9579,2,2
2016-05-28,11818,1,1
2016-05-29,17547,1,1
2016-05-30,23477,2,2
2016-05-31,13824,1,1
2016-06-01,11221,0,0
2016-06-02,9580,1,1
2016-06-03,8940,1,1
2016-06-04,11943,1,1
2016-06-05,16895,2,2
2016-06-06,19516,0,0
2016-06-07,13512,3,3
2016-06-08,10969,1,1
2016-06-09,9072,2,2
2016-06-10,9027,1,1
2016-06-11,12011,3,3
2016-06-12,20342,5,5
2016-06-13,26897,2,2
2016-06-14,16224,2,2
2016-06-15,12780,3,3
2016-06-16,11013,3,3
2016-06-17,10175,5,5
2016-06-18,12497,1,1
2016-06-19,24726,5,5
2016-06-20,32240,4,4
2016-06-21,18669,1,1
2016-06-22,15188,2,2
2016-06-23,12484,1,1
2016-06-24,11040,4,4
2016-06-25,14821,3,3
2016-06-26,25297,3,3
2016-06-27,30712,2,2
2016-06-28,18776,1,1
2016-06-29,14296,0,0
2016-06-30,11138,0,0
2016-07-01,10638,0,0
2016-07-02,13942,2,2
2016-07-03,24547,3,3
